,dist_from_root,length,project,leafnode,n_conns
0,0.0,0.019836229267714438,N2 dauer (Stigloher3),16679357.0,0
1,0.009426750570323779,0.030148372220752496,N2 dauer (Stigloher3),16682622.0,0
2,0.02318426617570021,0.006000126342697996,N2 dauer (Stigloher3),9598168.0,0
3,0.04143675601528462,0.012917411935685031,daf-2 dauer,10572438.0,0
4,0.06271944291548316,0.01924360185437686,L2,4869155.0,0
5,0.06506643646259448,0.016110207040251717,daf-2 dauer,10572443.0,3
6,0.09624943083331297,0.016895575270141443,SEM adult,8417417.0,1
7,0.10284141363099614,0.04596427501840782,N2 dauer (Stigloher2),8516395.0,1
8,0.11427534634672415,0.026977700784698706,L3,7108047.0,0
9,0.11950768021370534,0.05778902004706078,daf-2 dauer,15139393.0,1
10,0.13154136746906167,0.06560480470936188,N2 dauer (Stigloher2),8550654.0,0
11,0.1382671033091636,0.0490188510477922,N2 dauer (Stigloher3),9190009.0,2
12,0.14699380120913408,0.06174375022443199,L3,7108042.0,2
13,0.14863268075748481,0.044436375210171415,daf-2 dauer,10571688.0,1
14,0.15610160374062035,0.03173788708136374,N2 dauer (Stigloher3),9186813.0,0
15,0.1602008354278925,0.034461721689259664,N2 dauer (Stigloher2),9009321.0,0
16,0.1613464846152985,0.03239495182279696,L3,7108025.0,0
17,0.16631564494580442,0.034556091813501985,N2 dauer (Stigloher2),8978184.0,1
18,0.16847202612691806,0.06761856835632467,SEM adult,8364011.0,30
19,0.17164601680403072,0.05322919342633946,N2 dauer (Stigloher3),9190021.0,0
20,0.17511297653626104,0.05032842914328976,N2 dauer (Stigloher3),9190027.0,1
21,0.17562900931273814,0.022391321008911592,SEM adult,8364030.0,2
22,0.17608175018521138,0.038080139171122275,L1 8hr,6345021.0,1
23,0.18600745795888246,0.019818577295563664,L1 16hr,4423682.0,3
24,0.1897946912284997,0.026181903521183474,N2 dauer (Stigloher3),16676277.0,0
25,0.19067635702249888,0.0394791837751392,L2,4869146.0,3
26,0.19516754887078008,0.08990030801070871,N2 dauer (Stigloher3),9203910.0,3
27,0.19537089141374236,0.03209615830829056,L1 8hr,6351026.0,1
28,0.1957878708219912,0.016642505263527625,N2 dauer (Stigloher2),8533655.0,0
29,0.19680680850515825,0.08089076880347033,L2,4916924.0,4
30,0.1991417653658687,0.04291704587953165,N2 dauer (Stigloher2),9009536.0,0
31,0.1993251475680534,0.10472937381791986,L1 16hr,4290062.0,59
32,0.20059530447390556,0.06905942310959172,SEM adult,8299559.0,16
33,0.20934707023107418,0.014761509253100547,L1 5hr,9585437.0,0
34,0.21211666735785617,0.02753136182650693,SEM adult,8364050.0,1
35,0.21229769719781322,0.05876091148648469,TEM adult,8202828.0,5
36,0.21345788747418368,0.04749081190324893,N2 dauer (Stigloher3),8987785.0,0
37,0.22338043181046788,0.02858292548102722,TEM adult,8202406.0,2
