,dist_from_root,length,project,leafnode,n_conns
0,0.1338788746810153,0.015506499308891362,N2 dauer (Stigloher2),8619250,0
1,0.17383819742627005,0.04953464021727068,N2 dauer (Stigloher2),8619941,0
2,0.18833945197951413,0.04698897623203402,N2 dauer (Stigloher3),9495413,0
3,0.3648224351577267,0.041704155875921724,N2 dauer (Stigloher3),9598874,0
4,0.3715604167531778,0.04930808974381158,N2 dauer (Stigloher2),8970283,0
5,0.4413191721441545,0.04507426822471689,N2 dauer (Stigloher3),9508437,1
6,0.4710590205303235,0.1572143159565976,N2 dauer (Stigloher2),9001719,1
7,0.7276344876925426,0.18564733779870993,N2 dauer (Stigloher3),16681780,0
8,0.793539081966554,0.7398606248641104,daf-2 dauer,10564491,0
9,0.8498252382847075,0.4259653326996834,daf-2 dauer,10564309,2
10,0.8514036145437881,0.1666028500847508,N2 dauer (Stigloher2),8619365,0
11,0.853939549757167,0.2777083809411859,N2 dauer (Stigloher3),9494743,0
12,0.8659285925115994,0.08373045791175089,N2 dauer (Stigloher2),8620755,0
13,0.8795569017579694,0.7937024725098017,N2 dauer (Stigloher3),16682777,0
14,1.0,0.0,L1 0hr,6846075,0
15,1.0,0.0,L3,7104631,0
16,1.0,0.0,L1 5hr,9557778,0
