,dist_from_root,length,project,leafnode,n_synapse
0,0.003600415080961805,0.011571277862435558,daf-2 dauer,10588779,0
1,0.24247930817644509,0.0675210422300472,daf-2 dauer,10588791,2
2,0.24465528856517538,0.013463492013108307,daf-2 dauer,10622453,0
3,0.25507721259195437,0.052295735413440916,daf-2 dauer,10588799,2
4,0.27357555806532785,0.00824448949529595,daf-2 dauer,10622451,0
5,0.4182990669287478,0.008257703848582603,N2 dauer (Stigloher2),8716853,0
6,0.42709781970745064,0.015434339819711472,N2 dauer (Stigloher2),8967968,0
7,0.42837479708839243,0.006296523488805827,N2 dauer (Stigloher2),8947663,0
8,0.48488787699932384,0.00380636992565355,N2 dauer (Stigloher2),8716847,0
9,0.5025092174688677,0.03466141608547249,N2 dauer (Stigloher3),16683587,0
10,0.5486077478070619,0.11146578411067494,daf-2 dauer,10588707,1
11,0.5698227188787174,0.08505735371795044,daf-2 dauer,10622383,2
12,0.5964929711550994,0.029801930907975418,N2 dauer (Stigloher3),16683945,0
13,0.6344689846081348,0.2874091299349595,N2 dauer (Stigloher2),8757888,2
14,0.634684840483845,0.038067115594074226,N2 dauer (Stigloher3),16682595,0
15,0.6404292099253257,0.10628466258825296,N2 dauer (Stigloher2),8716820,3
16,0.6443601879599545,0.11398461882555966,N2 dauer (Stigloher3),9589225,4
17,0.6635885113626615,0.023895821213896534,N2 dauer (Stigloher2),8713603,1
18,0.749103435410919,0.16429390785714734,L1 16hr,4259498,9
19,0.8050873465535472,0.16224883808008858,L1 16hr,5065043,10
20,0.823242061998598,0.06734561359781033,TEM adult,8155182,3
21,0.8371209906475751,0.07423891624492238,L1 8hr,6360285,0
22,0.8463558998149772,0.08249087592014732,SEM adult,8312790,4
23,0.8616949140745533,0.0683813513504979,L1 8hr,6360277,0
24,0.8649774624015479,0.10613492559514397,daf-2 dauer,10622450,0
25,0.8682701230891943,0.12899246968065795,SEM adult,8263869,9
26,0.8729577410639859,0.09432234042681815,SEM adult,8263741,5
27,0.8734109317589345,0.08223564424559388,daf-2 dauer,10588661,1
28,0.8734598515293829,0.02100959367100557,daf-2 dauer,10622408,0
29,0.8779248511402942,0.05645755101546961,L1 8hr,7182577,0
30,0.8799105613718218,0.07148167502216193,L2,5065030,1
31,0.8802334786143602,0.014308331190726147,L1 0hr,7654264,0
32,0.8854248485247258,0.10542257423588157,SEM adult,8312871,7
33,0.8928695987239708,0.054905945178717566,L1 8hr,6360266,0
34,0.8949415504445984,0.05171563774226899,L2,4854005,0
35,0.899527183123406,0.06959820350428196,N2 dauer (Stigloher3),8998464,4
36,0.903984217057357,0.03577318836625863,L2,4854042,1
37,0.9064734943469221,0.033083391697109304,daf-2 dauer,10588673,2
38,0.9094065529064713,0.0330736345536429,N2 dauer (Stigloher3),16684907,0
39,0.9103258182651722,0.08411436692274364,TEM adult,8158847,1
40,0.9106671175377257,0.04825700457586666,N2 dauer (Stigloher2),8716801,0
41,0.9124697346392656,0.056225017311836274,L3,7118230,0
42,0.9137582761630445,0.06628365736002183,N2 dauer (Stigloher3),16679597,0
43,0.9151536710500228,0.06473597407290231,TEM adult,8158882,2
44,0.9162163959935999,0.0547822193592543,L3,7654255,0
45,0.9194709487846005,0.04418021620443312,L3,7654250,0
46,0.9313515428157088,0.04200546019915326,L1 5hr,9563711,1
47,0.9353120778688648,0.057724049853597414,L2,4845485,1
48,0.9370169855273062,0.05118764816363825,L1 0hr,7039352,0
49,0.9390134211026117,0.04835061846457924,N2 dauer (Stigloher3),16679747,0
50,0.9454035430741797,0.039806897240895985,daf-2 dauer,10622416,0
51,0.9473061987304618,0.04510931832527046,L1 5hr,9602040,1
52,0.9487880039980777,0.049253320629255366,N2 dauer (Stigloher2),8716797,0
53,0.9509930107762515,0.03256296124911045,SEM adult,8312844,2
