,dist_from_root,length,project,leafnode,n_synapse
0,0.026946128284536228,0.025134635652584954,L1 16hr,4271392,6
1,0.05251551274073397,0.16301877867205394,L1 16hr,4271382,24
2,0.07243387466826091,0.014406802676399124,SEM adult,8406178,4
3,0.07490289895809399,0.032608619126657565,SEM adult,8406196,2
4,0.08883583144012183,0.02654022247217123,TEM adult,8144990,0
5,0.106958238161399,0.02694153848319554,L2,4828133,2
6,0.10957006518401381,0.1416380411872766,L1 8hr,6335735,12
7,0.11365140635996283,0.14521530597111482,SEM adult,8406303,31
8,0.11438271534589518,0.1199674925317672,SEM adult,8393188,32
9,0.12204911363401089,0.05691069861556035,L1 16hr,4271048,21
10,0.12716727363152353,0.027734242375693188,SEM adult,8406316,0
11,0.12864644106433312,0.032719706754332056,L3,7059309,1
12,0.1300024516797685,0.03630158532091818,TEM adult,8145499,1
13,0.13146137969961166,0.166114943668982,L3,7086468,19
14,0.1324832488046541,0.14173637081047366,L1 8hr,6331300,10
15,0.13819701604050386,0.17934947397525705,L2,4937025,18
16,0.1382551159794775,0.10817382203075938,L2,4828604,5
17,0.13828434055460315,0.12066632098500077,TEM adult,8145479,7
18,0.14053511772306385,0.007978814094686256,daf-2 dauer,10639326,1
19,0.14972186645503655,0.024498185449101643,N2 dauer (Stigloher2),8963183,0
20,0.15297732848020312,0.0331612750856024,N2 dauer (Stigloher3),9601638,1
21,0.1567528971105823,0.1685582692160935,L1 16hr,4347864,28
22,0.15741913741304572,0.029458536451855078,SEM adult,8406351,6
23,0.16224083472730794,0.03865179759165812,N2 dauer (Stigloher3),16679140,0
24,0.16264073708992857,0.10455041828261076,L3,7059023,11
25,0.1627905848753504,0.06318904170618472,N2 dauer (Stigloher2),8963224,3
26,0.16365849863535736,0.0696415812840074,N2 dauer (Stigloher3),16678593,0
27,0.16579998460466006,0.02779964591562731,N2 dauer (Stigloher2),8951275,2
28,0.16677902136704417,0.058673681570939,daf-2 dauer,10582263,3
29,0.16692038099963302,0.023101106299496084,L1 8hr,6331557,1
30,0.16762442459590457,0.02274852792392607,TEM adult,9644561,2
31,0.17387193602551507,0.015704340388772654,N2 dauer (Stigloher2),8951289,1
32,0.17565287156149403,0.019760554939787414,N2 dauer (Stigloher3),16680379,0
33,0.17660945591320384,0.07319546809544368,L1 0hr,7125423,1
34,0.17666068725142356,0.1838029455079801,TEM adult,8144768,28
35,0.17773264085645532,0.031069912375834688,L3,7086443,2
36,0.17906292717306932,0.06054871831625161,N2 dauer (Stigloher3),16687492,0
37,0.1834712594385047,0.08321351036620453,L1 16hr,4347526,3
38,0.1835078339014452,0.06764559891686742,L1 5hr,9569696,1
39,0.1849904202161069,0.018399792117812223,TEM adult,8145442,7
40,0.1864949465468757,0.0022900886416711724,daf-2 dauer,10639330,1
41,0.1921180723936351,0.01462944717706205,SEM adult,8393121,6
42,0.1944271661439622,0.009540025278551861,TEM adult,8144379,0
43,0.1963345802852561,0.09594998812203753,N2 dauer (Stigloher2),8976998,2
44,0.2007199388948217,0.012211007784548818,L2,4828164,1
45,0.20162192059416234,0.05971722584682149,L1 0hr,6833233,1
46,0.21519324054262434,0.1052452086144297,N2 dauer (Stigloher2),8973573,7
47,0.21905470233243274,0.08994741977970681,L1 5hr,9583249,3
48,0.2203981033494967,0.0525081511531781,L1 5hr,9569897,3
49,0.22256924793659166,0.18061926795570282,L1 16hr,4347565,31
50,0.23367238646200206,0.10173591820032812,L1 0hr,6833041,0
51,0.23429751812254257,0.030693261838804792,TEM adult,8144734,4
52,0.23564852953212453,0.0864070361956429,N2 dauer (Stigloher3),9593630,4
53,0.23658288205282946,0.07787728257159476,L1 8hr,6331325,2
54,0.24862326286903452,0.10647255790553788,N2 dauer (Stigloher3),9597030,5
55,0.24991339985778854,0.13574256438823193,daf-2 dauer,10581910,22
56,0.253076380097081,0.06478856845266999,N2 dauer (Stigloher3),16680433,1
57,0.2533084447909652,0.08592069299112975,N2 dauer (Stigloher3),9588788,6
58,0.25622764729466097,0.09774170259830235,daf-2 dauer,10588980,8
59,0.25676933235012417,0.031821919829257826,L2,4828190,5
60,0.2573541035595343,0.0443861606442207,N2 dauer (Stigloher2),8979993,2
61,0.2584352592582787,0.05184210635430007,L3,7086435,7
62,0.2724363512794993,0.05926806069052513,daf-2 dauer,10582255,8
63,0.2781896565491909,0.007459439347113668,N2 dauer (Stigloher2),8978242,1
64,0.2802910774361366,0.03576836991966115,daf-2 dauer,15133745,2
65,0.28097570727018883,0.03572247433481727,N2 dauer (Stigloher2),8961728,1
66,0.29068901172545986,0.0036818218608773235,N2 dauer (Stigloher2),8961679,0
67,0.295216863806657,0.06367449779744289,N2 dauer (Stigloher2),8951230,2
68,0.30036727979496913,0.0411672040058806,TEM adult,8145416,5
69,0.3091110252472299,0.06332677568702981,daf-2 dauer,10581941,7
70,0.31120113499997637,0.06807787582171627,N2 dauer (Stigloher3),9494211,4
71,0.3163351872459414,0.08832336480179995,N2 dauer (Stigloher3),16677870,3
72,0.3247680790724383,0.032774417699962054,N2 dauer (Stigloher2),8951202,2
73,0.3288497526657546,0.039813144693649674,L3,7059285,3
74,0.33406453020796817,0.050789393380405216,N2 dauer (Stigloher3),9594209,4
75,0.33735656405262554,0.11293447397794935,daf-2 dauer,10639390,12
76,0.34188937739518893,0.007158737194030172,N2 dauer (Stigloher3),9521484,0
