,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,5034172,0.0,0.9865739432813133,PVT,106,0,PVT,"['AVKL', 'AVKR']"
1,5034162,0.0,0.047984502657789786,PVT,106,0,PVT,"['SMBDR', 'AVKR', 'AVL']"
2,5034161,0.0,0.14816910253271567,PVT,106,0,PVT,"['AVKL', 'DVC', 'AIBL']"
3,5034160,0.0,0.16739119211284464,PVT,106,0,PVT,"['RIGR', 'AVKL']"
4,5034159,0.0,0.24115584754458153,PVT,106,0,PVT,"['AIBR', 'AVKL']"
5,5034158,0.0,0.29406675191822806,PVT,106,0,PVT,"['RIGL', 'DVC']"
6,5034156,0.0,0.35168296454559095,PVT,106,0,PVT,"['IL1VL', 'URAVL', 'IL2VL', 'URYVL']"
7,5034155,0.0,0.39576800478945634,PVT,106,0,PVT,"['AVKL', 'AVL']"
8,5034154,0.0,0.40944082820515343,PVT,106,0,PVT,"['RIGL', 'AVKR', 'DVC']"
9,5034153,0.0,0.6082789614702387,PVT,106,0,PVT,"['AIBR', 'AVKR']"
10,5034152,0.0060821547208437165,0.6082789614702387,PVT,106,0,PVT,"['AVKR', 'AIBR']"
11,5034151,0.0,0.6409110920773232,PVT,106,0,PVT,"['AVKR', 'AVKL']"
12,5034150,0.008511653646559843,0.7598738937723102,PVT,106,0,PVT,"['DVC', 'AVKL', 'AIBL']"
13,5034149,0.0,0.6944034366406943,PVT,106,0,PVT,"['AVKR', 'AVKL']"
14,5034148,0.0,0.8734750725504099,PVT,106,0,PVT,"['AVKL', 'AVKR']"
15,5034145,0.0,0.9415355609713215,PVT,106,0,PVT,"['URAVR', 'IL2VR']"
16,5034144,0.0,0.9787287222108122,PVT,106,0,PVT,"['RIGR', 'RIH']"
17,5032616,0.0,0.19820002614862242,PVT,106,1,DVC,"['RIGR', 'PVT', 'RIGL']"
18,5031098,0.0,0.16456091019292032,PVT,106,1,AVKL,"['PVT', 'RIGR', 'AVL']"
