,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,15137557,0.0,0.8318589723870158,RIMR,106,1,SAAVR,"['RIMR', 'AVAR']"
1,15137556,0.0,0.3731865844569051,RIMR,106,1,SAAVL,"['AVAL', 'RIMR']"
2,15137555,0.005957819386352932,0.4856501571175642,RIMR,106,1,SAADL,"['AVAL', 'RIMR']"
3,5037416,0.0,0.7460697705158955,RIMR,106,1,SMDDR,"['BWMDL04', 'RIMR', 'BWMDL06']"
4,5037247,0.0,0.8050904934461671,RIMR,106,1,SAAVR,"['AVAR', 'RIMR']"
5,5037246,0.0,0.7987435204382154,RIMR,106,1,SAAVR,"['AVAR', 'RIMR']"
6,5037245,0.0,0.8128641997913532,RIMR,106,1,SAAVR,"['AVAR', 'RIMR']"
7,5037244,0.0,0.8210346486740036,RIMR,106,1,SAAVR,"['AVAR', 'RIMR']"
8,5037243,0.0,0.8349017654366673,RIMR,106,1,SAAVR,"['AVAR', 'RIMR']"
9,5037228,0.0,0.17559683707109122,RIMR,106,1,SAAVL,"['RIMR', 'AVAL', 'RIAR']"
10,5037223,0.0,0.3806661006465092,RIMR,106,1,SAAVL,"['RIMR', 'RIML', 'AVAL']"
11,5037221,0.0,0.36183900381979633,RIMR,106,1,SAAVL,"['RIMR', 'AVAL']"
12,5037220,0.0,0.2942611060258492,RIMR,106,1,SAAVL,"['RIML', 'SMDDR', 'RIMR']"
13,5037219,0.0,0.26767516837786776,RIMR,106,1,SAAVL,"['RIMR', 'AVAL']"
14,5037210,0.002322722319789937,0.643759736215128,RIMR,106,1,SAADR,['RIMR']
15,5037209,0.0,0.7595019812902186,RIMR,106,1,SAADR,"['RIMR', 'AVAR']"
16,5037205,0.0,0.7696566332633729,RIMR,106,1,SAADR,"['AVAR', 'RIMR']"
17,5037217,0.0,0.20664349507770227,RIMR,106,1,SAAVL,['RIMR']
18,5037204,0.0,0.78197699144917,RIMR,106,1,SAADR,"['RIML', 'RIMR', 'AVAR']"
19,5037200,0.003014850681885949,0.4856501571175642,RIMR,106,1,SAADL,"['RIMR', 'AVAL']"
20,5037193,0.0,0.5198270787507145,RIMR,106,1,SAADL,"['RIMR', 'SMDVR', 'AVAL']"
21,5037192,0.0,0.5841758261725014,RIMR,106,1,SAADL,"['RIMR', 'SMDVR']"
22,5037190,0.0,0.5745143921670657,RIMR,106,1,SAADL,"['RIMR', 'SMDVR']"
23,5037188,0.0009967681798271676,0.4856501571175642,RIMR,106,1,SAADL,"['RIML', 'RIMR', 'AVAL']"
24,5036818,0.005311242615271138,0.8511152631405713,RIMR,106,1,RIVR,"['RIMR', 'BWMVL08', 'BWMVL06']"
25,5036785,0.0,0.9701483239195668,RIMR,106,1,RIS,"['AVKL', 'RIMR', 'AVER']"
26,5036784,0.03087166754563086,0.8511152631405713,RIMR,106,1,RIS,"['RMDL', 'RIMR', 'AVL']"
27,5036779,0.01767901327224976,0.643759736215128,RIMR,106,1,RIS,"['RIMR', 'AVER', 'AVKL']"
28,5036777,0.005093425995780189,0.643759736215128,RIMR,106,1,RIS,"['AVL', 'AVKL', 'RIMR']"
29,5036719,0.02036190757894494,0.8511152631405713,RIMR,106,0,RIMR,"['RMDR', 'RMDL']"
30,5036718,0.0,0.9701483239195668,RIMR,106,0,RIMR,"['SMDDL', 'SAAVR']"
31,5036717,0.00420818436090911,0.41445958690327095,RIMR,106,0,RIMR,"['AIBL', 'SAADL']"
32,5036715,0.0,0.0588717718274985,RIMR,106,0,RIMR,"['AVBL', 'AVBR']"
33,5036713,0.0,0.20575040589340196,RIMR,106,0,RIMR,"['SAAVL', 'SMDDR']"
34,5036712,0.0,0.2137229052908169,RIMR,106,0,RIMR,"['SMDDR', 'SAAVL']"
35,5036711,0.0,0.36448242491633226,RIMR,106,0,RIMR,"['AIBL', 'AVBL']"
36,5036710,0.007679442848525659,0.41445958690327095,RIMR,106,0,RIMR,"['AIBL', 'AVBL']"
37,5036708,0.01241650727240019,0.41445958690327095,RIMR,106,0,RIMR,"['AVBL', 'RIBR']"
38,5036707,0.0,0.5841758261725014,RIMR,106,0,RIMR,"['SAADL', 'SMDVR']"
39,5036706,0.0,0.588406976345409,RIMR,106,0,RIMR,"['SAADL', 'SMDVR']"
40,5036705,0.0,0.6011160381463208,RIMR,106,0,RIMR,"['SAAVL', 'AVAL', 'SMDVR', 'SMDDR']"
41,5036704,0.023863438089754156,0.643759736215128,RIMR,106,0,RIMR,"['RIBR', 'RIBL']"
