,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,15137551,0.0,0.628682541854963,RIPR,106,1,IL1VR,"['RIPR', 'BWMVR02', 'RMDDR']"
1,5037506,0.0,0.5969919425348142,RIPR,106,1,URAVR,"['BWMVR02', 'RIPR', 'BWMVR01', 'RMEV', 'RMER']"
2,5037507,0.0,0.6189385373886391,RIPR,106,1,URAVR,"['BWMVR02', 'RIPR', 'IL1VR']"
3,5037505,0.0,0.5839338554528818,RIPR,106,1,URAVR,"['BWMVR02', 'RIPR']"
4,5037504,0.0,0.5019666752715358,RIPR,106,1,URAVR,"['RIPR', 'RMEV']"
5,5037503,0.0,0.4915005848001754,RIPR,106,1,URAVR,"['RIPR', 'BWMVR02', 'RMER', 'RMEV']"
6,5037489,0.3306085648357439,0.04245140939556187,RIPR,106,1,URADR,"['BWMDR02', 'RIPR']"
7,5037488,0.3306085648357439,0.04245140939556187,RIPR,106,1,URADR,"['BWMDR02', 'BWMDR01', 'IL1DR', 'RIPR']"
8,5037487,0.3130427285140505,0.04245140939556187,RIPR,106,1,URADR,"['BWMDR02', 'BWMDR02', 'RIPR']"
9,5037484,0.29289233243310786,0.04245140939556187,RIPR,106,1,URADR,"['BWMDR01', 'RIPR', 'IL1DR', 'RMER']"
10,5037485,0.3018266214057828,0.04245140939556187,RIPR,106,1,URADR,"['RIPR', 'BWMDR01', 'BWMDR02']"
11,5037482,0.27159228348143977,0.04245140939556187,RIPR,106,1,URADR,"['RIPR', 'RMER', 'BWMDR01']"
12,5036646,0.0,0.23142169192662312,RIPR,106,1,RIH,"['OLQVR', 'RIPR']"
13,5036642,0.24427621976089678,0.0,RIPR,106,1,RIH,"['RIPR', 'RIPL', 'OLQDR']"
14,5036619,0.04440373972526787,0.4760302261704678,RIPR,106,1,RIH,"['GLRVR', 'IL2VR', 'RIPR']"
15,5036614,0.4856639639518316,0.0,RIPR,106,1,RIH,"['RIPL', 'OLQDL', 'RIPR']"
16,5036612,0.4485878648566965,0.0,RIPR,106,1,RIH,['RIPR']
17,5034139,0.5622677156021219,0.04245140939556187,RIPR,106,1,PVR,"['RIPR', 'IL1DR']"
18,5034137,0.5769261872461952,0.04245140939556187,RIPR,106,1,PVR,"['RIPR', 'IL1DR']"
19,5034130,0.0,0.9164388987265205,RIPR,106,1,PVR,"['URYVR', 'RIPR', 'SIBVL', 'IL1VR']"
20,5034128,0.0,0.888516153313124,RIPR,106,1,PVR,"['RIPR', 'IL1VR']"
21,5034127,0.031555740256093,0.9123424323326039,RIPR,106,1,PVR,"['AVBR', 'RIPR']"
22,5034126,0.008474106838203798,0.9740703072701312,RIPR,106,1,PVR,"['AVBR', 'RIPR']"
23,5034125,0.008474106838203798,0.9740703072701312,RIPR,106,1,PVR,"['AVBR', 'RIPR']"
24,5032905,0.0,0.5055325441769277,RIPR,106,1,IL2VR,"['RIPR', 'RMER', 'RMEV']"
25,5032904,0.0,0.486905113942064,RIPR,106,1,IL2VR,"['RIPR', 'RMEL']"
26,5032902,0.0,0.4632140589182905,RIPR,106,1,IL2VR,"['RMER', 'RMED', 'RIPR', 'RIH']"
27,5032899,0.0,0.3900060607848133,RIPR,106,1,IL2VR,"['RMEL', 'URAVR', 'RIPR']"
28,5032835,0.05382100204558339,0.04245140939556187,RIPR,106,1,IL2DR,"['RMER', 'RIPR']"
29,5032833,0.1869794015403334,0.04245140939556187,RIPR,106,1,IL2DR,"['RIPR', 'RIPR', 'URADR']"
30,5032831,0.3543190909604182,0.04245140939556187,RIPR,106,1,IL2DR,"['RIPR', 'URADR', 'IL1DR']"
31,5032828,0.26182621828877617,0.04245140939556187,RIPR,106,1,IL2DR,"['RIPR', 'RMER', 'RMEL']"
32,5032827,0.2848172863729563,0.04245140939556187,RIPR,106,1,IL2DR,"['URADR', 'RIPR', 'RMEL']"
33,5032833,0.19824417145751563,0.04245140939556187,RIPR,106,1,IL2DR,"['RIPR', 'RIPR', 'URADR']"
34,5032825,0.1869794015403334,0.04245140939556187,RIPR,106,1,IL2DR,"['RIPR', 'URADR', 'RIPR']"
35,5032825,0.19824417145751563,0.04245140939556187,RIPR,106,1,IL2DR,"['RIPR', 'URADR', 'RIPR']"
36,5032824,0.21617527831355082,0.0,RIPR,106,1,IL2DR,"['RIPL', 'RIPR', 'RIH', 'GLRDR']"
37,5032809,0.2752981271986277,0.04245140939556187,RIPR,106,1,IL1DR,"['RIPR', 'BWMDR01', 'RMDVR']"
38,5032808,0.32353013853902324,0.04245140939556187,RIPR,106,1,IL1DR,"['RIPR', 'BWMDR02', 'RMDVR']"
39,5032797,0.0,0.5861697105645091,RIPR,106,1,IL1VR,"['BWMVR02', 'RIPR', 'RMDDR']"
40,5032793,0.0,0.6236237516540075,RIPR,106,1,IL1VR,"['RIPR', 'RMER', 'BWMVR01', 'RMDDR']"
41,5032795,0.0,0.534321463498719,RIPR,106,1,IL1VR,"['BWMVR02', 'RMDDR', 'RMER', 'RIPR']"
42,5032573,0.0,0.8935073724676573,RIPR,106,1,DVA,"['OLQVR', 'RIPR', 'SIBVL']"
43,5032489,0.0,0.7819545317537275,RIPR,106,1,CEPVR,"['OLQVR', 'URAVR', 'RIPR', 'PVR']"
44,5032482,0.0,0.845609430834234,RIPR,106,1,CEPVR,"['OLQVR', 'URAVR', 'RIPR', 'PVR']"
45,5032433,0.48123846301596396,0.04245140939556187,RIPR,106,1,CEPDR,"['RMDVL', 'OLQDR', 'RIPR', 'URADR']"
