,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,7125566,0.01430360587976575,0.6364950323009365,AVBR,124,1,RIML,"['RIBL', 'AVBR', 'AIBR']"
1,7125561,0.0,0.8828456900212792,AVBR,124,1,RIML,"['AVBL', 'AVBR']"
2,7125507,0.003503073058586084,0.46819678993001607,AVBR,124,1,RIFR,"['AVJL', 'AVBR', 'ASHR']"
3,7125504,0.0,0.2691840559318058,AVBR,124,1,RIFR,"['ALMR', 'AVBR', 'ASHR']"
4,7125501,0.0,0.11251605501191442,AVBR,124,1,RIFR,"['AVBR', 'AVJL']"
5,7125376,0.0,0.24426032649509208,AVBR,124,1,PVR,"['AVBR', 'AVJL']"
6,7125358,0.0,0.35956786677608094,AVBR,124,1,PVPR,"['AVJL', 'AVBR']"
7,7125349,0.0,0.5856322961689892,AVBR,124,1,PVPL,"['RID', 'AVBR']"
8,7125348,0.0,0.6746405327037281,AVBR,124,1,PVPL,"['AVBR', 'AVAL']"
9,7125340,0.0,0.7385235589142196,AVBR,124,1,PVCR,"['RID', 'AVDR', 'AVBR']"
10,7125332,0.0,0.9457143936724868,AVBR,124,1,PVCL,"['SIAVL', 'AVER', 'AVBR']"
11,7125097,0.012287404927784134,0.6364950323009365,AVBR,124,1,DVA,"['AVBR', 'AVAL']"
12,7124830,0.0,0.3485342440982416,AVBR,124,1,AVJL,"['AVDL', 'AVBR']"
13,7051251,0.0,0.4668517992569612,AVBR,124,1,ASHR,"['AVHL', 'AVBR']"
14,7050241,0.015141732248186742,0.6364950323009365,AVBR,124,1,AIBR,"['AVBR', 'SIADL', 'RIML', 'RIBL']"
15,7049043,0.0,0.3485342440982416,AVBR,124,1,ASHR,"['AVDL', 'AVBR']"
16,7027663,0.0,0.3407440661493585,AVBR,124,1,ADAR,"['AVBR', 'AVDL']"
