,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,7183737,0.021279949251808025,0.39513030532854015,AWAL,125,0,AWAL,"['AIZL', 'AFDL']"
1,7183736,0.009999648176753834,0.8164026622206668,AWAL,125,0,AWAL,"['ADFL', 'AIZL']"
2,7183734,0.0,0.5936738003543419,AWAL,125,0,AWAL,"['ADLL', 'AWBL']"
3,7183733,0.0,0.25967790986101535,AWAL,125,0,AWAL,"['ASHL', 'ASEL']"
4,7183731,0.0,0.323184036370767,AWAL,125,0,AWAL,"['AIYL', 'AFDL', 'AWBL']"
5,7183730,0.0,0.6314200519703606,AWAL,125,0,AWAL,"['AIZL', 'AWBL']"
6,7183729,0.0,0.9329929759741675,AWAL,125,0,AWAL,"['AWBR', 'AWBL']"
7,7183727,0.0,0.9329929759741675,AWAL,125,0,AWAL,"['ASEL', 'AWBL']"
8,7183726,0.0,0.10798716976529218,AWAL,125,0,AWAL,"['ADFL', 'AIZL']"
9,7183725,0.0,0.036272227084878456,AWAL,125,0,AWAL,"['ADFL', 'AIZL']"
10,7183720,0.02436940577799636,0.5936738003543419,AWAL,125,0,AWAL,"['AIZL', 'AWBL']"
11,7183105,0.0,0.6314200519703606,AWAL,125,1,AIYL,"['AIZL', 'AWAL']"
12,7183101,0.0,0.4270145617553101,AWAL,125,1,AIYL,"['AIZL', 'AWAL']"
