,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,7184916,0.0,0.8324768787924156,IL2VR,125,1,RIH,"['RIPR', 'IL2VR']"
1,7184217,0.0,0.8385887279378874,IL2VR,125,0,IL2VR,"['RIPR', 'RIPR']"
2,7184207,0.020246169922567173,0.886730591646426,IL2VR,125,0,IL2VR,"['RMEL', 'URAVR', 'RIPR', 'RIPR']"
3,7184206,0.0,0.3159655529631723,IL2VR,125,0,IL2VR,"['URAVR', 'RIAR']"
4,7184205,0.0,0.6715164628905341,IL2VR,125,0,IL2VR,"['URAVR', 'RIPR', 'IL1VR']"
5,7184204,0.0,0.7077753587435854,IL2VR,125,0,IL2VR,"['RMER', 'URAVR', 'RIPR']"
6,7184203,0.0,0.8168857181601926,IL2VR,125,0,IL2VR,"['RIH', 'GLRVR']"
7,7184202,0.0,0.944993039916713,IL2VR,125,0,IL2VR,"['GLRVR', 'RIPR']"
8,7184201,0.0,0.7157722361590768,IL2VR,125,0,IL2VR,"['RIH', 'URAVR', 'RMEV', 'RMER']"
9,7184200,0.0,0.7531890345276038,IL2VR,125,0,IL2VR,"['RMEV', 'IL1VR', 'RIPR', 'RMER']"
10,7184199,0.0,0.7997129327606993,IL2VR,125,0,IL2VR,"['URAVR', 'RIPR', 'RMEL']"
11,7184198,0.0,0.8291683802354428,IL2VR,125,0,IL2VR,"['RMEL', 'RIPR']"
12,7184197,0.0,0.9205283968215192,IL2VR,125,0,IL2VR,"['RIPR', 'RMEL', 'URAVR']"
13,7184012,0.0,0.29500148695640294,IL2VR,125,1,DVC,"['URAVR', 'IL2VR']"
