,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,7185379,0.0,0.12854290476105287,OLLR,125,1,SAADL,['OLLR']
1,7184322,0.06730321631010816,0.6071324683160412,OLLR,125,0,OLLR,"['IL1R', 'RMDDR', 'RIBR']"
2,7184332,0.0,0.6394924087463868,OLLR,125,0,OLLR,"['AVEL', 'RIBR']"
3,7184331,0.030299714323838937,0.8167014745370963,OLLR,125,0,OLLR,"['AVEL', 'SMDDL']"
4,7184330,0.0,0.8167014745370963,OLLR,125,0,OLLR,"['RMDVR', 'AVEL']"
5,7184328,0.00777226062961598,0.9032210432552171,OLLR,125,0,OLLR,"['CEPDR', 'RMDVR']"
6,7184327,0.0,0.6328799293771328,OLLR,125,0,OLLR,"['RMER', 'RIBR']"
7,7184326,0.0,0.6510116627707617,OLLR,125,0,OLLR,"['IL1R', 'CEPDR', 'AVEL']"
8,7184325,0.0,0.7008930404627634,OLLR,125,0,OLLR,"['RMDVR', 'IL1DR']"
9,7184324,0.007536425243160354,0.7261314086841435,OLLR,125,0,OLLR,"['RMER', 'AVEL', 'RIBR']"
10,7184323,0.017861710610324308,0.7261314086841435,OLLR,125,0,OLLR,"['RMDVR', 'AVEL']"
11,7184320,0.1320843287567242,0.6071324683160412,OLLR,125,0,OLLR,"['CEPVR', 'RMDDR']"
12,7184319,0.15245267817247304,0.6071324683160412,OLLR,125,0,OLLR,"['RMDDR', 'AVEL']"
13,7184318,0.16449445629126075,0.6071324683160412,OLLR,125,0,OLLR,"['RMDDR', 'AVEL']"
14,7184316,0.19110462420781288,0.6071324683160412,OLLR,125,0,OLLR,"['AVEL', 'CEPVR', 'SMDVL']"
15,7184315,0.18800523803577981,0.6071324683160412,OLLR,125,0,OLLR,"['RMDDR', 'AVEL']"
16,7184314,0.29123008625552804,0.6071324683160412,OLLR,125,0,OLLR,"['AVEL', 'RIBR']"
17,7184313,0.3048186678623583,0.6071324683160412,OLLR,125,0,OLLR,['SMDVL']
18,7184312,0.3048186678623583,0.6071324683160412,OLLR,125,0,OLLR,['SMDVL']
19,7184311,0.3048186678623583,0.6071324683160412,OLLR,125,0,OLLR,"['SMDVL', 'SMDDR']"
20,7184309,0.3144379372351624,0.6071324683160412,OLLR,125,0,OLLR,['SMDDR']
21,7184305,0.26641900223955944,0.6071324683160412,OLLR,125,0,OLLR,"['AVEL', 'SMDVL', 'CEPVR']"
22,7184304,0.0,0.4915296580595469,OLLR,125,0,OLLR,['RMDL']
23,7184303,0.098933574214494,0.6071324683160412,OLLR,125,0,OLLR,"['AVEL', 'RIBR', 'OLQVR']"
24,7184302,0.005125774184061308,0.6071324683160412,OLLR,125,0,OLLR,"['IL1R', 'RMDDR', 'AVEL']"
25,7184301,0.005125774184061308,0.6071324683160412,OLLR,125,0,OLLR,"['AVEL', 'RIBR']"
26,7184300,0.0,0.6071324683160412,OLLR,125,0,OLLR,"['AVEL', 'IL1R', 'RIBR', 'RIBR']"
27,7184299,0.02703204979537715,0.8167014745370963,OLLR,125,0,OLLR,"['AVEL', 'SMDDL']"
28,7184298,0.01715415273499126,0.9032210432552171,OLLR,125,0,OLLR,"['SMDDL', 'RIBR']"
29,7184297,0.01715415273499126,0.9032210432552171,OLLR,125,0,OLLR,"['SMDDL', 'CEPDR', 'AVEL']"
30,7184294,0.01188583367688446,0.9032210432552171,OLLR,125,0,OLLR,"['AVEL', 'RIBR']"
31,7184293,0.0,0.9939173901205323,OLLR,125,0,OLLR,"['RMED', 'IL1DL']"
32,7183966,0.2491131712918889,0.6071324683160412,OLLR,125,1,CEPVR,"['IL1VR', 'RMDDR', 'OLLR']"
33,7183958,0.23645162008244747,0.6071324683160412,OLLR,125,1,CEPVR,"['OLLR', 'AVEL']"
34,7183957,0.1237835275932975,0.6071324683160412,OLLR,125,1,CEPVR,"['RMDDR', 'OLLR', 'AVEL']"
35,7183953,0.28177361625970193,0.6071324683160412,OLLR,125,1,CEPVR,"['OLLR', 'AVEL']"
36,7183952,0.1574831316464375,0.6071324683160412,OLLR,125,1,CEPVR,"['OLLR', 'AVEL']"
37,7183929,0.0,0.6689605427060119,OLLR,125,1,CEPDR,"['OLLR', 'IL1R']"
38,7183928,0.017716360320227977,0.8167014745370963,OLLR,125,1,CEPDR,"['AVEL', 'OLLR']"
39,7183916,0.01188583367688446,0.9032210432552171,OLLR,125,1,CEPDR,"['OLLR', 'AVEL']"
