,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8472452,0.484112116159606,0.19745576008661175,AQR,133,0,AQR,"['BAGR', 'RIAL']"
1,8233942,0.49593899231904714,0.19745576008661175,AQR,133,1,AIBR,"['RIML', 'AQR', 'AVBR', 'RIBL']"
2,8469136,0.033408701689107534,0.19745576008661175,AQR,133,1,unknown1,"['AVAR', 'AQR']"
3,8469135,0.0,0.09058160182280042,AQR,133,1,unknown1,"['PVPR', 'AQR']"
4,8467531,0.0,0.7201238492521443,AQR,133,1,RIR,"['AQR', 'RIAR']"
5,8467204,0.0,0.9664370180792803,AQR,133,1,RIFR,"['AQR', 'AVBR']"
6,8462341,0.0,0.33401668399771706,AQR,133,1,PVPR,"['PVCR', 'AQR', 'AVBR']"
7,8462335,0.01318825798798183,0.6443203116867431,AQR,133,1,PVPR,"['AQR', 'AVAR']"
8,8462325,0.07431010206863155,0.19745576008661175,AQR,133,1,PVPL,"['AIBR', 'AQR', 'AVBR']"
9,8462323,0.18760536194534208,0.19745576008661175,AQR,133,1,PVPL,"['AQR', 'AVBR']"
10,8462309,0.4290694321710989,0.19745576008661175,AQR,133,1,PVPL,"['AVAL', 'AQR']"
11,8421664,0.15553342422365526,0.19745576008661175,AQR,133,1,HSNL,"['AVBL', 'AQR']"
12,8417882,0.0,0.5832649738542373,AQR,133,1,DVA,['AQR']
13,8417860,0.4301996309448306,0.19745576008661175,AQR,133,1,DVA,"['PVPL', 'AQR']"
14,8417859,0.4913155756609,0.19745576008661175,AQR,133,1,DVA,"['AQR', 'AVAL']"
15,8417858,0.39013909082237774,0.19745576008661175,AQR,133,1,DVA,"['AQR', 'SDQL']"
16,8416141,0.005239159853128622,0.7201238492521443,AQR,133,1,AVHL,"['AQR', 'BAGL']"
17,8416138,0.02764262762757902,0.6093356729871381,AQR,133,1,AVHL,"['AQR', 'AVAR']"
18,8416120,0.13715321424467442,0.19745576008661175,AQR,133,1,AVFL,"['DVA', 'AQR']"
19,8415352,0.4364175240810838,0.19745576008661175,AQR,133,0,AQR,"['PVCL', 'AVAL']"
20,8415351,0.4988354340676768,0.19745576008661175,AQR,133,0,AQR,"['AVAL', 'SDQL']"
21,8415350,0.48671025960329906,0.19745576008661175,AQR,133,0,AQR,"['RIAL', 'BAGR']"
22,8415349,0.4909836920027178,0.19745576008661175,AQR,133,0,AQR,"['RIAL', 'BAGR']"
23,8415348,0.49431533024355284,0.19745576008661175,AQR,133,0,AQR,['RIAL']
24,8415347,0.6592625512977924,0.19745576008661175,AQR,133,0,AQR,"['AVBR', 'PVCL']"
25,8415346,0.0,0.522390609577493,AQR,133,0,AQR,"['AVBL', 'DVA']"
26,8415345,0.023019348829402986,0.6443203116867431,AQR,133,0,AQR,"['DVA', 'AVAR', 'AVBL']"
27,8415344,0.006912706888197238,0.6443203116867431,AQR,133,0,AQR,"['RIAR', 'BAGL']"
28,8415343,0.00877211993288517,0.6443203116867431,AQR,133,0,AQR,"['RIR', 'RIAR']"
29,8415342,0.0,0.7026891434210475,AQR,133,0,AQR,"['RIAR', 'BAGL']"
30,8415341,0.0032842624661093924,0.7201238492521443,AQR,133,0,AQR,"['RIAR', 'RIR', 'BAGL']"
31,8415340,0.007159167198241607,0.7201238492521443,AQR,133,0,AQR,"['RIR', 'RIAR', 'BAGL']"
32,8415339,0.0,0.8078934048097923,AQR,133,0,AQR,"['AVBR', 'PVCR']"
33,8415338,0.0,0.9214273746064691,AQR,133,0,AQR,"['AVHL', 'AVBR']"
34,8415322,0.06029322348840191,0.19745576008661175,AQR,133,0,AQR,"['AIBR', 'AVAR', 'AVBR']"
35,8415321,0.5385096969349705,0.19745576008661175,AQR,133,0,AQR,"['RIAL', 'BAGR']"
36,8415320,0.6449966208064043,0.19745576008661175,AQR,133,0,AQR,['AVBL']
37,8415318,0.0,0.19034940884864904,AQR,133,0,AQR,"['ADER', 'AVAR', 'AVAL']"
38,8415317,0.0,0.33265257669012677,AQR,133,0,AQR,"['PVCR', 'AVDL', 'AVBL']"
39,8415316,0.0,0.4646993899355335,AQR,133,0,AQR,"['AVAR', 'AVBL']"
40,8415315,0.0,0.6443203116867431,AQR,133,0,AQR,"['AVAR', 'AVDL']"
41,8415314,0.0,0.9035314085353924,AQR,133,0,AQR,"['PVCR', 'AVBR']"
42,8415313,0.0,0.9035314085353924,AQR,133,0,AQR,"['PVCR', 'AVBR']"
43,8238217,0.0,0.09058160182280042,AQR,133,1,ADER,"['AQR', 'DVC', 'RIGR', 'ADEL']"
44,8237776,0.0,0.038125819933979094,AQR,133,1,ADEL,"['AQR', 'RIGR']"
45,8237763,0.0,0.017415306913818412,AQR,133,1,ADEL,"['AQR', 'RIGR']"
