,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8453095,0.032120421843712575,0.9488122978843665,IL1DL,133,1,OLLL,"['IL1DL', 'ADEL', 'RMDVL']"
1,8469062,0.0,0.797530239436605,IL1DL,133,1,URYDL,"['RMDVL', 'IL1DL']"
2,8469059,0.046834363170588415,0.8040164136802294,IL1DL,133,1,URYDL,"['IL1DL', 'RMEL']"
3,8469058,0.0,0.800628103549322,IL1DL,133,1,URYDL,"['IL1DL', 'RMDVL']"
4,8469057,0.0,0.797530239436605,IL1DL,133,1,URYDL,"['IL1DL', 'RMDVL']"
5,8469056,0.0,0.7903930003082349,IL1DL,133,1,URYDL,"['IL1DL', 'RMDVL']"
6,8469055,0.0,0.7740758177065509,IL1DL,133,1,URYDL,"['IL1DL', 'RMDVL']"
7,8468873,0.04132819838776226,0.8383794603449769,IL1DL,133,1,URADL,"['BWMDL02', 'RMED', 'BWMDL01', 'IL1DL']"
8,8468062,0.02619288645003544,0.751445587074416,IL1DL,133,1,RMDDR,"['BWMDL03', 'RMDVL', 'BWMDL01', 'IL1DL']"
9,8468061,0.043910972620780156,0.751445587074416,IL1DL,133,1,RMDDR,"['BWMDL01', 'IL1DL', 'BWMDL05', 'RMDVL']"
10,8462669,0.0,0.5910376610280234,IL1DL,133,1,PVR,"['IL1DL', 'RIPL']"
11,8453102,0.0,0.7721903077048561,IL1DL,133,1,OLLL,"['IL1DL', 'RMDVL']"
12,8448828,0.0,1.0,IL1DL,133,1,IL2L,"['IL1DL', 'ADEL']"
13,8445289,0.027828325199742838,0.8383794603449769,IL1DL,133,1,IL1L,"['IL1DL', 'BWMDL02']"
14,8445284,0.031117132424763334,0.8383794603449769,IL1DL,133,1,IL1L,['IL1DL']
15,8422150,0.0,0.6921475446538339,IL1DL,133,0,IL1DL,"['BWMDL01', 'RMDVL']"
16,8422099,0.02619288645003544,0.751445587074416,IL1DL,133,0,IL1DL,"['RMDVL', 'BWMDL01']"
17,8422098,0.041646012832785156,0.751445587074416,IL1DL,133,0,IL1DL,"['RMDVL', 'BWMDL01']"
18,8422096,0.050343509942922055,0.751445587074416,IL1DL,133,0,IL1DL,"['BWMDL01', 'BWMDL03']"
19,8422095,0.0,0.5721490629851655,IL1DL,133,0,IL1DL,"['RIPL', 'PVR']"
20,8422094,0.0,0.6691902355085607,IL1DL,133,0,IL1DL,"['BWMDL01', 'RMDDR', 'RMDVL']"
21,8422093,0.0,0.7101575077226816,IL1DL,133,0,IL1DL,"['BWMDL02', 'RMDVL', 'BWMDL01']"
22,8422049,0.0,0.753302349402986,IL1DL,133,0,IL1DL,"['RMDVL', 'RIPL', 'BWMDL01']"
23,8422018,0.0,0.7242949982472343,IL1DL,133,0,IL1DL,"['BWMDL02', 'RMDVL', 'BWMDL04', 'RMDDR']"
24,8422013,0.0,0.7903930003082349,IL1DL,133,0,IL1DL,"['RMEL', 'RIPL', 'RMDVL', 'BWMDL01']"
25,8421995,0.0,0.800628103549322,IL1DL,133,0,IL1DL,"['RIPL', 'RMDVL', 'BWMDL02', 'BWMDL01']"
26,8421972,0.017647335559797094,0.8383794603449769,IL1DL,133,0,IL1DL,"['BWMDL02', 'BWMDL04', 'RMDVL']"
27,8421955,0.017647335559797094,0.8383794603449769,IL1DL,133,0,IL1DL,"['RMDVL', 'BWMDL02']"
28,8417776,0.0,0.623912624483112,IL1DL,133,1,CEPDL,"['OLQDL', 'IL1DL']"
29,8417771,0.0,0.5552709210913649,IL1DL,133,1,CEPDL,"['URXL', 'OLQDL', 'IL1DL']"
30,8417682,0.0,0.586831828253445,IL1DL,133,1,CEPDL,"['OLQDL', 'IL1DL']"
31,8417676,0.0,0.6000709532847098,IL1DL,133,1,CEPDL,"['OLQDL', 'IL1DL']"
32,8240437,0.0,0.7147512035411939,IL1DL,133,1,IL2DL,"['RIPL', 'IL1DL']"
33,8240427,0.0,0.6344595238613165,IL1DL,133,1,IL2DL,"['OLQDL', 'IL1DL', 'RIPL']"
34,8240425,0.052697632221996485,0.751445587074416,IL1DL,133,1,IL2DL,"['RIPL', 'OLQDL', 'IL1DL']"
35,8240424,0.0,0.7613407498055577,IL1DL,133,1,IL2DL,"['IL1DL', 'RIPL', 'OLQDL']"
36,8240423,0.048836708300132696,0.8040164136802294,IL1DL,133,1,IL2DL,"['URYDL', 'RMEL', 'IL1DL']"
37,8240421,0.04132819838776226,0.8383794603449769,IL1DL,133,1,IL2DL,"['RMEL', 'IL1DL', 'RIPL']"
