,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8468896,0.0,0.5807507874680455,URAVL,133,0,URAVL,"['RIPL', 'IL1VL', 'BWMVL01', 'BWMVL02']"
1,8468895,0.0,0.6259399952114109,URAVL,133,0,URAVL,"['RIPL', 'BWMVL01', 'BWMVL03']"
2,8468894,0.0,0.650897355759322,URAVL,133,0,URAVL,"['RIPL', 'BWMVL02', 'BWMVL01']"
3,8468893,0.0,0.7404742404938399,URAVL,133,0,URAVL,"['RMEV', 'RMEL', 'BWMVL02']"
4,8468892,0.0,0.7599533864808976,URAVL,133,0,URAVL,"['BWMVL02', 'BWMVL02', 'RMEV']"
5,8468891,0.0,0.779082546121688,URAVL,133,0,URAVL,"['IL1L', 'RMEV']"
6,8468890,0.0,0.7971229928896908,URAVL,133,0,URAVL,"['BWMVL02', 'BWMVL01']"
7,8468889,0.0,0.8241907148563427,URAVL,133,0,URAVL,"['BWMVL01', 'BWMVL04']"
8,8468888,0.0,0.8677878184398059,URAVL,133,0,URAVL,"['IL2L', 'RMER', 'BWMVL04', 'GLRL']"
9,8467336,0.0,0.9872536080647637,URAVL,133,1,RIH,"['URAVL', 'GLRL']"
10,8462744,0.0,0.20304605775329715,URAVL,133,1,PVT,"['IL2VL', 'URAVL']"
11,8449871,0.0,0.26302078739919793,URAVL,133,1,IL2VL,"['BAGR', 'URAVL']"
12,8449551,0.0,0.6229272011900194,URAVL,133,1,IL2VL,"['URAVL', 'RIPL']"
13,8449504,0.0,0.8271970349712205,URAVL,133,1,IL2VL,"['RMED', 'URAVL', 'RMER']"
14,8449494,0.043918189703919655,0.8297029134787425,URAVL,133,1,IL2VL,"['RIH', 'URAVL', 'RIPL']"
15,8417845,0.0,0.4306664996107686,URAVL,133,1,CEPVL,"['URAVL', 'OLQVL']"
16,8417839,0.0,0.459569875548299,URAVL,133,1,CEPVL,"['PVR', 'OLQVL', 'URAVL']"
17,8417838,0.0,0.45330199742008315,URAVL,133,1,CEPVL,"['RMHL', 'OLQVL', 'URAVL']"
18,8417837,0.0,0.49065787648105813,URAVL,133,1,CEPVL,"['OLQVL', 'URAVL']"
