,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8469117,0.013222447042486901,0.46814154482919723,URYVL,133,0,URYVL,"['SIBVR', 'AVBR']"
1,8469116,0.0,0.6459876578367679,URYVL,133,0,URYVL,"['SMDVR', 'RIBL']"
2,8469113,0.0,0.7096476513864977,URYVL,133,0,URYVL,"['SMDVR', 'AVER']"
3,8469112,0.0,0.7310495943550696,URYVL,133,0,URYVL,"['RIBL', 'SMDVR', 'AVER']"
4,8469110,0.04762437626306114,0.7783115918221345,URYVL,133,0,URYVL,"['RIBL', 'RMDR', 'AVER']"
5,8469109,0.0707428957481043,0.7783115918221345,URYVL,133,0,URYVL,"['RMDDL', 'IL1VL']"
6,8469108,0.10128385426713042,0.7783115918221345,URYVL,133,0,URYVL,"['RIBL', 'AVER']"
7,8469107,0.10571491844015118,0.7783115918221345,URYVL,133,0,URYVL,"['RMDDL', 'AVER']"
8,8469106,0.13856722995753817,0.7783115918221345,URYVL,133,0,URYVL,"['RIBL', 'AVER']"
9,8469105,0.04246094263971531,0.8485046075934948,URYVL,133,0,URYVL,"['BWMVL05', 'RMDVR']"
10,8469104,0.05044612028153064,0.8485046075934948,URYVL,133,0,URYVL,"['RMDVR', 'BWMVL05']"
11,8469103,0.0,0.8485046075934948,URYVL,133,0,URYVL,"['RMDDL', 'RMDVR']"
12,8469102,0.0,0.8664187504642091,URYVL,133,0,URYVL,"['RMDDL', 'RMDVR']"
13,8469101,0.0,0.8708392324146239,URYVL,133,0,URYVL,['RMDVR']
14,8469100,0.0,0.8895696945173339,URYVL,133,0,URYVL,"['RMDDL', 'RMDVR']"
15,8469099,0.0,0.9243333053164939,URYVL,133,0,URYVL,"['RMDVR', 'RMDDL']"
16,8469098,0.0,0.9743950375733226,URYVL,133,0,URYVL,"['OLLL', 'SMDVR']"
17,8469097,0.0,0.9870921655206014,URYVL,133,0,URYVL,"['RMDDL', 'BWMVL03']"
18,8468741,0.01076637100227554,0.46814154482919723,URYVL,133,1,SDQL,"['AVBL', 'URYVL']"
19,8467555,0.20506003447567464,0.7783115918221345,URYVL,133,1,RIS,"['CEPVL', 'AVER', 'URYVL']"
20,8467551,0.0,0.664179315847977,URYVL,133,1,RIS,"['RIBL', 'AVL', 'URYVL']"
21,8467347,0.12696264235781163,0.7783115918221345,URYVL,133,1,RIH,"['URYVL', 'OLQVL']"
22,8467341,0.0,0.003142071030345469,URYVL,133,1,RIH,"['OLQVL', 'URYVL', 'OLQVL']"
23,8467249,0.0,0.3226868730505489,URYVL,133,1,RIGL,"['URYVL', 'OLQVL']"
24,8467093,0.0,0.26776905690818037,URYVL,133,1,RIBL,"['BAGR', 'URYVL']"
25,8417830,0.0,0.9393402050471539,URYVL,133,1,CEPVL,"['RMDDL', 'URYVL']"
26,8234919,0.0,0.3382730812771283,URYVL,133,1,ADFL,"['OLQVL', 'URYVL']"
