,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8453028,0.0,0.5104733819162317,ASHL,135,0,ASHL,"['AVDR', 'AVAL', 'AVDR']"
1,8471707,0.0,0.4602225596327421,ASHL,135,0,ASHL,"['AVDR', 'ADLL', 'AVAL', 'AVAL']"
2,8471706,0.0,0.53187288256607,ASHL,135,0,ASHL,"['AVBL', 'AVAL', 'AVDR']"
3,8471705,0.0,0.5828426922762441,ASHL,135,0,ASHL,"['AVAL', 'AVBL']"
4,8471654,0.0,0.46223624330307894,ASHL,135,1,ADLL,"['ASHL', 'AVDR']"
5,8471653,0.0,0.4602225596327421,ASHL,135,1,ADLL,"['ASHL', 'AVDR', 'AVAL']"
6,8469849,0.0,0.2750386696689394,ASHL,135,1,RIFL,"['ASHL', 'RIML']"
7,8469223,0.0,0.8442495616526486,ASHL,135,1,PVPL,"['AVBL', 'ASHL', 'PVCL']"
8,8462318,0.0,0.9595913333512331,ASHL,135,1,HSNR,"['AWBL', 'ASHL']"
9,8462289,0.0,0.1697843398690937,ASHL,135,1,HSNL,['ASHL']
10,8462285,0.0,0.3635844788581574,ASHL,135,1,HSNL,"['AIAL', 'PVQL', 'ASHL']"
11,8453161,0.026419658253194075,0.15020032763964725,ASHL,135,1,ASIL,"['AIBL', 'ASHL']"
12,8453048,0.0,0.8040643100675123,ASHL,135,0,ASHL,"['AVAL', 'ADAL', 'AVAL', 'AVBL']"
13,8453044,0.0,0.051417070780605666,ASHL,135,0,ASHL,"['AIZL', 'AVBL']"
14,8453043,0.02721189587662322,0.15020032763964725,ASHL,135,0,ASHL,"['AIBL', 'AIAL']"
15,8453042,0.018371412291470296,0.15020032763964725,ASHL,135,0,ASHL,"['RMGL', 'AIAL']"
16,8453041,0.0,0.055920125887057845,ASHL,135,0,ASHL,['AVBL']
17,8453040,0.03698933222976765,0.26937271869940665,ASHL,135,0,ASHL,"['AVHR', 'RIAL', 'SMBVL']"
18,8453039,0.0,0.283302563430248,ASHL,135,0,ASHL,"['AIBL', 'RIFL', 'AIAL']"
19,8453038,0.0,0.3082172752819297,ASHL,135,0,ASHL,['AIAL']
20,8453036,0.0,0.3135433197173017,ASHL,135,0,ASHL,"['AIAL', 'ADLL']"
21,8453035,0.0,0.36926518430430333,ASHL,135,0,ASHL,"['AIBL', 'AIAL']"
22,8453034,0.0,0.3784345427384806,ASHL,135,0,ASHL,"['AIBL', 'AIAL']"
23,8453033,0.0,0.44686717513489266,ASHL,135,0,ASHL,"['AVAL', 'AVDR', 'AVAL']"
24,8453030,0.0,0.47275129519731507,ASHL,135,0,ASHL,"['AIBL', 'AVDR']"
25,8453029,0.0,0.479058516486969,ASHL,135,0,ASHL,"['AVDR', 'PVQL', 'AIAL']"
26,8453027,0.0,0.52137494395239,ASHL,135,0,ASHL,"['AIBL', 'AIAL']"
27,8453019,0.0,0.5400526197823112,ASHL,135,0,ASHL,"['AVDR', 'AVAL', 'ADLL']"
28,8453018,0.0,0.5459989230616896,ASHL,135,0,ASHL,"['AIBL', 'PVQL', 'AIAL', 'AVDR']"
29,8453017,0.0,0.564738282582013,ASHL,135,0,ASHL,"['AVAL', 'AVBL', 'AVDR']"
30,8453015,0.0,0.5828426922762441,ASHL,135,0,ASHL,"['AVAL', 'AVBL']"
31,8453013,0.0,0.6223796842447573,ASHL,135,0,ASHL,['AVBL']
32,8453012,0.0,0.6165305835215106,ASHL,135,0,ASHL,"['AWBL', 'URXL', 'AIAL']"
33,8453011,0.0070746414524353604,0.6890214343977147,ASHL,135,0,ASHL,"['AVEL', 'RMGL']"
34,8453010,0.002712415191196891,0.6890214343977147,ASHL,135,0,ASHL,"['AVEL', 'RMGL', 'URXL']"
35,8453009,0.0,0.6890214343977147,ASHL,135,0,ASHL,"['ADAL', 'AVJR']"
36,8453008,0.0,0.7689786105924037,ASHL,135,0,ASHL,"['AVAL', 'AVBL']"
37,8453007,0.0,0.7817913515532918,ASHL,135,0,ASHL,"['AVAL', 'AVBL']"
38,8453005,0.0,0.8117454654969681,ASHL,135,0,ASHL,"['ADAL', 'AVAL']"
39,8453004,0.0,0.8401838924792419,ASHL,135,0,ASHL,"['HSNL', 'HSNR']"
40,8453003,0.0,0.9991506497352747,ASHL,135,0,ASHL,"['AWAL', 'AIAR', 'AWBL']"
41,8418668,0.0,0.47275129519731507,ASHL,135,1,ADLL,"['ASHL', 'AVAL']"
42,8417977,0.013932231580318545,0.5828426922762441,ASHL,135,1,ADLL,"['ASHL', 'AVAL', 'AVDR']"
43,8417976,0.0,0.5613095373338562,ASHL,135,1,ADLL,"['ASHL', 'AVDR', 'SMBVL']"
44,8417975,0.0,0.5597383222305525,ASHL,135,1,ADLL,"['ASHL', 'SMBVL', 'AVDR']"
45,8417972,0.0,0.5264068240954146,ASHL,135,1,ADLL,"['AIBL', 'ASHL', 'AVAL', 'SMBVL']"
46,8417966,0.0,0.42509558988077384,ASHL,135,1,ADLL,"['ASHL', 'AVAL']"
47,8417959,0.0,0.31239991810434337,ASHL,135,1,ADLL,"['AIBL', 'AIAL', 'ASHL']"
48,8417726,0.01582638038002663,0.6042673923061863,ASHL,135,1,ADFL,"['ASHL', 'AIZL']"
49,8417441,0.0,0.6165305835215106,ASHL,135,1,AWBL,"['AIZL', 'ASHL', 'AIAL']"
50,8416859,0.0,0.8155537290798262,ASHL,135,0,ASHL,"['AVBL', 'AVDL', 'AVAL']"
