,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8472127,0.0,0.6805867210465993,SIAVR,135,1,RIVL,"['RIAL', 'SIAVR']"
1,8471883,0.008501677191871074,0.7295364700698311,SIAVR,135,1,RIVL,"['RMDVL', 'SIAVR']"
2,8471839,0.0,0.6815879122353307,SIAVR,135,1,RIAL,"['SIAVR', 'RMDVL']"
3,8470885,0.0,0.531253856296887,SIAVR,135,1,URBR,"['SIAVR', 'CEPDR']"
4,8470324,0.0,0.5671591317568856,SIAVR,135,1,URBR,"['RMDL', 'SIAVR']"
5,8470221,0.008939956338482918,0.7295364700698311,SIAVR,135,1,RIVL,"['SIAVR', 'RMDVL']"
6,8470218,0.004081714116001798,0.7295364700698311,SIAVR,135,1,RIVL,"['RMDVL', 'SIAVR']"
7,8470217,0.0,0.6576437647721727,SIAVR,135,1,RIVL,"['RIAL', 'SIAVR']"
8,8470215,0.0,0.6150488481276494,SIAVR,135,1,RIVL,"['RMDL', 'SIAVR']"
9,8469384,0.0,0.6245503549158102,SIAVR,135,1,RIAL,"['RMDL', 'SIAVR']"
10,8469383,0.0,0.6381868963261556,SIAVR,135,1,RIAL,"['SIAVR', 'RMDVL']"
11,8469382,0.0,0.6566202024630867,SIAVR,135,1,RIAL,"['RMDVL', 'SIAVR']"
12,8469380,0.0,0.6714363033588278,SIAVR,135,1,RIAL,"['SIAVR', 'SMDDR', 'RIVL']"
13,8469378,0.011004861159250484,0.6914418937437391,SIAVR,135,1,RIAL,"['SIAVR', 'RIVL']"
14,8462711,0.0,0.6489085627985846,SIAVR,135,1,RIAL,"['SIAVR', 'RIVL']"
15,8462705,0.0,0.6300125837342627,SIAVR,135,1,RIAL,"['RMDL', 'SIAVR']"
16,8462690,0.0,0.6403559523400163,SIAVR,135,1,RIAL,"['RMDVL', 'SIAVR']"
17,8462086,0.0,0.6707984748373551,SIAVR,135,1,CEPVR,"['SIAVR', 'RICR']"
