,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9186641,0.0,0.879976349733918,AIBR,138,1,SAAVR,"['AIBR', 'AVAR', 'RIML']"
1,9009637,0.0,0.9563489302405244,AIBR,138,1,RIML,"['AVBR', 'AIBR']"
2,9009046,0.03830245356298693,0.7851534475428242,AIBR,138,1,PVT,"['BWMDL02', 'AIBR']"
3,9008888,0.035340342741833994,0.9319613983795624,AIBR,138,1,PVPL,"['RIGL', 'AIBR']"
4,8982358,0.0,0.9944139233833272,AIBR,138,1,PVPL,"['AIBR', 'RIGL', 'AVBR']"
5,9008407,0.0,0.8128688695559134,AIBR,138,1,IL2L,"['AIBR', 'RIML']"
6,9006547,0.0,0.32154889763930206,AIBR,138,1,AWCR,"['AIYR', 'AIAR', 'AIBR']"
7,9003404,0.0,0.20159128489121722,AIBR,138,1,AWAR,"['AIBR', 'RIPR']"
8,9001452,0.0,0.2977092315926378,AIBR,138,1,ASER,"['AIBR', 'AIYR']"
9,9001459,0.0,0.21452942080000825,AIBR,138,1,ASER,"['AIBR', 'AIYR']"
10,9001444,0.0,0.39317892814413913,AIBR,138,1,ASER,"['AIZR', 'AIAR', 'AWCR', 'AIBR']"
11,9001441,0.0,0.4643658872214999,AIBR,138,1,ASER,"['AIAR', 'AIBR', 'AWAR']"
12,9001348,0.0,0.3610824144466443,AIBR,138,1,AIZR,"['AIAR', 'AIBR', 'ASER']"
13,9001321,0.0,0.5435837846552167,AIBR,138,1,AIZR,"['AIAR', 'AIBR']"
14,9001242,0.0,0.18226055356199675,AIBR,138,1,AIMR,"['AIBR', 'AIAR']"
15,9001239,0.0,0.20659364679705802,AIBR,138,1,AIMR,"['AIBR', 'AIAR']"
16,9000138,0.0,0.15932086267328532,AIBR,138,1,ASHR,"['AIBR', 'AIAR']"
17,9000130,0.0,0.35455133469023464,AIBR,138,1,AIAR,"['AIBR', 'AWCR']"
18,9000104,0.0,0.18941692940888769,AIBR,138,1,ASER,"['AIBR', 'AIYR']"
19,8980378,0.0,0.3132262545234923,AIBR,138,1,ASEL,"['AIBR', 'AIYR']"
20,8980337,0.0,0.5435837846552167,AIBR,138,1,AWAR,"['AIZR', 'AIBR', 'ASER']"
21,8980319,0.0,0.10446715821262063,AIBR,138,1,AWAR,"['RIFR', 'ASER', 'AIBR']"
22,8980236,0.0,0.13779867642636995,AIBR,138,1,AIAR,"['AIBR', 'ADAR']"
23,8980159,0.004210082940047091,0.7851534475428242,AIBR,138,1,DVC,"['AIBR', 'RIBL']"
24,8979998,0.0,0.17060296644705839,AIBR,138,1,AWCR,"['AIBR', 'AIYR']"
25,8978402,0.0,0.10948914857243823,AIBR,138,1,AIAR,"['ADAR', 'AIBR']"
