,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9599704,0.0,0.1611001336986466,ADAL,156,1,PVPL,['ADAL']
1,9599157,0.0126464198406797,0.781760288931824,ADAL,156,1,CEPDL,"['ADAL', 'RICL']"
2,9598886,0.017289096283797302,0.33977426080759704,ADAL,156,1,AVHR,"['ADAL', 'SIAVL', 'DVA']"
3,9598404,0.0,0.6169144323021977,ADAL,156,1,ASHL,"['ADAL', 'AVAL']"
4,9598349,0.0,0.19608576091992896,ADAL,156,1,AQR,"['FLPL', 'ADAL']"
5,9598230,0.014709935651862101,0.5972880039258269,ADAL,156,1,ALML,['ADAL']
6,9597737,0.05790663726478213,0.28054779668856433,ADAL,156,1,AIAL,"['ADAL', 'AIBL']"
7,9597728,0.13811126474107743,0.5972880039258269,ADAL,156,1,AIAL,"['ADAL', 'AIBL']"
8,9597539,0.05865778477165534,0.5972880039258269,ADAL,156,1,RIFL,"['ADAL', 'ASHL']"
9,9597535,0.007052652946148649,0.33977426080759704,ADAL,156,1,RIFL,"['AVHR', 'ADAL']"
10,9597514,0.0,0.2767676488961072,ADAL,156,1,RIFL,['ADAL']
11,9597507,0.0,0.2978569153497603,ADAL,156,1,RIFL,"['ASHL', 'ADAL']"
12,9597500,0.0,0.30941701222725626,ADAL,156,1,RIFL,"['RIML', 'ADAL']"
13,9597496,0.09183670430656328,0.5972880039258269,ADAL,156,1,RIFL,['ADAL']
14,9596737,0.0,0.2625036180546045,ADAL,156,0,ADAL,['RIML']
15,9596733,0.02191461653509338,0.5972880039258269,ADAL,156,0,ADAL,"['AVDR', 'AVAL', 'AVBL']"
16,9596720,0.0263762649903418,0.5972880039258269,ADAL,156,0,ADAL,"['BDUL', 'ALML']"
17,9596712,0.0,0.2843184686079077,ADAL,156,0,ADAL,"['AVBL', 'RIML']"
18,9596708,0.0,0.43094241033329655,ADAL,156,0,ADAL,"['RIML', 'AVAR']"
19,9596699,0.0,0.603263117003399,ADAL,156,0,ADAL,"['AVAL', 'AVBL', 'AVJR', 'AVDR']"
20,9596697,0.0,0.6128745178553437,ADAL,156,0,ADAL,['AVAL']
21,9596693,0.0,0.6128745178553437,ADAL,156,0,ADAL,"['AVBL', 'AVJR']"
22,9596691,0.004153484861077815,0.781760288931824,ADAL,156,0,ADAL,['AVBL']
23,9596687,0.0,0.7852090928816002,ADAL,156,0,ADAL,"['AVJR', 'AVAL']"
24,9595503,0.005752600316988046,0.5972880039258269,ADAL,156,1,AWBL,['ADAL']
