,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9601816,0.0833053926701563,0.2567778978207203,AVAR,156,1,URYDR,"['AVDR', 'AVAR']"
1,9600912,0.0,0.775798835656414,AVAR,156,1,SDQR,['AVAR']
2,9600129,0.0,0.5850970303804216,AVAR,156,1,RIMR,"['AVAR', 'SAAVR']"
3,9599628,0.0746648830999845,0.20094491268575543,AVAR,156,1,PVCR,"['AVBR', 'AVAR']"
4,9599428,0.0,0.8758566455172375,AVAR,156,1,FLPR,"['AVAR', 'AVAL']"
5,9599420,0.0,0.8686706223125636,AVAR,156,1,FLPR,"['AVAL', 'AVAR']"
6,9599404,0.0,0.8556481313526431,AVAR,156,1,FLPL,"['AVBR', 'AVAR']"
7,9599401,0.0,0.8556481313526431,AVAR,156,1,FLPL,"['AVAR', 'AVAL']"
8,9599396,0.0,0.8896484131092646,AVAR,156,1,FLPL,"['AVAR', 'AVAL']"
9,9599392,0.0,0.8953093275983401,AVAR,156,1,FLPL,"['AVAL', 'AVAR']"
10,9599390,0.0,0.8997270395587712,AVAR,156,1,FLPL,['AVAR']
11,9598914,0.05146831048163245,0.2567778978207203,AVAR,156,1,AVJL,"['AVBR', 'AVAR']"
12,9598905,0.094872678763848,0.20094491268575543,AVAR,156,1,AVJL,['AVAR']
13,9598722,0.0,0.10791956116651041,AVAR,156,1,AUAR,"['AVAR', 'RIAR']"
14,9598705,0.0,0.06312333297181721,AVAR,156,1,AUAR,"['RIAR', 'AVAR']"
15,9598444,0.05536202332808193,0.20094491268575543,AVAR,156,1,ASHR,"['AVJL', 'AVAR']"
16,9598442,0.09058812670923774,0.2567778978207203,AVAR,156,1,ASHR,"['AVDR', 'AVAR']"
17,9598361,0.0611365411422131,0.20094491268575543,AVAR,156,1,AQR,['AVAR']
18,9598354,0.04831964999859882,0.2567778978207203,AVAR,156,1,AQR,['AVAR']
19,9597441,0.0,0.7019376018738263,AVAR,156,1,SAAVR,"['AVAR', 'SMDDL', 'RIML']"
20,9597434,0.0,0.6451609580267862,AVAR,156,1,SAAVR,"['RIML', 'AVAR']"
21,9597428,0.0,0.5813796832871342,AVAR,156,1,SAAVR,"['RIML', 'AVAR']"
22,9597306,0.0,0.20185031555642044,AVAR,156,1,SAADL,"['AVER', 'AVAR']"
23,9596708,0.0,0.7579002469128976,AVAR,156,1,ADAL,"['RIML', 'AVAR']"
24,9596672,0.0894803116823268,0.2567778978207203,AVAR,156,1,ADAR,"['AVBR', 'AVAR']"
25,9596664,0.08392791277276372,0.20094491268575543,AVAR,156,1,ADAR,"['AVAR', 'AVBR']"
26,9596660,0.05116802168230228,0.2567778978207203,AVAR,156,1,ADAR,"['AVBR', 'AVAR']"
27,9596533,0.0,0.6951056782941522,AVAR,156,1,RICL,"['AVAR', 'SMDDL']"
28,9595728,0.0,0.8823564892609579,AVAR,156,1,DVC,"['AVAR', 'AVAL']"
29,9595673,0.0,0.11729767491815837,AVAR,156,1,BAGL,['AVAR']
30,9595659,0.0,0.1456669870289596,AVAR,156,1,BAGL,"['AVAR', 'AQR']"
31,9595314,0.12425759790937264,0.20094491268575543,AVAR,156,0,AVAR,['AWBR']
32,9595308,0.0,0.9060930939203993,AVAR,156,1,ADEL,['AVAR']
33,9595302,0.0,0.61642493251112,AVAR,156,0,AVAR,['SMDVR']
34,9595300,0.0,0.29276820801034087,AVAR,156,0,AVAR,['RMHR']
35,9595094,0.0,0.971061275466576,AVAR,156,1,ADER,"['AVAR', 'RIGL']"
36,9594949,0.08837691445796815,0.20094491268575543,AVAR,156,1,AIMR,['AVAR']
