,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9601864,0.0,0.7147846216690082,AVDR,156,1,URYVL,"['AVDR', 'IL2VL']"
1,9601844,0.0,0.7087533391094423,AVDR,156,1,URYVL,"['AVAL', 'AVDR']"
2,9601819,0.0,0.17498899327448858,AVDR,156,1,URYDR,"['AVDR', 'CEPDR']"
3,9601816,0.0,0.18696192433186057,AVDR,156,1,URYDR,"['AVDR', 'AVAR']"
4,9601807,0.0,0.19545071739752892,AVDR,156,1,URYDR,['AVDR']
5,9599406,0.0,0.8856325796060615,AVDR,156,1,FLPL,"['AVBL', 'AVDR']"
6,9598975,0.0,0.08371874531236678,AVDR,156,1,AVJR,['AVDR']
7,9598973,0.0,0.15404829309089435,AVDR,156,1,AVJR,['AVDR']
8,9598946,0.0,0.7918007594910617,AVDR,156,1,AVJR,"['PVCL', 'AVBL', 'AVDR']"
9,9598735,0.0,0.81037229705108,AVDR,156,0,AVDR,['ALML']
10,9598442,0.0,0.18216382633149422,AVDR,156,1,ASHR,"['AVDR', 'AVAR']"
11,9598439,0.0,0.18216382633149422,AVDR,156,1,ASHR,"['AVJR', 'AVDR']"
12,9598420,0.03456795675750125,0.7683428196123985,AVDR,156,1,ASHL,"['AVDR', 'AIAL']"
13,9598411,0.0,0.7515303789359536,AVDR,156,1,ASHL,"['AVDR', 'AIAL']"
14,9598408,0.030258980285586146,0.6717246535314637,AVDR,156,1,ASHL,['AVDR']
15,9598342,0.0,0.827995037493502,AVDR,156,1,AQR,"['AVBR', 'RID', 'AVDR', 'PVCL']"
16,9598266,0.0,0.07189315014558391,AVDR,156,1,ALMR,['AVDR']
17,9597902,0.0015086494612929664,0.3079051575165438,AVDR,156,1,AIBR,"['AVEL', 'AVDR']"
18,9597646,0.0021865029612526186,0.11579794300912274,AVDR,156,1,ADLR,"['AVDR', 'AVJR']"
19,9597594,0.019474200866379108,0.7683428196123985,AVDR,156,1,ADLL,"['AIBL', 'AVDR']"
20,9596733,0.02837672025003336,0.6717246535314637,AVDR,156,1,ADAL,"['AVDR', 'AVAL', 'AVBL']"
21,9596699,0.0,0.6626831615948025,AVDR,156,1,ADAL,"['AVAL', 'AVBL', 'AVJR', 'AVDR']"
22,9594943,0.0,0.1554047921538897,AVDR,156,1,AIMR,"['SIADL', 'AVDR']"
23,9594936,0.0,0.7617401500678456,AVDR,156,1,AIML,['AVDR']
