,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9599595,0.0,0.7345497456487664,AVJR,156,1,PVCL,['AVJR']
1,9599084,0.0,0.17445497257697823,AVJR,156,1,BDUR,"['ASJR', 'AVHR', 'AVJR']"
2,9599046,0.0,0.8968669171139796,AVJR,156,1,AVM,"['RIML', 'AVJR', 'PVCL']"
3,9599035,0.0,0.8359418148617255,AVJR,156,1,AVM,"['AVJR', 'PVCL']"
4,9599032,0.0,0.8248525480026044,AVJR,156,1,AVM,['AVJR']
5,9599003,0.0,0.9414177235351667,AVJR,156,1,AVM,['AVJR']
6,9598978,0.007270671753392479,0.5399258826524456,AVJR,156,0,AVJR,"['AVAL', 'AVBL']"
7,9598975,0.0,0.09240201473725713,AVJR,156,0,AVJR,['AVDR']
8,9598973,0.0,0.17813977198993444,AVJR,156,0,AVJR,['AVDR']
9,9598956,0.0,0.32838350648944037,AVJR,156,0,AVJR,"['AVHR', 'AVBR']"
10,9598953,0.0,0.49730236353937496,AVJR,156,0,AVJR,['AVBL']
11,9598950,0.0,0.6041353387490506,AVJR,156,0,AVJR,['AVHR']
12,9598949,0.0,0.6110557183763031,AVJR,156,0,AVJR,"['AVAL', 'AVBL']"
13,9598946,0.0,0.7192753746641993,AVJR,156,0,AVJR,"['PVCL', 'AVBL', 'AVDR']"
14,9598936,0.0,0.8136015693510127,AVJR,156,0,AVJR,['AVM']
15,9598932,0.0,0.9309787309108432,AVJR,156,0,AVJR,['AVM']
16,9598929,0.0,0.9362392165624022,AVJR,156,0,AVJR,['AVM']
17,9598869,0.0,0.056316475794882095,AVJR,156,1,AVHR,"['AVJR', 'AINR']"
18,9598808,0.0,0.9105717831915889,AVJR,156,1,AVFR,"['BDUL', 'AVJR']"
19,9598795,0.0,0.7266219176682149,AVJR,156,1,AVFL,"['AVBL', 'AVJR']"
20,9598543,0.0,0.16356135211791067,AVJR,156,1,ASJR,"['AVHR', 'BDUR', 'AVJR']"
21,9598439,0.0,0.2243743020770704,AVJR,156,1,ASHR,"['AVJR', 'AVDR']"
22,9597646,0.003514683257258786,0.09648461684976879,AVJR,156,1,ADLR,"['AVDR', 'AVJR']"
23,9597522,0.0,0.8082873361392648,AVJR,156,1,RIFL,"['AVJR', 'RIML', 'AVBL']"
24,9596699,0.0,0.5979671486000472,AVJR,156,1,ADAL,"['AVAL', 'AVBL', 'AVJR', 'AVDR']"
25,9596693,0.0,0.5935993936718433,AVJR,156,1,ADAL,"['AVBL', 'AVJR']"
26,9596687,0.007200369772147995,0.43394419521222677,AVJR,156,1,ADAL,"['AVJR', 'AVAL']"
