,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9599479,0.029539339176268387,0.4012404545852968,RMDDL,156,1,OLLL,['RMDDL']
1,9599472,0.0,0.3275735836068206,RMDDL,156,1,OLLL,"['RMDDL', 'AVER']"
2,9597215,0.017019085835744498,0.33695322383306714,RMDDL,156,1,RMDVR,"['BWMVL03', 'BWMVL01', 'RMDDL']"
3,9596991,0.13536125032545449,0.74964579232394,RMDDL,156,1,RMDDR,['RMDDL']
4,9596941,0.10026399027765073,0.74964579232394,RMDDL,156,0,RMDDL,['RMDDR']
5,9596938,0.05555916061579233,0.8405523236102633,RMDDL,156,0,RMDDL,['URADR']
6,9596930,0.06267002272114974,0.74964579232394,RMDDL,156,0,RMDDL,"['BWMDR01', 'RMDVR']"
7,9596920,0.09709916396210655,0.74964579232394,RMDDL,156,0,RMDDL,['BWMDR03']
8,9596914,0.1144643001414693,0.74964579232394,RMDDL,156,0,RMDDL,['BWMDR01']
9,9596904,0.13114551773384142,0.74964579232394,RMDDL,156,1,RMEV,"['RMDDL', 'BWMDR03']"
10,9596898,0.0,0.1458651159293211,RMDDL,156,0,RMDDL,['SMDDL']
11,9596895,0.0,0.19552109945881185,RMDDL,156,0,RMDDL,"['RIVR', 'SMDVR']"
12,9596508,0.0670636888601602,0.74964579232394,RMDDL,156,1,RIAR,"['RMDVR', 'RMDDL']"
13,9596479,0.054560951638604666,0.74964579232394,RMDDL,156,1,RIAR,['RMDDL']
14,9596425,0.0,0.30089823019870776,RMDDL,156,1,RIAL,"['RMDDL', 'RMDVR']"
15,9596419,0.0,0.35457725129835427,RMDDL,156,1,RIAL,"['RMDDL', 'RMDVR']"
16,9596396,0.01792204697883891,0.74964579232394,RMDDL,156,1,RIAL,"['RMDDL', 'SIADL']"
17,9596172,0.0,0.7422251358506714,RMDDL,156,1,OLQDR,"['SIBVR', 'RMDDL']"
18,9596169,0.0,0.8438104234938278,RMDDL,156,1,OLQDR,['RMDDL']
19,9596156,0.054560951638604666,0.74964579232394,RMDDL,156,1,OLQDR,['RMDDL']
20,9595928,0.036220199352789195,0.33695322383306714,RMDDL,156,1,IL1VL,"['RMDDL', 'RMEL']"
21,9595832,0.049208363068876285,0.74964579232394,RMDDL,156,1,IL1DR,['RMDDL']
