,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9601532,0.0,0.038771137106400004,RMED,156,1,URADR,['RMED']
1,9601515,0.04536488199288795,0.26872215569321367,RMED,156,1,URADL,"['BWMDL01', 'RMED']"
2,9601506,0.03247200411960351,0.4089862863693184,RMED,156,1,URADL,"['BWMDL02', 'RMED']"
3,9601178,0.2700291768151651,0.04397896696111435,RMED,156,1,SMBDR,"['RMED', 'BWMDL07', 'BWMDL05']"
4,9601110,0.19062130542719655,0.024067793301902195,RMED,156,1,SMBDL,"['BWMDR05', 'RMED']"
5,9600697,0.22106779576083477,0.08237564442463362,RMED,156,1,RMEV,['RMED']
6,9600482,0.7167817181429568,0.04824754991135938,RMED,156,0,RMED,"['BWMVL01', 'RMDVL', 'BWMVR03']"
7,9600471,0.7865983552560163,0.04824754991135938,RMED,156,0,RMED,"['BWMVL01', 'BWMVR01']"
8,9600453,0.8098356495543737,0.04824754991135938,RMED,156,0,RMED,"['BWMVL03', 'BWMVL01', 'BWMVR01']"
9,9600433,0.0,0.7174597885314042,RMED,156,0,RMED,['RMEV']
10,9600429,0.0,0.7127480188169627,RMED,156,0,RMED,"['BWMVL02', 'BWMVL01']"
11,9600416,0.0,0.8404028520593545,RMED,156,0,RMED,"['RMDVR', 'SMDDL']"
12,9600407,0.0,0.8299845646878714,RMED,156,0,RMED,"['BWMVR03', 'BWMVL03', 'BWMVL01', 'BWMVR01']"
13,9600388,0.0,0.927441203670117,RMED,156,0,RMED,['BWMVL03']
14,9600384,0.0,0.9149654646750774,RMED,156,0,RMED,"['BWMVL01', 'BWMVR01']"
15,9600358,0.0,0.9990359200017216,RMED,156,1,RIVR,['RMED']
16,9600009,0.0,0.33398003364598816,RMED,156,1,RIH,"['RIPL', 'RMED']"
17,9596047,0.0,0.6983566066643223,RMED,156,0,RMED,['IL2VL']
18,9595959,0.17687735578314742,0.04824754991135938,RMED,156,1,IL2DR,"['RMEV', 'RMED']"
19,9595952,0.20220474726972282,0.04824754991135938,RMED,156,1,IL2DR,"['RMED', 'RMER']"
