,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9601892,0.08879812116383444,0.8319417028416601,URYVR,156,0,URYVR,['IL1VR']
1,9601889,0.04856689045485626,0.44210357297961966,URYVR,156,0,URYVR,"['AVBR', 'URBR']"
2,9601886,0.0,0.20469765598477205,URYVR,156,0,URYVR,"['DVC', 'RIGR']"
3,9601883,0.0,0.36194190937790977,URYVR,156,0,URYVR,['ADFR']
4,9601879,0.0,0.6013295997072422,URYVR,156,0,URYVR,"['IL2R', 'RIH']"
5,9601876,0.0,0.5994749473117132,URYVR,156,0,URYVR,['AVAL']
6,9601873,0.0,0.810840564087081,URYVR,156,0,URYVR,['SMDVL']
7,9601868,0.0,0.861438364550288,URYVR,156,0,URYVR,"['AVEL', 'RIBR']"
8,9601688,0.040636200947640914,0.44210357297961966,URYVR,156,1,URBR,"['AVBR', 'URYVR']"
9,9600018,0.0,0.7848973037651322,URYVR,156,1,RIH,['URYVR']
10,9597636,0.04761945603878377,0.44210357297961966,URYVR,156,1,ADLR,"['URYVR', 'SMBVR']"
