,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9585309,0.011856008871940922,0.6853338401238049,RIR,161,1,PVPR,"['RIR', 'URXR', 'RIGR', 'AVAR', 'AVBL']"
1,9587554,0.005412868083410454,0.4141040423624467,RIR,161,1,RIGR,"['RIR', 'AIBL', 'URYVR']"
2,9587628,0.4003793973211697,0.23407048458886612,RIR,161,0,RIR,"['AUAL', 'URXL']"
3,9587627,0.014191018932629343,0.4302864301463575,RIR,161,0,RIR,"['AIZR', 'AVEL']"
4,9587626,0.02103616671059045,0.8863227399257,RIR,161,0,RIR,"['DVA', 'AIZR']"
5,9587625,0.0,0.9869229035970019,RIR,161,0,RIR,"['DVA', 'AVER', 'AIZR']"
6,9587624,0.08331416557225531,0.23407048458886612,RIR,161,0,RIR,"['RIAL', 'URXL']"
7,9587623,0.0,0.4141040423624467,RIR,161,0,RIR,"['RIAR', 'RIH', 'CEPshVR', 'BAGL']"
8,9587622,0.10421050978342561,0.23407048458886612,RIR,161,0,RIR,['AIZL']
9,9587621,0.0,0.6853338401238049,RIR,161,0,RIR,"['URXR', 'RIAR']"
10,9587620,0.3215493879182852,0.23407048458886612,RIR,161,0,RIR,"['URXL', 'RIAL']"
11,9587619,0.34245676407737646,0.23407048458886612,RIR,161,0,RIR,"['RIAL', 'URXL']"
12,9587618,0.6170924921264466,0.23407048458886612,RIR,161,0,RIR,"['BAGR', 'AIZL']"
13,9587578,0.008505074767448615,0.4302864301463575,RIR,161,1,RIH,"['CEPshVR', 'RIR', 'RIAR']"
14,9587555,0.0,0.32367344040367046,RIR,161,1,RIGR,"['CEPshVR', 'RIR']"
15,9587541,0.15071334029238187,0.23407048458886612,RIR,161,1,RIGL,"['BAGR', 'RIR', 'AVER']"
16,9583912,0.10421050978342561,0.23407048458886612,RIR,161,1,ADFL,"['AVHR', 'RIR', 'AIZL']"
17,9585302,0.6206541137010723,0.23407048458886612,RIR,161,1,PVPL,"['AVHR', 'RIR']"
18,9585045,0.019765719198038215,0.4302864301463575,RIR,161,1,DVA,"['AIZR', 'SIADR', 'AVEL', 'RIR']"
19,9585043,0.14078540078173038,0.23407048458886612,RIR,161,1,DVA,"['SIADL', 'AIZL', 'AVER', 'RIR']"
20,9585040,0.0,0.974565255754725,RIR,161,1,DVA,"['RIR', 'AUAR', 'AVER']"
21,9584081,0.5086330948194919,0.23407048458886612,RIR,161,1,AIYL,"['RIR', 'ADFL']"
22,9583931,0.010700165068979901,0.8863227399257,RIR,161,1,ADFR,"['AIZR', 'DVA', 'RIR', 'AUAR']"
23,9583916,0.5846922499886926,0.23407048458886612,RIR,161,1,ADFL,['RIR']
