,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,11439101,0.0,0.17718362998827517,ASIR,186,1,AWAR,"['ASIR', 'AIBR']"
1,11438889,0.009334031378836066,0.11129615183764585,ASIR,186,0,ASIR,"['AIAR', 'ASGR']"
2,11438887,0.003958504318708432,0.6075921586266717,ASIR,186,0,ASIR,"['RIAR', 'SMDVR']"
3,10964131,0.0,0.7789620866604994,ASIR,186,1,ALA,"['ASIR', 'ADLR']"
4,11438885,0.0,0.7639546625977368,ASIR,186,0,ASIR,"['AWCL', 'AWCR']"
5,11438883,0.0,0.9105944521600485,ASIR,186,0,ASIR,"['ASEL', 'AINL']"
6,11438882,0.0,0.9262485344681841,ASIR,186,0,ASIR,"['ASEL', 'AWCR', 'AIAR']"
7,11438881,0.0,0.9822741713679857,ASIR,186,0,ASIR,['AWCR']
8,11438880,0.0,0.9569408230041881,ASIR,186,0,ASIR,['AWCR']
9,11438816,0.0,0.339078902590205,ASIR,186,0,ASIR,['ASGR']
10,11438815,0.0,0.354492297119314,ASIR,186,1,ASGR,['ASIR']
11,11438814,0.0,0.2972741583563442,ASIR,186,1,ASGR,['ASIR']
12,11438813,0.0,0.24822467001230217,ASIR,186,0,ASIR,"['AWCL', 'ASGR']"
13,11438812,0.0,0.26377275040547776,ASIR,186,1,ASGR,['ASIR']
14,11438811,0.0,0.26377275040547776,ASIR,186,1,ASGR,['ASIR']
15,11437920,0.009334031378836066,0.11129615183764585,ASIR,186,1,AIAR,"['AIBR', 'ASIR']"
16,11437881,0.0,0.8048826923966808,ASIR,186,1,ADLR,"['AWCR', 'ASIR']"
17,10964158,0.0,0.8276206214039165,ASIR,186,1,ALA,"['ASIR', 'IL2DR', 'AWCR']"
18,10932410,0.03692311148937762,0.5398992199345337,ASIR,186,0,ASIR,['AINL']
19,10932409,0.0,0.6336362926931318,ASIR,186,0,ASIR,['AIAR']
20,10932393,0.0,0.31236522805391836,ASIR,186,1,ASGR,['ASIR']
