,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,10934465,0.04353302670195828,0.2936652591664729,RMDVR,186,1,IL1DR,"['RMER', 'RMDVR']"
1,10949998,0.04979227219906305,0.2936652591664729,RMDVR,186,1,URADR,"['RMDVR', 'BWMDR01', 'RIPR', 'BWMDR02', 'RMER']"
2,11441114,0.042940096739026316,0.8187931430721384,RMDVR,186,0,RMDVR,['RMDDL']
3,11441081,0.006468301976622104,0.24574954379561811,RMDVR,186,1,RIAR,"['RMDDL', 'RMDVR']"
4,11441080,0.0,0.6690786143837285,RMDVR,186,1,RIAL,"['RMDL', 'RMDVR']"
5,11440903,0.042940096739026316,0.8187931430721384,RMDVR,186,1,URAVL,"['RMDDL', 'RMDVR']"
6,11440668,0.0022843805944029014,0.9088903521268222,RMDVR,186,1,SMBVL,"['RMDVR', 'SAADL']"
7,11440653,0.025719192378090394,0.744496350705245,RMDVR,186,1,RMGL,"['BWMVL06', 'RMDVR']"
8,11440497,0.054280074071986824,0.8187931430721384,RMDVR,186,0,RMDVR,['BWMVL01']
9,11440496,0.0,0.8143350867947305,RMDVR,186,0,RMDVR,"['BWMVL03', 'RMDDL', 'BWMVL01']"
10,11440495,0.02188499630134739,0.7089045158745259,RMDVR,186,0,RMDVR,['BWMVL04']
11,11440493,0.02188499630134739,0.7089045158745259,RMDVR,186,0,RMDVR,['BWMVL04']
12,11440488,0.0,0.698304989326243,RMDVR,186,0,RMDVR,"['RMDDL', 'BWMVL02']"
13,11440487,0.11126415610497514,0.8187931430721384,RMDVR,186,0,RMDVR,"['RMED', 'BWMVL03', 'BWMVR01']"
14,11440458,0.09823757717307831,0.8187931430721384,RMDVR,186,0,RMDVR,"['RMDVL', 'BWMVL01', 'RMED', 'BWMVR05', 'BWMVR03']"
15,11440451,0.0,0.2069204713406192,RMDVR,186,1,RMDL,"['RMDVR', 'RIAL']"
16,11440336,0.0,0.459002745018609,RMDVR,186,1,SMBDR,"['BWMDL05', 'BWMDL07', 'RMDVR', 'RMDVL']"
17,11440334,0.0,0.4489484483672106,RMDVR,186,1,SMBDR,"['BWMDR07', 'RMDVR', 'RMDVL', 'RMED']"
18,11440308,0.0,0.2968300498509051,RMDVR,186,1,RMDDL,"['RMDVR', 'IL1R', 'URADR']"
19,11440307,0.0,0.2936652591664729,RMDVR,186,1,RMDDL,['RMDVR']
20,11440305,0.027981257402071903,0.30912764468951753,RMDVR,186,1,RMDDL,"['BWMDR01', 'RMDVR', 'SMBDL']"
21,11440303,0.019422439761394808,0.3379319117991119,RMDVR,186,1,RMDDL,"['RMDVR', 'BWMDR03']"
22,11440302,0.0,0.4225766013910353,RMDVR,186,1,RMDDL,"['BWMDL03', 'RMDVR']"
23,11440133,0.0,0.4301769759957599,RMDVR,186,1,RIAR,"['RIAL', 'RMDVR']"
24,11440053,0.0,0.8079919227781938,RMDVR,186,1,OLQVL,"['RMDVR', 'SIBDL']"
25,11440052,0.0,0.6659682887919397,RMDVR,186,1,RIAL,"['RMDDL', 'RMDVR']"
26,11440049,0.0337521155094409,0.26032996453878937,RMDVR,186,1,OLQDR,"['RMDVR', 'OLLR', 'AVEL']"
27,11440020,0.0,0.2274611511273887,RMDVR,186,1,OLLR,"['RMDVR', 'AVEL', 'CEPDR']"
28,11439638,0.02374397531379564,0.2041818479862646,RMDVR,186,1,OLLR,"['AVEL', 'CEPDR', 'RMDVR']"
29,11439637,0.019396831534038997,0.2041818479862646,RMDVR,186,1,RMDL,"['RIAL', 'CEPDR', 'RMDVR']"
30,11439631,0.0,0.29965680912458514,RMDVR,186,1,CEPDR,"['RMDVR', 'OLLR']"
31,11439568,0.0,0.7350792350153167,RMDVR,186,1,RIAR,"['RMDVR', 'SIBDL', 'OLQVL', 'SIAVL']"
32,11439567,0.0,0.8079919227781938,RMDVR,186,1,RIAR,"['SIAVL', 'RMDVR']"
33,11439564,0.0,0.8119986572783167,RMDVR,186,1,RIAL,"['RMDVR', 'RIAR']"
34,11439561,0.0,0.6574867653918628,RMDVR,186,1,RIAL,"['RMDL', 'RMDVR', 'RIAR']"
35,11439550,0.0,0.500018564417012,RMDVR,186,1,RIAL,"['RMDVR', 'RIAR']"
36,11439547,0.0,0.17414938745169098,RMDVR,186,1,RIAL,"['RMDL', 'RMDVR']"
37,11439528,0.020254522752222316,0.25142091808641076,RMDVR,186,1,IL1DR,"['RMDVR', 'RMHL', 'URADR']"
38,11439407,0.0,0.3309084159036449,RMDVR,186,1,CEPDR,"['RMDVR', 'OLLR']"
39,11439406,0.0,0.3619537836995582,RMDVR,186,1,CEPDR,"['IL1DR', 'RMDVR', 'OLLR']"
40,11439339,0.04384912126738876,0.7134778376958191,RMDVR,186,0,RMDVR,"['BWMVL04', 'BWMVL02', 'RMER', 'URAVL']"
41,11439338,0.0,0.7111279026939894,RMDVR,186,1,URAVL,"['BWMVL02', 'RMER', 'RMDVR']"
42,11439306,0.042731160290339965,0.24574954379561811,RMDVR,186,1,RMDDL,['RMDVR']
43,11439305,0.042731160290339965,0.24574954379561811,RMDVR,186,1,RMDDL,['RMDVR']
44,11439284,0.07442420111984456,0.8187931430721384,RMDVR,186,1,RMED,"['RMDVR', 'BWMVL05', 'BWMVL03', 'BWMVR01']"
45,11438749,0.0,0.17414938745169098,RMDVR,186,1,ALNR,"['RMHL', 'RMDVR', 'RMGR']"
46,10946065,0.1132664236071254,0.8187931430721384,RMDVR,186,1,RMED,"['BWMVL01', 'BWMVL03', 'RMDVR', 'BWMVR01']"
47,11435974,0.0694587555373052,0.8187931430721384,RMDVR,186,0,RMDVR,"['RMED', 'BWMVL03', 'BWMVL01', 'SMDDL']"
48,10941830,0.04409284797445314,0.2041818479862646,RMDVR,186,1,RIS,"['RMDL', 'RMER', 'AVEL', 'RMDVR', 'RIBR']"
49,11260641,0.0,0.30319906337610836,RMDVR,186,1,RIAR,"['RMDDL', 'RMDVR']"
50,11260640,0.0,0.3248211572264576,RMDVR,186,1,RIAR,"['RMDDL', 'RMDVR']"
51,11260635,0.0,0.3469009942792071,RMDVR,186,1,RIAR,"['RMDDL', 'RMDVR']"
52,11260628,0.0,0.8256598935847417,RMDVR,186,1,RIAL,"['RMDDL', 'RMDVR']"
53,11260627,0.0,0.7906767815371575,RMDVR,186,1,RIAL,"['SIAVL', 'RMDVR']"
