,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4500475,0.0,0.5604546473231121,ALMR,98,1,AIMR,['ALMR']
1,4501811,0.0,0.6709027294799237,ALMR,98,0,ALMR,"['BDUR', 'RIFR']"
2,4501819,0.0,0.7745546394334941,ALMR,98,0,ALMR,['PVCL']
3,4501829,0.0,0.6496667164406098,ALMR,98,0,ALMR,['CEPVR']
4,4501830,0.0,0.6231109392834854,ALMR,98,0,ALMR,['CEPVR']
5,4501834,0.07591882604206183,0.5604546473231121,ALMR,98,0,ALMR,['CEPDR']
6,4501866,0.0,0.88903041188728,ALMR,98,0,ALMR,['BDUR']
7,4501867,0.0,0.8616223226017881,ALMR,98,0,ALMR,['AVBR']
8,4501917,0.037510688110440504,0.5604546473231121,ALMR,98,0,ALMR,"['BDUR', 'RIFR']"
9,4502340,0.07710557237728899,0.6709027294799237,ALMR,98,0,ALMR,['CEPVR']
