,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4496927,0.0,0.4890590391893914,AUAL,98,1,AINR,['AUAL']
1,4496973,0.0,0.8730358848772745,AUAL,98,1,DVA,['AUAL']
2,4500302,0.0,0.3827858512606516,AUAL,98,1,URXL,['AUAL']
3,4500405,0.013742365897718933,0.5152528341935604,AUAL,98,1,URXL,['AUAL']
4,4502096,0.038102569325619576,0.5152528341935604,AUAL,98,0,AUAL,"['RIAL', 'RIBL']"
5,4502932,0.006698973839584787,0.5152528341935604,AUAL,98,0,AUAL,"['AVAL', 'RIAL']"
6,4502941,0.013742365897718933,0.5152528341935604,AUAL,98,0,AUAL,"['RIAL', 'RIBL', 'URXL']"
7,4502981,0.0,0.7510859036326009,AUAL,98,0,AUAL,"['AVEL', 'RIBL']"
8,4503003,0.0,0.8264162130287662,AUAL,98,0,AUAL,"['AVEL', 'RIBL']"
9,4503009,0.0,0.8478896731242965,AUAL,98,0,AUAL,"['AVEL', 'RIBL']"
10,4503020,0.0,0.8730358848772745,AUAL,98,0,AUAL,"['AVEL', 'RIBL']"
11,4507743,0.0,0.5356346577922133,AUAL,98,1,URXL,['AUAL']
12,4507902,0.0,0.4320417833738548,AUAL,98,1,URXL,['AUAL']
13,4508307,0.0,0.5911056163333989,AUAL,98,0,AUAL,"['AVAL', 'RIAL']"
14,4508332,0.0,0.42707276163969404,AUAL,98,0,AUAL,"['RIAL', 'RIBL']"
15,4508670,0.0,0.9142053261651246,AUAL,98,0,AUAL,"['AVEL', 'RIBL']"
16,4509274,0.0,0.938855847644796,AUAL,98,1,ADFL,['AUAL']
17,4509402,0.0082028596404698,0.5861958273426837,AUAL,98,1,ADFL,['AUAL']
18,4509430,0.0,0.3691974757594018,AUAL,98,1,ADFL,['AUAL']
19,5067195,0.03196876933078976,0.5152528341935604,AUAL,98,0,AUAL,"['RIAL', 'RIBL']"
20,5067197,0.03382905134394187,0.5152528341935604,AUAL,98,0,AUAL,"['RIAL', 'RIBL', 'URXL']"
