,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4497303,0.0,0.9757696205882517,OLQVL,98,1,RIH,['OLQVL']
1,4499973,0.008890569751280202,0.5967426517270561,OLQVL,98,1,CEPVL,['OLQVL']
2,4499978,0.0,0.6042353792698483,OLQVL,98,1,CEPVL,['OLQVL']
3,4499994,0.027831316397891853,0.616569701513675,OLQVL,98,1,CEPVL,['OLQVL']
4,4501567,0.0,0.9168095006154309,OLQVL,98,0,OLQVL,['IL2L']
5,4501807,0.007232709960169909,0.5967426517270561,OLQVL,98,0,OLQVL,"['RICL', 'RMHL']"
6,4501999,0.03415691660275708,0.616569701513675,OLQVL,98,0,OLQVL,"['RMDVR', 'SIBDL']"
7,4502477,0.0,0.9581875820038923,OLQVL,98,1,IL2L,['OLQVL']
8,4502506,0.0,0.886143181310155,OLQVL,98,1,IL2L,['OLQVL']
9,4502618,0.0,0.641039259709077,OLQVL,98,0,OLQVL,"['RMDVR', 'SIBDL']"
10,4502705,0.04475611466083182,0.20547975371005128,OLQVL,98,1,RIGL,['OLQVL']
11,4503315,0.0,0.03301208181876187,OLQVL,98,1,RIH,['OLQVL']
12,4506378,0.0021086840868697714,0.19930664367967282,OLQVL,98,1,PVT,['OLQVL']
13,4507158,0.0,0.3139638600253917,OLQVL,98,1,RIGL,['OLQVL']
