,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4499382,0.019436793828660776,0.8874972430813314,RIVL,98,0,RIVL,"['RIAL', 'RMDDR', 'SMDVL']"
1,4499386,0.018868243004338106,0.8874972430813314,RIVL,98,0,RIVL,"['BWM-VR05', 'BWM-VR07', 'SAADR']"
2,4499390,0.0012493024574214983,0.8874972430813314,RIVL,98,0,RIVL,['SAADR']
3,4499413,0.0,0.9043986321337313,RIVL,98,0,RIVL,['SAADR']
4,4499417,0.0,0.906131718809568,RIVL,98,0,RIVL,"['RIAL', 'RIAR', 'RMDDR']"
5,4499425,0.0,0.8883872827986964,RIVL,98,0,RIVL,"['RIAR', 'RMDDR']"
6,4499427,0.0035354281928135865,0.8883872827986964,RIVL,98,0,RIVL,"['RIR', 'SAADR']"
7,4499442,0.0,0.9208400022629053,RIVL,98,0,RIVL,['RMDL']
8,4499443,0.0,0.9370047816745121,RIVL,98,0,RIVL,"['RIAL', 'SMDDR']"
9,4499479,0.0,0.9642256387108293,RIVL,98,0,RIVL,"['RMDL', 'SIAVR']"
10,4499480,0.0,0.9499299558775937,RIVL,98,0,RIVL,"['RMDL', 'SIAVR']"
11,4500794,0.0,0.8456676353815994,RIVL,98,1,AIBL,['RIVL']
12,4502455,0.0,0.40911105337426223,RIVL,98,1,RICR,['RIVL']
13,4502925,0.0,0.9126745241022562,RIVL,98,1,RIAR,['RIVL']
14,4502968,0.022768696767012767,0.8874972430813314,RIVL,98,0,RIVL,"['BWM-VR05', 'GLRVR', 'RIAL']"
15,4503740,0.033953638225066876,0.8874972430813314,RIVL,98,0,RIVL,"['BWM-VR05', 'GLRVR']"
