synapse_id,length,dist_from_root,reference_neuron,dataset,inputs,outputs
4499540,0.0220580574095262,0.13706830800866,AQR,L1 16hr,AQR,"['ADAR', 'AVAL']"
4500039,0.0,0.5415606044930674,AQR,L1 16hr,AQR,"['AVBL', 'AVDR', 'PVCL']"
4500183,0.0294823766538857,0.13706830800866,AQR,L1 16hr,AQR,"['ADER', 'AVAL']"
4500240,0.0,0.2715237537395607,AQR,L1 16hr,AQR,['PVCL']
4500541,0.0032714653556849,0.3166233394599511,AQR,L1 16hr,AQR,"['AVAR', 'AVBL']"
4507674,0.0,0.2044352472995944,AQR,L1 16hr,AQR,['AVDL']
4508346,0.0,0.2772787588460293,AQR,L1 16hr,AQR,"['RIAR', 'RIR']"
4509281,0.0,0.0475097667118023,AQR,L1 16hr,ADER,['AQR']
4509289,0.0,0.0452625660824334,AQR,L1 16hr,ADER,['AQR']
4509297,0.011750561640183,0.3166233394599511,AQR,L1 16hr,AQR,"['AIBL', 'AVAR', 'AVBL']"
5049094,0.6664763364536322,0.09534582298685,AQR,L2,AQR,"['AVBR', 'AVAL']"
5049092,0.0,0.634461276546549,AQR,L2,AQR,"['AVBL', 'AVAR']"
5049091,0.0,0.6714651366143679,AQR,L2,AQR,"['AVBL', 'PVCR']"
5049096,0.583467984519109,0.09534582298685,AQR,L2,AQR,"['BAGR', 'RIAL', 'RIGL']"
5037580,0.0,0.6442557828175408,AQR,L2,URXR,"['PVPR', 'AQR', 'RIGR']"
5036745,0.0,0.6910059405968708,AQR,L2,RIR,"['RIAR', 'AQR']"
5033121,0.0,0.487586308583714,AQR,L2,PVPR,"['AVJL', 'PVCR', 'AQR']"
5033112,0.0,0.5978184787387707,AQR,L2,PVPR,"['AVBL', 'URXR', 'AQR']"
5033111,0.0,0.8250155322990871,AQR,L2,PVPR,"['AQR', 'AVBR']"
5033105,0.170296929257843,0.09534582298685,AQR,L2,PVPL,"['AQR', 'AVAR', 'AVBR']"
5033104,0.5296960826349938,0.09534582298685,AQR,L2,PVPL,"['AQR', 'AVBR', 'AVAL']"
5033115,0.0,0.6677933674209958,AQR,L2,PVPR,"['AQR', 'PVCR']"
5033097,0.0,0.9801323982957002,AQR,L2,PVPL,"['PVCL', 'AQR', 'AVBL']"
5033088,0.0,0.4217192186980762,AQR,L2,PVCR,"['AQR', 'AVBL', 'AVDL']"
5033084,0.0,0.6456911641125099,AQR,L2,PVCR,"['AQR', 'AVAR']"
5032580,0.1613967015803314,0.09534582298685,AQR,L2,DVA,"['AVAR', 'ADAL', 'AQR', 'PVPL']"
5032559,0.0,0.3894827669429013,AQR,L2,DVA,"['AQR', 'PVPR']"
5030461,0.0059028986621122,0.634461276546549,AQR,L2,AQR,"['AVBL', 'AVAR']"
5030449,0.0059028986621122,0.634461276546549,AQR,L2,AQR,"['RIBR', 'AVBL', 'RIGR']"
5030444,0.1140400708442141,0.09534582298685,AQR,L2,AQR,"['PVCL', 'AVAR']"
