synapse_id,length,dist_from_root,reference_neuron,dataset,inputs,outputs
4503818,0.0,0.0938700341590581,AVL,L1 16hr,PVT,"['AVL', 'AVKL']"
4503819,0.0,0.0931048670804261,AVL,L1 16hr,PVT,"['AVL', 'AVKL']"
4503820,0.0,0.0926914741412537,AVL,L1 16hr,PVT,"['AVL', 'AVKL']"
4503821,0.0,0.0914403989746019,AVL,L1 16hr,PVT,"['AVL', 'AVKL']"
4503856,0.0,0.0764882695646887,AVL,L1 16hr,PVT,"['AVL', 'AVKL']"
4503857,0.0,0.0749480900523233,AVL,L1 16hr,PVT,"['AVL', 'AVKL']"
4503858,0.0,0.073105022414278,AVL,L1 16hr,PVT,"['AVL', 'AVKL']"
4503859,0.0,0.0719501047740921,AVL,L1 16hr,PVT,['AVL']
4504332,0.0029399236925624,0.296781309630655,AVL,L1 16hr,AVL,"['RMEL', 'RIS']"
4504333,0.0008693431057611,0.296781309630655,AVL,L1 16hr,AVL,"['RMEL', 'RIS']"
4504334,0.0,0.296781309630655,AVL,L1 16hr,AVL,"['RMEL', 'RIS']"
4504348,0.0,0.7455608375883366,AVL,L1 16hr,AVL,"['RIS', 'RMER']"
4504349,0.0,0.7471149737051176,AVL,L1 16hr,AVL,"['RIS', 'RMER']"
4504350,0.0,0.7480129419188378,AVL,L1 16hr,AVL,['RMER']
4504351,0.0,0.7502965869826799,AVL,L1 16hr,AVL,['RMER']
4504352,0.0,0.7524426282848033,AVL,L1 16hr,AVL,['RMER']
5036784,0.0,0.2056085246581535,AVL,L2,RIS,"['RMDL', 'RIMR', 'AVL']"
5036777,0.0,0.3912876471834845,AVL,L2,RIS,"['AVL', 'AVKL', 'RIMR']"
5034162,0.0,0.9577249841221632,AVL,L2,PVT,"['SMBDR', 'AVKR', 'AVL']"
5034155,0.0,0.1701126031311755,AVL,L2,PVT,"['AVKL', 'AVL']"
5031152,0.0057229639102088,0.5823460271426146,AVL,L2,AVL,"['RMER', 'RIS']"
5031151,0.002112002052101,0.5823460271426146,AVL,L2,AVL,"['RMER', 'RIS']"
5031098,0.0,0.8429953242103508,AVL,L2,AVKL,"['PVT', 'RIGR', 'AVL']"
6646441,0.0,0.9127141216568778,AVL,L1 8hr,FLPL,"['AVAR', 'ADEL', 'AVL']"
6375343,0.0,0.227581153584925,AVL,L1 8hr,AVL,"['RMEL', 'RIS']"
