synapse_id,length,dist_from_root,reference_neuron,dataset,inputs,outputs
4499726,0.0,0.5411646989640501,IL1DL,L1 16hr,CEPDL,['IL1DL']
4500413,0.1032269664410866,0.7461983442160613,IL1DL,L1 16hr,IL1DL,"['BWM-DL01', 'RIPL']"
4500424,0.0809228461577077,0.7461983442160613,IL1DL,L1 16hr,IL1DL,['RIPL']
4500439,0.0,0.5956350520075342,IL1DL,L1 16hr,IL1DL,"['BWM-DL02', 'RIPL', 'RMDVL', 'RMEL']"
4501977,0.0,0.8614314890118034,IL1DL,L1 16hr,IL2DL,['IL1DL']
4504103,0.0,0.8847840408615342,IL1DL,L1 16hr,CEPDL,['IL1DL']
4504116,0.1989252558960053,0.7461983442160613,IL1DL,L1 16hr,CEPDL,['IL1DL']
4506549,0.001312114537032,0.4957742182350937,IL1DL,L1 16hr,PVR,['IL1DL']
4507280,0.0,0.7142364340441382,IL1DL,L1 16hr,URADL,['IL1DL']
4507301,0.1032269664410866,0.7461983442160613,IL1DL,L1 16hr,URADL,['IL1DL']
5037604,0.0,0.9422724522019076,IL1DL,L2,URYDL,"['IL1DL', 'SMDDR']"
5037597,0.0037681714182165,0.8406113545884172,IL1DL,L2,URYDL,"['RMDVL', 'IL1DL']"
5034132,0.0,0.5356130258746394,IL1DL,L2,PVR,"['RIPL', 'IL1DL']"
5032819,0.0334613600459856,0.8051776605081886,IL1DL,L2,IL2DL,"['RIPL', 'URADL', 'RMEL', 'IL1DL']"
5032818,0.0187688870490428,0.8406113545884172,IL1DL,L2,IL2DL,"['IL1DL', 'RMEL', 'RIPL']"
5032724,0.0,0.7871023531728805,IL1DL,L2,IL1DL,"['RMDVL', 'BWMDL01', 'RIPL']"
5032721,0.0,0.7082386584208822,IL1DL,L2,IL1DL,"['BWMDL02', 'RMDVL']"
5032720,0.0,0.734984277634945,IL1DL,L2,IL1DL,"['RMDVL', 'BWMDL02', 'BWMDL04']"
5032718,0.0,0.7626476737543865,IL1DL,L2,IL1DL,"['BWMDL02', 'BWMDL01', 'RIPL']"
5032717,0.0,0.7785350661908672,IL1DL,L2,IL1DL,"['BWMDL02', 'IL1L', 'URADL']"
5032716,0.0,0.779990666350203,IL1DL,L2,IL1DL,"['RMEL', 'BWMDL02']"
5032715,0.0,0.7871023531728805,IL1DL,L2,IL1DL,"['RIPL', 'BWMDL02']"
