synapse_id,length,dist_from_root,reference_neuron,dataset,inputs,outputs
4504340,0.0,0.002884331232001,OLQDL,L1 16hr,RIH,['OLQDL']
4504339,0.0,0.0062253463837194,OLQDL,L1 16hr,RIH,['OLQDL']
4503226,0.0219664630298525,0.0120967922579619,OLQDL,L1 16hr,RIH,['OLQDL']
4503225,0.0250331827057001,0.0120967922579619,OLQDL,L1 16hr,RIH,['OLQDL']
4503224,0.033167503772826,0.0120967922579619,OLQDL,L1 16hr,RIH,"['CEPDL', 'OLQDL']"
4503223,0.034451005405195,0.0120967922579619,OLQDL,L1 16hr,RIH,"['OLQDL', 'CEPDL']"
4502547,0.0339297410779418,0.9037303169793616,OLQDL,L1 16hr,IL2L,['OLQDL']
4502546,0.0351739004589415,0.9037303169793616,OLQDL,L1 16hr,IL2L,"['OLQDL', 'RIH']"
4502495,0.0,0.9247078818069474,OLQDL,L1 16hr,IL2L,"['RIH', 'OLQDL']"
4502494,0.0,0.9105931045030516,OLQDL,L1 16hr,IL2L,"['OLQDL', 'RIH']"
4502493,0.0,0.9037303169793616,OLQDL,L1 16hr,IL2L,"['OLQDL', 'RIH']"
4502492,0.005031479858298,0.9037303169793616,OLQDL,L1 16hr,IL2L,"['OLQDL', 'RIH']"
4502491,0.0187978815547355,0.9037303169793616,OLQDL,L1 16hr,IL2L,"['OLQDL', 'RIH']"
4502490,0.0239380406408277,0.9037303169793616,OLQDL,L1 16hr,IL2L,"['OLQDL', 'RIH']"
4502489,0.0254020896464918,0.9037303169793616,OLQDL,L1 16hr,IL2L,"['RIH', 'OLQDL']"
4502488,0.0339297410779418,0.9037303169793616,OLQDL,L1 16hr,IL2L,"['OLQDL', 'RIH']"
4499914,0.0141956735192954,0.4945634392330555,OLQDL,L1 16hr,OLQDL,['RICR']
4499913,0.0161745834157849,0.4945634392330555,OLQDL,L1 16hr,OLQDL,['RICR']
4499912,0.0190812782670163,0.4945634392330555,OLQDL,L1 16hr,OLQDL,['RICR']
4499911,0.0222952833809234,0.4945634392330555,OLQDL,L1 16hr,OLQDL,['RICR']
4499910,0.0253438506598255,0.4945634392330555,OLQDL,L1 16hr,OLQDL,['RICR']
4499909,0.0268544177536378,0.4945634392330555,OLQDL,L1 16hr,OLQDL,['RICR']
4499908,0.0298540416429539,0.4945634392330555,OLQDL,L1 16hr,OLQDL,['RICR']
4499716,0.0054469932390103,0.4945634392330555,OLQDL,L1 16hr,CEPDL,"['URBL', 'OLQDL']"
4499586,0.0,0.5770910468362637,OLQDL,L1 16hr,OLQDL,"['SIBVL', 'RMDDR']"
4499585,0.0,0.5627070173156954,OLQDL,L1 16hr,OLQDL,"['SIBVL', 'RMDDR']"
4499584,0.0,0.55957833241936,OLQDL,L1 16hr,OLQDL,"['SIBVL', 'RMDDR']"
4499583,0.0,0.548976113815888,OLQDL,L1 16hr,OLQDL,"['SIBVL', 'RMDDR']"
4499582,0.0,0.5429476400086811,OLQDL,L1 16hr,OLQDL,"['SIBVL', 'RMDDR']"
4499581,0.0,0.5410482371346808,OLQDL,L1 16hr,OLQDL,"['SIBVL', 'RMDDR']"
4499580,0.0,0.5391214337373446,OLQDL,L1 16hr,OLQDL,"['SIBVL', 'RMDDR']"
4499579,0.0,0.5368754024092345,OLQDL,L1 16hr,OLQDL,"['SIBVL', 'RMDDR']"
4499578,0.0,0.5354402025233541,OLQDL,L1 16hr,OLQDL,"['SIBVL', 'RMDDR']"
4499379,0.0187978815547355,0.9037303169793616,OLQDL,L1 16hr,OLQDL,['IL2L']
4499378,0.0239380406408277,0.9037303169793616,OLQDL,L1 16hr,OLQDL,['IL2L']
4499377,0.0254020896464918,0.9037303169793616,OLQDL,L1 16hr,OLQDL,['IL2L']
4497058,0.1618211849995234,0.0,OLQDL,L1 16hr,RIH,"['OLQDL', 'RIPL']"
4497057,0.1558399537935794,0.0,OLQDL,L1 16hr,RIH,"['OLQDL', 'RIPL']"
4497056,0.1446977311522449,0.0,OLQDL,L1 16hr,RIH,"['OLQDL', 'RIPL']"
4497055,0.1339158426836104,0.0,OLQDL,L1 16hr,RIH,"['OLQDL', 'RIPL']"
4497054,0.1210749417398018,0.0,OLQDL,L1 16hr,RIH,"['OLQDL', 'RIPL']"
4497053,0.101653406941609,0.0,OLQDL,L1 16hr,RIH,"['OLQDL', 'RIPL']"
4497052,0.0634050329021411,0.0,OLQDL,L1 16hr,RIH,"['OLQDL', 'RIPL']"
4497051,0.0534029291244747,0.0,OLQDL,L1 16hr,RIH,"['OLQDL', 'RIPL']"
4497050,0.0509158498737659,0.0,OLQDL,L1 16hr,RIH,"['OLQDL', 'RIPL']"
4497049,0.0486877374617275,0.0,OLQDL,L1 16hr,RIH,"['OLQDL', 'RIPL']"
