synapse_id,length,dist_from_root,reference_neuron,dataset,inputs,outputs
4504673,0.0080580034886838,0.0,PVCL,L1 16hr,PVCL,"['FLPR', 'AVBL']"
4508596,0.0,0.0575788098167297,PVCL,L1 16hr,PVCL,"['RIS', 'SIAVR']"
4508595,0.0,0.0562666136156433,PVCL,L1 16hr,PVCL,"['SIAVR', 'RIS']"
4508594,0.0,0.0551511308903288,PVCL,L1 16hr,PVCL,"['RIS', 'SIAVR']"
4508593,0.0,0.0536860868216447,PVCL,L1 16hr,PVCL,"['AVEL', 'RIS', 'SIAVR']"
4508570,0.0,0.7372635229058278,PVCL,L1 16hr,PVCL,"['AVBL', 'SIBDR']"
4508569,0.0,0.7381669633885906,PVCL,L1 16hr,PVCL,"['AVBL', 'SIBDR']"
4508421,0.0,0.046548492104252,PVCL,L1 16hr,AVJL,['PVCL']
4508420,0.0,0.0289832874260672,PVCL,L1 16hr,AVJL,['PVCL']
4508305,0.0,0.1753423056545441,PVCL,L1 16hr,AVJL,"['PVCL', 'AVBR']"
4508304,0.0,0.1722928632240464,PVCL,L1 16hr,AVJL,"['PVCL', 'AVBR']"
4506180,0.0122798501443626,0.2326896330538904,PVCL,L1 16hr,BDUR,"['PVCL', 'AVJL']"
4504632,0.0098310096639236,0.4037096983506935,PVCL,L1 16hr,PVCL,"['PVCR', 'AVDL', 'AVER']"
4504507,0.0,0.7169281109852838,PVCL,L1 16hr,PVCL,"['AVBL', 'SIBDR']"
4504506,0.0,0.7108185775972973,PVCL,L1 16hr,PVCL,"['AVBL', 'SIBDR']"
4504505,0.0,0.7075780604592327,PVCL,L1 16hr,PVCL,"['AVBL', 'SIBDR']"
4502711,0.0021143475668827,0.4037096983506935,PVCL,L1 16hr,PVCR,['PVCL']
4501819,0.0059950561993254,0.2850145789443271,PVCL,L1 16hr,ALMR,['PVCL']
4500242,0.0085328931359288,0.3549606256242265,PVCL,L1 16hr,AQR,['PVCL']
