synapse_id,length,dist_from_root,reference_neuron,dataset,inputs,outputs
4497060,0.0048833800502855,0.8848766096409287,RIAL,L1 16hr,RMDL,"['RIAL', 'RMDVR']"
4496761,0.0063792928391123,0.3254331628590451,RIAL,L1 16hr,ADFL,"['RIAL', 'ADAL']"
5067192,0.0,0.6358108444587062,RIAL,L1 16hr,RIAL,"['SMDVL', 'SMDDR']"
5067190,0.0,0.5125535835859256,RIAL,L1 16hr,RIAL,"['RMDDL', 'RMDVR']"
5067189,0.0,0.4208763321174384,RIAL,L1 16hr,RIAL,"['RMDDL', 'RMDVR']"
4497871,0.0,0.4133854198111701,RIAL,L1 16hr,SMDVR,"['RIAL', 'RIAR']"
4509483,0.0,0.2397749227690399,RIAL,L1 16hr,ADFL,"['AIZL', 'RIAL']"
4509482,0.0,0.2412220306001165,RIAL,L1 16hr,ADFL,"['RIAL', 'AIZL']"
4509481,0.0,0.2421093508651607,RIAL,L1 16hr,ADFL,"['SMBVL', 'AIZL', 'RIAL']"
4509480,0.0,0.2441000346522627,RIAL,L1 16hr,ADFL,"['AIZL', 'SMBVL', 'RIAL']"
4509479,0.0,0.2458250119746371,RIAL,L1 16hr,ADFL,"['AIZL', 'SMBVL', 'RIAL']"
4509442,0.0,0.218563242539447,RIAL,L1 16hr,ADFL,['RIAL']
4509441,0.0,0.2213073893602831,RIAL,L1 16hr,ADFL,['RIAL']
4509439,0.0,0.2221014442665191,RIAL,L1 16hr,ADFL,"['AIZL', 'RIAL']"
4509431,0.0,0.1675809538649624,RIAL,L1 16hr,ADFL,['RIAL']
4509430,0.0,0.1664770626049101,RIAL,L1 16hr,ADFL,"['AUAL', 'RIAL']"
4509288,0.0,0.0218998001589338,RIAL,L1 16hr,URXL,"['RIAL', 'RIR']"
4509287,0.0,0.0254021964439311,RIAL,L1 16hr,URXL,"['RIAL', 'RIR']"
4509286,0.0,0.0276077582266555,RIAL,L1 16hr,URXL,"['RIAL', 'RIR']"
4509285,0.0,0.0286228439588235,RIAL,L1 16hr,URXL,"['RIAL', 'RIR']"
4508337,0.0,0.1246645153371934,RIAL,L1 16hr,AUAL,"['RIBL', 'RIAL']"
