,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,4844594,5037576,0,0.38241938800514086,URAVR,106,1,URXR,"['URAVR', 'RIGR']"
1,4844481,5037507,0,0.6581835153206005,URAVR,106,0,URAVR,"['BWMVR02', 'RIPR', 'IL1VR']"
2,4844488,5037506,0,0.678984655206322,URAVR,106,0,URAVR,"['BWMVR02', 'RIPR', 'BWMVR01', 'RMEV', 'RMER']"
3,4844492,5037505,0,0.6932790337709759,URAVR,106,0,URAVR,"['BWMVR02', 'RIPR']"
4,4844516,5037504,0,0.7767260474086065,URAVR,106,0,URAVR,"['RIPR', 'RMEV']"
5,4844518,5037503,0,0.7839662169465936,URAVR,106,0,URAVR,"['RIPR', 'BWMVR02', 'RMER', 'RMEV']"
6,4844540,5037502,0,0.888013990351397,URAVR,106,0,URAVR,"['RMEL', 'BWMDR02', 'BWMVR02']"
7,4844618,5034145,0,0.315832401638889,URAVR,106,1,PVT,"['URAVR', 'IL2VR']"
8,4844495,5032907,0,0.7044209991501591,URAVR,106,1,IL2VR,"['RMER', 'RMEV', 'URAVR']"
9,4844548,5032899,0,0.9125302681591381,URAVR,106,1,IL2VR,"['RMEL', 'URAVR', 'RIPR']"
10,4844520,5032770,0,0.7884645075180835,URAVR,106,1,IL1R,"['BWMVR02', 'RMDDR', 'URAVR']"
11,4844427,5032489,0,0.5104566394729453,URAVR,106,1,CEPVR,"['OLQVR', 'URAVR', 'RIPR', 'PVR']"
12,4844410,5032482,0,0.44712473152086807,URAVR,106,1,CEPVR,"['OLQVR', 'URAVR', 'RIPR', 'PVR']"
13,4844421,4976877,0,0.4910546992200419,URAVR,106,1,ADAR,"['RICR', 'OLQVR', 'URAVR']"
