Unnamed: 0,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,6375051,0.027916598053595,0.770152068716991,ADAL,121,1,ASHL,"['ADAL', 'ALML', 'AVDL', 'AVAL']"
1,6647171,0.0,0.3949303254525081,ADAL,121,1,RICR,"['ADAL', 'SMDDL', 'AVAR']"
2,7182605,0.0,0.6567961690536264,ADAL,121,1,URXL,"['RICL', 'ADAL']"
3,7182598,0.0,0.6219357010889198,ADAL,121,1,URBL,"['URXL', 'ADAL']"
4,6647179,0.0230253232587994,0.5950538023103925,ADAL,121,1,RIFL,"['ADAL', 'ASHL', 'ADAL']"
5,6647179,0.0505571091155671,0.5950538023103925,ADAL,121,1,RIFL,"['ADAL', 'ASHL', 'ADAL']"
6,6646404,0.0,0.2063700334483844,ADAL,121,1,DVA,"['AVAR', 'ADAL']"
7,6375128,0.0574750544335416,0.5950538023103925,ADAL,121,1,ASKL,"['ADAL', 'AIAL']"
8,6375053,0.0,0.6219357010889198,ADAL,121,1,ASHL,"['ADAL', 'AVDR']"
9,6374804,0.0672274449744592,0.5950538023103925,ADAL,121,1,AIAL,"['AIBL', 'ADAL']"
10,6374800,0.0,0.2937936830366063,ADAL,121,1,AIAL,"['AIBL', 'ASKL', 'ADAL', 'RIFL']"
11,6374792,0.0461515644607018,0.2937936830366063,ADAL,121,1,AIAL,"['ADAL', 'AIBL', 'RIFL']"
12,6374760,0.0672274449744592,0.5950538023103925,ADAL,121,1,ADLL,"['AIBL', 'ADAL', 'ASEL']"
13,6374759,0.0427044883523443,0.5950538023103925,ADAL,121,1,ADLL,"['ADAL', 'ASEL', 'AIBL']"
14,6374698,0.0,0.275079873203347,ADAL,121,0,ADAL,"['AVHR', 'AVBL', 'RIML']"
15,6374682,0.0107147244709545,0.770152068716991,ADAL,121,0,ADAL,"['AVAL', 'AVJR', 'AVBL']"
16,6374694,0.0,0.2528553193925394,ADAL,121,0,ADAL,"['AVAR', 'RIML', 'AVBR']"
17,6374692,0.0,0.3772870995480598,ADAL,121,0,ADAL,"['AVAR', 'RICR']"
18,6374684,0.0,0.5598861904556025,ADAL,121,0,ADAL,"['AVBL', 'AVJR']"
0,7125737,0.0119017318586761,0.7758628400234376,ADAR,121,1,SMBDL,"['ADAR', 'AVBR', 'SIBDL']"
1,6647302,0.0,0.2140974383749635,ADAR,121,1,RIMR,"['AVBR', 'AVBL', 'ADAR']"
2,6647185,0.0,0.2665918579419069,ADAR,121,1,RIFR,"['AVJL', 'ADAR', 'AVBR']"
3,6647176,0.0,0.7511931184160691,ADAR,121,1,RICR,"['AVAR', 'ADAR']"
