,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,7050384,0.0,0.3494809596272088,ASKR,124,1,AIMR,"['ASKR', 'AIAR']"
1,7125369,0.04494523786810245,0.40983118347076425,ASKR,124,1,PVQR,"['ASKR', 'AIAR']"
2,7124881,0.0,0.6113140912692161,ASKR,124,1,AWAR,"['ADLR', 'ASKR', 'ASER']"
3,7124811,0.0,0.4435639132124167,ASKR,124,0,ASKR,['AIAR']
4,7124810,0.0,0.5265407263490314,ASKR,124,0,ASKR,['AIAR']
5,7124809,0.0,0.20318894442796026,ASKR,124,0,ASKR,['AIAR']
6,7124801,0.05005855182156287,0.40983118347076425,ASKR,124,1,ASJR,"['ASKR', 'PVQR', 'AIAR']"
7,7050155,0.0,0.4435639132124167,ASKR,124,1,AIAR,['ASKR']
8,7050144,0.0,0.5226443772201435,ASKR,124,1,AIAR,"['ASKR', 'AIBR']"
9,7050094,0.0,0.9129817788169884,ASKR,124,1,ADLR,['ASKR']
10,7050087,0.027613407261679324,0.5334886265461809,ASKR,124,1,ADLR,"['ASER', 'AIBR', 'ASKR']"
11,7050086,0.01771464939165667,0.5334886265461809,ASKR,124,1,ADLR,"['ASKR', 'AIBR']"
