,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,7125800,0.039856421564731626,0.816267377992942,RMDR,124,1,RMGL,"['RMDR', 'RMDVL', 'RIAL']"
1,7125565,0.0,0.40105434012539143,RMDR,124,1,RIML,"['BWMDR04', 'RMDR', 'SMDDL']"
2,7125563,0.03714998168020273,0.20162192059416234,RMDR,124,1,RIML,"['RMDR', 'BWMVR04']"
3,7125457,0.0,0.22212319311412632,RMDR,124,1,RIAR,"['RMDR', 'RIAL']"
4,7125407,0.0,0.22212319311412632,RMDR,124,1,RIAL,"['RMDR', 'RIAR']"
5,7125405,0.004983656235661149,0.40105434012539143,RMDR,124,1,RIAL,"['RMDR', 'RMDDL']"
6,7125673,0.0,0.22212319311412632,RMDR,124,1,RMDL,"['IL2R', 'IL1R', 'RMDR']"
7,7182433,0.09333678016481094,0.40105434012539143,RMDR,124,1,SMDDL,"['RIAR', 'RMDR', 'RIAL']"
8,7125804,0.021488338464098533,0.7949626405604621,RMDR,124,1,RMGL,"['RMDR', 'RMDVL']"
9,7125803,0.0,0.8224822264646825,RMDR,124,1,RMGL,['RMDR']
10,7125682,0.00930440303917778,0.84221031497133,RMDR,124,0,RMDR,"['RMDL', 'OLLL', 'IL2L', 'IL1L']"
11,7125681,0.09242838840480277,0.7949626405604621,RMDR,124,0,RMDR,"['RIAL', 'RMDVL']"
12,7125680,0.023998589078987307,0.7949626405604621,RMDR,124,0,RMDR,"['RIAR', 'RIAL', 'RMDVL']"
13,7125679,0.0035685235422486454,0.84221031497133,RMDR,124,0,RMDR,"['BWMDL04', 'BWMDL02']"
14,7125677,0.043243828042656085,0.84221031497133,RMDR,124,0,RMDR,"['BWMDL02', 'IL1L', 'BWMVL02', 'RMDL']"
15,7125598,0.0,1.0,RMDR,124,1,RIMR,"['RMDR', 'SMDDR', 'RMDL']"
16,7125674,0.0,0.17888392812744422,RMDR,124,1,RMDL,"['BWMVR02', 'IL1R', 'RMDR']"
