,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,6676568,7182529,0.03143357348424169,0.7323661606190169,SMDDL,124,1,URYDR,"['SMDDL', 'AVEL', 'RIBR']"
1,6676571,7182528,0.054402178634377914,0.7323661606190169,SMDDL,124,1,URYDR,"['RIBR', 'SMDDL']"
2,6676571,7182524,0.054402178634377914,0.7323661606190169,SMDDL,124,1,URYDR,"['AVEL', 'SMDDL']"
3,6675858,7182468,0.04340982290100916,0.3286449395085508,SMDDL,124,1,SMDVR,"['SMDDL', 'BWMVL03', 'BWMVL01']"
4,6676561,7182436,0.001772259819949626,0.7323661606190169,SMDDL,124,0,SMDDL,"['RIAR', 'RIAL']"
5,6676565,7182435,0.02362468543139549,0.7323661606190169,SMDDL,124,0,SMDDL,"['BWMDL01', 'SMDVR', 'BWMDR01', 'BWMDR03']"
6,6675850,7125586,0.0,0.3286449395085508,SMDDL,124,1,RIMR,"['RIBL', 'SMDDL', 'SMDVR', 'RIS']"
7,6675949,7125578,0.0,0.6558799538209029,SMDDL,124,1,RIMR,"['SAADR', 'SMDVR', 'SMDDL']"
8,6675831,7125573,0.0,0.2889201212536281,SMDDL,124,1,RIML,"['AIBR', 'SMDDL']"
9,6675953,7125571,0.0,0.6841724528825388,SMDDL,124,1,RIML,"['SMDDL', 'SMDDR']"
10,6675970,7125565,0.0,0.8080448081231103,SMDDL,124,1,RIML,"['BWMDR04', 'RMDR', 'SMDDL']"
11,6675835,7125484,0.0,0.294432481515611,SMDDL,124,1,RICR,"['SMDDL', 'AVAR']"
12,6675893,7125482,0.0,0.39363916297036133,SMDDL,124,1,RICL,"['AVAR', 'SMDDL']"
13,6675880,7125454,0.0,0.3538738943762178,SMDDL,124,1,RIAR,"['SMDVR', 'SMDDL']"
14,6675849,7125452,0.0,0.3271485801014425,SMDDL,124,1,RIAR,"['SMDDL', 'RICR']"
15,6675961,7125399,0.0,0.7648753732959511,SMDDL,124,1,RIAL,"['SMDVR', 'SMDDL']"
16,6675845,7125393,0.0,0.31644811131629896,SMDDL,124,1,RIAL,"['SMDDL', 'SMDVR']"
17,6675956,7125391,0.0,0.6983544434366672,SMDDL,124,1,RIAL,"['SMDVL', 'SMDDR', 'SMDDL']"
18,6676570,7125298,0.03762177437457772,0.7323661606190169,SMDDL,124,1,OLLR,"['CEPDR', 'SMDDL']"
19,6676570,7125044,0.03762177437457772,0.7323661606190169,SMDDL,124,1,CEPDR,"['OLLR', 'SMDDL']"
20,6675838,7050239,0.0,0.30705537597184707,SMDDL,124,1,AIBR,"['SMDDL', 'RIML']"
21,6675818,7050200,0.0,0.22775175358802868,SMDDL,124,1,AIBR,"['AVER', 'RIML', 'SMDDL']"
22,6675823,7125635,0.0,0.24504789102907773,SMDDL,124,1,RIVR,"['RIAL', 'SMDDL']"
23,6675833,7182397,0.0,0.29170986148708533,SMDDL,124,1,SAAVR,"['AVAR', 'SMDDL']"
24,6675864,7125690,0.061715792925657924,0.3286449395085508,SMDDL,124,1,RMED,"['BWMVL01', 'SMDDL']"
25,6676567,7125623,0.03001781470514283,0.7323661606190169,SMDDL,124,1,RIS,"['RIBR', 'SMDDL', 'AVEL']"
26,6676562,7182433,0.00495938302003309,0.7323661606190169,SMDDL,124,0,SMDDL,"['RIAR', 'RMDR', 'RIAL']"
27,6676570,7125619,0.03762177437457772,0.7323661606190169,SMDDL,124,1,RIS,"['SMDDL', 'RIBR']"
28,6675962,7182434,0.0,0.771747849728682,SMDDL,124,0,SMDDL,"['RIAL', 'SMDVR']"
