,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,7184428,0.1886586571959666,0.19092347674319543,AQR,125,1,PVPR,"['AQR', 'PVCR']"
1,7184417,0.05503499517951297,0.9405597558160047,AQR,125,1,PVPL,"['AVBL', 'PVCL', 'AQR']"
2,7183991,0.4817604815152269,0.19092347674319543,AQR,125,1,DVA,"['AVAR', 'AQR']"
3,7183988,0.0,0.7392279679221825,AQR,125,1,DVA,"['AQR', 'AVAL']"
4,7183983,0.0,0.05352891845099053,AQR,125,1,DVA,"['PVPR', 'AQR', 'AVAL', 'ADAR']"
5,7183981,0.07840002724527444,0.19092347674319543,AQR,125,1,DVA,"['AVAL', 'AQR']"
6,7183649,0.0,0.2521690099920214,AQR,125,1,AVHR,"['DVA', 'AQR', 'PVPL']"
7,7183302,0.48885423428323654,0.19092347674319543,AQR,125,0,AQR,"['BAGL', 'RIAR']"
8,7183301,0.48885423428323654,0.19092347674319543,AQR,125,0,AQR,"['BAGL', 'RIAR']"
9,7183299,0.48885423428323654,0.19092347674319543,AQR,125,0,AQR,"['PVCR', 'AVBR', 'AVAR']"
10,7183298,0.0029144173401783797,0.7222108945284372,AQR,125,0,AQR,"['AVBR', 'AVAL']"
11,7183297,0.007147443164257225,0.7222108945284372,AQR,125,0,AQR,"['AVBR', 'AVAL', 'DVA']"
12,7183295,0.12292166989533856,0.19092347674319543,AQR,125,0,AQR,"['AVAR', 'AVAL', 'AVAL']"
13,7183294,0.0,0.46194663038175715,AQR,125,0,AQR,"['AVAR', 'AVBR', 'PVCL']"
14,7183293,0.0,0.730641925725485,AQR,125,0,AQR,"['RIAL', 'BAGR']"
15,7183292,0.0,0.730641925725485,AQR,125,0,AQR,"['RIAL', 'BAGR']"
16,7183291,0.0,0.7503064787479035,AQR,125,0,AQR,"['BAGR', 'RIAL', 'RIR']"
17,7183289,0.0,0.19092347674319543,AQR,125,0,AQR,"['AVAL', 'AVAR']"
18,7183288,0.0,0.1595043548911667,AQR,125,0,AQR,"['AVAL', 'ADEL', 'AVAR']"
19,7183287,0.0,0.16255257952261082,AQR,125,0,AQR,"['ADEL', 'ADER']"
20,7183283,0.15574472992688618,0.19092347674319543,AQR,125,0,AQR,"['AVBL', 'AVDL', 'PVCR']"
21,7183282,0.175606424511104,0.19092347674319543,AQR,125,0,AQR,"['PVCR', 'AVBL']"
22,7183281,0.48332961026975935,0.19092347674319543,AQR,125,0,AQR,['PVPR']
