,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,7185716,0.0,0.7901418629777612,IL1VR,125,1,URYVR,"['IL1VR', 'RMDDR']"
1,7185708,0.0,0.6942213381783751,IL1VR,125,1,URYVR,"['RMDDR', 'IL1VR', 'RMDDR']"
2,7184920,0.0,0.03180022233565472,IL1VR,125,1,RIH,"['CEPshVR', 'CEPVR', 'IL1VR']"
3,7184205,0.0,0.7110063173694315,IL1VR,125,1,IL2VR,"['URAVR', 'RIPR', 'IL1VR']"
4,7184200,0.0,0.8266327574848708,IL1VR,125,1,IL2VR,"['RMEV', 'IL1VR', 'RIPR', 'RMER']"
5,7184121,0.0,0.6308074801471217,IL1VR,125,0,IL1VR,"['RMDDR', 'BWMVR01']"
6,7184120,0.0,0.6942213381783751,IL1VR,125,0,IL1VR,"['RMER', 'RMDDR', 'BWMVR01', 'RIPR']"
7,7184119,0.0,0.8184032016462643,IL1VR,125,0,IL1VR,"['IL1R', 'BWMVR02', 'RMDDR', 'RIPR', 'RMER']"
8,7183968,0.0,0.5541043999392014,IL1VR,125,1,CEPVR,"['OLQVR', 'IL1VR']"
9,7183966,0.1283606886317986,0.6708198322406538,IL1VR,125,1,CEPVR,"['IL1VR', 'RMDDR', 'OLLR']"
10,7183964,0.0,0.4923535816364343,IL1VR,125,1,CEPVR,"['OLQVR', 'RICR', 'IL1VR']"
