,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,7070166,7185215,0.0,0.5996958189707933,IL2R,125,1,RMDL,"['RMDR', 'IL1R', 'IL2R']"
1,7070217,7184364,0.0,0.8321701406989174,IL2R,125,1,RIH,"['IL2R', 'OLQVR']"
2,7070217,7184363,0.0,0.8321701406989174,IL2R,125,1,OLQVR,['IL2R']
3,7070216,7184362,0.0,0.8275078045113103,IL2R,125,1,OLQVR,['IL2R']
4,7070161,7184246,0.0,0.5843313114315118,IL2R,125,0,IL2R,"['RMDL', 'IL1R']"
5,7070220,7184245,0.0,0.8494015329790647,IL2R,125,0,IL2R,"['OLQVR', 'RIH']"
6,7070228,7184243,0.0,0.8965706812185199,IL2R,125,0,IL2R,['OLQDR']
7,7070225,7184241,0.0,0.883420155241389,IL2R,125,0,IL2R,"['OLQDR', 'RMEV']"
8,7070234,7184240,0.0,0.9727035553013794,IL2R,125,0,IL2R,"['OLQDR', 'RIH']"
9,7070156,7184237,0.0,0.565122255402377,IL2R,125,0,IL2R,"['RMDL', 'ADER', 'IL1R']"
10,7070156,7184236,0.0,0.565122255402377,IL2R,125,0,IL2R,['RMDL']
11,7070239,7184235,0.044853538851005535,0.7985645929972066,IL2R,125,0,IL2R,"['RIH', 'OLQVR']"
12,7070224,7184234,0.0,0.8780068758354987,IL2R,125,0,IL2R,"['RIH', 'OLQVR']"
13,7070227,7184233,0.0,0.8918953569559438,IL2R,125,0,IL2R,"['RIH', 'OLQVR']"
14,7070232,7184232,0.0,0.9534212453026014,IL2R,125,0,IL2R,"['RIH', 'OLQDR']"
15,7070230,7184231,0.0,0.9356699355447831,IL2R,125,0,IL2R,"['URADR', 'OLQDR']"
16,7070150,7182730,0.0,0.5468196276525248,IL2R,125,1,ADER,"['IL2R', 'IL1R']"
