,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,7185443,0.005681009680533817,0.5902146075832586,SMBDL,125,0,SMBDL,"['SIBVR', 'AVAL', 'SAAVR']"
1,7185442,0.026900551808240192,0.6926617463941898,SMBDL,125,0,SMBDL,"['BWMDR03', 'RMED']"
2,7185441,0.0,0.9238053041972465,SMBDL,125,0,SMBDL,"['SAAVR', 'ALNR']"
3,7185440,0.0,0.9324593826882239,SMBDL,125,0,SMBDL,['SAAVR']
4,7185439,0.0,0.9959864593865282,SMBDL,125,0,SMBDL,"['SAAVR', 'SMDDL']"
5,7185437,0.0,0.9208981327927767,SMBDL,125,0,SMBDL,['SAAVR']
6,7185436,0.0,0.8250587938691608,SMBDL,125,0,SMBDL,"['ADAR', 'AVBR']"
7,7185434,0.0,0.7417334733096999,SMBDL,125,0,SMBDL,"['BWMDR04', 'BWMDR02', 'GLRR']"
8,7185433,0.006986694075094947,0.6926617463941898,SMBDL,125,0,SMBDL,"['BWMDR03', 'BWMDR01']"
9,7185432,0.007162950289116384,0.6609732666645416,SMBDL,125,0,SMBDL,"['RMED', 'BWMDR03', 'BWMDR01', 'GLRDR']"
10,7185431,0.013039132800726312,0.6926617463941898,SMBDL,125,0,SMBDL,"['BWMDR07', 'BWMDR05', 'BWMDR03', 'RMED']"
11,7185430,0.020954002800162106,0.6926617463941898,SMBDL,125,0,SMBDL,"['BWMDR03', 'RMED', 'BWMDR01']"
12,7185119,0.020954002800162106,0.6926617463941898,SMBDL,125,1,RMDDL,"['SMBDL', 'BWMDR01', 'BWMDR03']"
13,7184760,0.0,0.36807491165267014,SMBDL,125,1,RICL,"['AVAR', 'SMBDL']"
14,7184749,0.0,0.38371969070814094,SMBDL,125,1,RICL,"['AVAR', 'SMBDL']"
15,7183763,0.03630527861841913,0.14932653850000982,SMBDL,125,1,AWBL,"['ADFL', 'SMBDL', 'AIZL', 'RIAL']"
16,7183275,0.0,0.9304619158130009,SMBDL,125,1,ALNR,"['SAAVR', 'SMBDL']"
17,7183274,0.0,0.9380284917563741,SMBDL,125,1,ALNR,"['SAAVR', 'SMBDL']"
18,7183168,0.0,0.14537542380065557,SMBDL,125,1,AIZL,"['SMBDL', 'SMBVL']"
19,7183167,0.0,0.13551787249193512,SMBDL,125,1,AIZL,"['SMBDL', 'SMBVL']"
20,7183151,0.009395478593411406,0.14932653850000982,SMBDL,125,1,AIZL,"['SMBDL', 'SMBVR', 'RIAR']"
21,7183150,0.0,0.13207680384243348,SMBDL,125,1,AIZL,"['ADFL', 'SMBDL', 'SMBVL']"
22,7183148,0.0,0.113365582263847,SMBDL,125,1,AIZL,"['RIAL', 'SMBVL', 'SMBDL']"
23,7183147,0.03294886836771911,0.14932653850000982,SMBDL,125,1,AIZL,"['SMBVL', 'SMBDL', 'RIAL']"
24,7183145,0.045348350418908556,0.14932653850000982,SMBDL,125,1,AIZL,"['SMBVL', 'SMBDL', 'RIAL']"
25,7183144,0.053793115248636225,0.14932653850000982,SMBDL,125,1,AIZL,"['SMBVL', 'RIAL', 'SMBDL']"
26,7183143,0.011565608887784393,0.20347519633956654,SMBDL,125,1,AIZL,"['SMBDL', 'SMBVL', 'RIAL']"
27,7183142,0.0,0.24157983556757565,SMBDL,125,1,AIZL,"['SMBDL', 'SMBVL', 'RIAL']"
28,7183140,0.0,0.2572204511268643,SMBDL,125,1,AIZL,"['SMBDL', 'SMBVL', 'RIAL']"
29,7183052,0.0,0.8279773989870174,SMBDL,125,1,AIMR,"['AVBR', 'URXR', 'SMBDL', 'SIBDL']"
30,7182786,0.0,0.22025401404814873,SMBDL,125,1,ADFL,"['SMBDL', 'SMBVL', 'RIAL']"
31,7182777,0.0,0.11833900643380053,SMBDL,125,1,ADFL,"['SMBVL', 'SMBDL', 'RIAL']"
32,7182775,0.0,0.19818954879830933,SMBDL,125,1,ADFL,"['SMBDL', 'RIAL']"
33,7182773,0.0,0.246475236964966,SMBDL,125,1,ADFL,"['SMBDL', 'SMBVL', 'RIAL']"
