,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8240044,0.0,0.9455751933455757,ASEL,133,1,AFDR,"['ASEL', 'AIYR']"
1,8239652,0.0,0.3975312360371407,ASEL,133,1,ADLL,"['ASEL', 'AIBL']"
2,8472400,0.0,0.5386849000584278,ASEL,133,1,AIAL,"['AWAL', 'AIBL', 'ASEL']"
3,8417162,0.014738198112857271,0.3795330238052264,ASEL,133,1,AWCR,"['AWCL', 'ASEL', 'AIBL']"
4,8415364,0.0,0.2689058647897252,ASEL,133,0,ASEL,"['AIYL', 'AWCL']"
5,8417091,0.0025183068551143913,0.6189750616508163,ASEL,133,1,AWBL,"['ASEL', 'ADFL']"
6,8417039,0.0,0.16624427182652815,ASEL,133,1,AWAL,"['ASKL', 'ASEL']"
7,8417037,0.0,0.20219986733562967,ASEL,133,1,AWAL,"['ASEL', 'ADLL']"
8,8417035,0.0,0.22997265586557408,ASEL,133,1,AWAL,"['AFDL', 'ASEL']"
9,8417029,0.0,0.6189750616508163,ASEL,133,1,AWAL,"['AWBL', 'ASEL']"
10,8417023,0.0,0.4099994508410049,ASEL,133,1,AWAL,"['AIBL', 'ASEL', 'AIZL']"
11,8415394,0.0,0.6218071764863236,ASEL,133,1,ASER,"['AIYL', 'AIBL', 'ASEL']"
12,8415388,0.0,0.2619418231403775,ASEL,133,0,ASEL,"['AWCL', 'AIBL']"
13,8415387,0.0035579217459310005,0.3137450075614481,ASEL,133,0,ASEL,"['ADLL', 'AIBL', 'AWCL']"
14,8415386,0.009667586250193112,0.3795330238052264,ASEL,133,0,ASEL,"['AIYL', 'AIBL']"
15,8415385,0.015550655887357769,0.3795330238052264,ASEL,133,0,ASEL,"['AIBL', 'AWCL']"
16,8415384,0.006259337160150698,0.5323591645979484,ASEL,133,0,ASEL,"['AIBL', 'ADLL']"
17,8415383,0.0,0.6252894067760546,ASEL,133,0,ASEL,"['AIBL', 'AIYL']"
18,8415381,0.0,0.7227536665723356,ASEL,133,0,ASEL,"['AIYR', 'AIBR', 'AWCL']"
19,8415380,0.0,0.7605004134926231,ASEL,133,0,ASEL,"['AFDR', 'AIYR', 'AIBR']"
20,8415379,0.004280825197837018,0.8106962802587898,ASEL,133,0,ASEL,"['AIAR', 'AIBR']"
21,8415378,0.0,0.8922512486367318,ASEL,133,0,ASEL,['AIAR']
22,8415377,0.0018930206262741036,0.44408029427789575,ASEL,133,0,ASEL,"['AIBL', 'AIAL']"
23,8415376,0.0028305376733632577,0.44408029427789575,ASEL,133,0,ASEL,"['AIAL', 'AIBL']"
24,8415375,0.0037404535198353856,0.9886600218829121,ASEL,133,0,ASEL,"['AIYR', 'AIBR']"
25,8415374,0.0,0.1823244966861478,ASEL,133,0,ASEL,"['AIYL', 'AFDL']"
26,8415373,0.0,0.1937540553785734,ASEL,133,0,ASEL,"['AIYL', 'AIBL']"
27,8415372,0.0,0.20114676979832127,ASEL,133,0,ASEL,"['AIYL', 'AIBL']"
28,8415369,0.0,0.21001804954090417,ASEL,133,0,ASEL,"['AIYL', 'AIBL']"
29,8415368,0.0,0.21753459706409858,ASEL,133,0,ASEL,"['AIYL', 'AWCL', 'AIBL']"
30,8415367,0.0,0.2232689591721619,ASEL,133,0,ASEL,"['AIYL', 'AIBL']"
31,8415363,0.0,0.3795330238052264,ASEL,133,0,ASEL,"['AIBL', 'AIBL', 'AIYL']"
32,8415362,0.0,0.39841712370135535,ASEL,133,0,ASEL,"['AIBL', 'AIYL']"
33,8415361,0.0,0.6189750616508163,ASEL,133,0,ASEL,"['AIBL', 'AIYL']"
34,8415358,0.0,0.6520264308527163,ASEL,133,0,ASEL,"['AIBL', 'AIYL']"
35,8415357,0.0,0.718635848066248,ASEL,133,0,ASEL,"['AIYR', 'AIBR', 'AWCL']"
36,8415356,0.0,0.8853622140389164,ASEL,133,0,ASEL,"['AINL', 'RIAR']"
37,8415355,0.0,0.8872645499080634,ASEL,133,0,ASEL,['RIAR']
38,8415354,0.0,0.9399005648112503,ASEL,133,0,ASEL,"['AWCL', 'AIYR']"
39,8415208,0.0,0.44408029427789575,ASEL,133,1,AIZL,"['AIAL', 'ASEL']"
40,8415187,0.0,0.4099994508410049,ASEL,133,1,AIZL,"['AIAL', 'ASEL']"
41,8415068,0.0,0.7648320693201666,ASEL,133,1,AINL,"['ASEL', 'AFDR']"
42,8239685,0.0,0.39245751782100935,ASEL,133,1,ADLL,"['AIBL', 'ASEL']"
43,8239653,0.0,0.4003496965385128,ASEL,133,1,ADLL,"['AIBL', 'ASEL']"
44,8239651,0.0,0.3795330238052264,ASEL,133,1,ADLL,"['AIBL', 'ASEL']"
45,8239647,0.0,0.21208050000919304,ASEL,133,1,ADLL,"['ASHL', 'ASEL', 'AIBL']"
