,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8201705,9824059,0.0,0.6366034391363967,ASHR,133,1,ADLR,"['AVAR', 'ASHR']"
1,8201704,8239468,0.0,0.6313990310096421,ASHR,133,1,ADLR,"['ASHR', 'AVAR', 'SMBVR']"
2,8201674,9824058,0.0,0.5133526562593326,ASHR,133,1,ADLR,"['AVJL', 'AVAR', 'ASHR']"
3,8201657,8239443,0.0,0.43696552216850226,ASHR,133,1,ADLR,"['ASHR', 'AIBR', 'AIAR']"
4,8201724,8472499,0.0,0.7649674633533587,ASHR,133,1,RMGR,"['ASHR', 'AVBR']"
5,8201680,8472453,0.002042634331595566,0.5955779067902686,ASHR,133,0,ASHR,"['AIAR', 'AVDL', 'AIBR']"
6,8201719,8416140,0.0,0.705144023650638,ASHR,133,1,AVHL,"['ASHR', 'RIR']"
7,8201701,8468613,0.0,0.617182577680194,ASHR,133,1,RMGR,"['ASHR', 'SMBVR']"
8,8201781,8467201,0.01403443223999361,0.9774811057662348,ASHR,133,1,RIFR,"['AVBR', 'ASHR']"
9,8201765,8421767,0.0,0.963628234066649,ASHR,133,1,HSNR,"['ASHR', 'AWBR']"
10,8201791,8421654,0.003144596769840353,0.46705302135739746,ASHR,133,1,HSNL,"['AVAR', 'AVBR', 'ASHR']"
11,8201621,8421642,0.0,0.3595539042312475,ASHR,133,1,HSNL,"['ASHR', 'AVHL', 'RIMR', 'RIFL']"
12,8201527,8417078,0.0,0.16374045791337744,ASHR,133,1,AWAR,"['ASHR', 'RIFR']"
13,8201541,8415777,0.0,0.1873617944824589,ASHR,133,1,ASKR,"['ASHR', 'AIAR']"
14,8201579,8415628,0.0,0.2581847962407825,ASHR,133,0,ASHR,"['ADFR', 'RIAR']"
15,8201671,8415627,0.0,0.49560654030674733,ASHR,133,0,ASHR,"['AVAR', 'AVJL']"
16,8201702,8415626,0.0,0.6207648381294103,ASHR,133,0,ASHR,"['AVBR', 'ADAR']"
17,8201706,8415625,0.0,0.6429845175400895,ASHR,133,0,ASHR,"['AVBR', 'AVAR']"
18,8201706,8415624,0.0,0.6429845175400895,ASHR,133,0,ASHR,"['ADFR', 'AIAR']"
19,8201787,8415620,0.005822829177134201,0.7157789149505089,ASHR,133,0,ASHR,"['AVHL', 'AVBR']"
20,8201789,8415619,0.012695422677605298,0.7157789149505089,ASHR,133,0,ASHR,"['AVBR', 'AVHL']"
21,8201741,8415618,0.004398527248427355,0.842890332720238,ASHR,133,0,ASHR,"['AVBR', 'AVDR', 'AVFR']"
22,8201742,8415617,0.005733014440465847,0.842890332720238,ASHR,133,0,ASHR,"['AVBR', 'AVDR']"
23,8201742,8415616,0.005733014440465847,0.842890332720238,ASHR,133,0,ASHR,"['AVBR', 'AVDR']"
24,8201695,8415614,0.05334661888556883,0.6117675115138881,ASHR,133,0,ASHR,"['AVDL', 'AVBR']"
25,8201693,8415613,0.048396068235856536,0.6117675115138881,ASHR,133,0,ASHR,['AVBR']
26,8201781,8415612,0.01403443223999361,0.9774811057662348,ASHR,133,0,ASHR,"['RIFR', 'AWBR']"
27,8201507,8415611,0.0,0.11687909308483557,ASHR,133,0,ASHR,"['AVBR', 'AIYR']"
28,8201575,8415610,0.0,0.2492611114795138,ASHR,133,0,ASHR,"['RIAR', 'ADFR']"
29,8201580,8415607,0.0,0.2608201936334241,ASHR,133,0,ASHR,"['ADAR', 'RIAR']"
30,8201602,8415606,0.0,0.316381654100327,ASHR,133,0,ASHR,"['AIBR', 'AIAR', 'ADAR']"
31,8201613,8415605,0.0,0.34199778416472537,ASHR,133,0,ASHR,"['AIBR', 'AIAR']"
32,8201618,8415604,0.0,0.34970048856777364,ASHR,133,0,ASHR,"['AIBR', 'AIAR']"
