,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8123931,8472434,0.0019348705009145338,0.8858656743106844,BDUL,133,1,PVNR,"['AVBL', 'BDUL']"
1,8123960,8472433,0.0034561442788709745,0.5714958282299555,BDUL,133,1,PVNR,"['BDUL', 'PVNL']"
2,8123961,8472418,0.004739972419845965,0.5714958282299555,BDUL,133,1,ALML,['BDUL']
3,8123923,8467205,0.0022027300428920874,0.9183341792734177,BDUL,133,1,RIFR,"['BDUL', 'AVBR']"
4,8123737,8462298,0.0,0.23683411977127322,BDUL,133,1,PVNL,"['BDUL', 'AVM']"
5,8123937,8462256,0.0189176444755903,0.8858656743106844,BDUL,133,1,PVNL,"['PVNR', 'BDUL']"
6,8123926,8416167,0.007295030340096139,0.9183341792734177,BDUL,133,1,AVHR,"['BDUL', 'AVHL']"
7,8123815,8416124,0.0,0.40385497422443684,BDUL,133,1,AVFR,"['BDUL', 'AVM']"
8,8123826,8416123,0.0,0.428617255558002,BDUL,133,1,AVFR,"['BDUL', 'PVNR']"
9,8123773,8415257,0.0,0.31368664059989493,BDUL,133,1,ALML,['BDUL']
10,8123959,8415242,0.0016896874435627528,0.5714958282299555,BDUL,133,1,ALML,['BDUL']
11,8123959,8415241,0.0016896874435627528,0.5714958282299555,BDUL,133,1,ALML,['BDUL']
12,8123854,8415240,0.0,0.5820864192948222,BDUL,133,1,ALML,['BDUL']
13,8123952,8415234,0.009579893268417409,0.7026347230183806,BDUL,133,1,ALML,['BDUL']
14,8123950,8415233,0.0057926114117376375,0.7026347230183806,BDUL,133,1,ALML,['BDUL']
15,8123884,8415232,0.0,0.7055254597012783,BDUL,133,1,ALML,['BDUL']
16,8123770,8415228,0.0,0.3091171529435617,BDUL,133,1,ALML,['BDUL']
17,8123868,8415220,0.020265469471946504,0.6595335216069378,BDUL,133,1,ALA,"['AVEL', 'BDUL']"
18,8123683,8240331,0.0,0.13600904718398188,BDUL,133,0,BDUL,"['PVQL', 'PLNL']"
19,8123959,8240330,0.0016896874435627528,0.5714958282299555,BDUL,133,0,BDUL,['ALML']
20,8123901,8240329,0.0,0.8043081534813058,BDUL,133,0,BDUL,"['AVHL', 'URADL']"
21,8123902,8240328,0.0,0.8120379282339933,BDUL,133,0,BDUL,"['AVJL', 'AVHL', 'AVFR']"
22,8123936,8240327,0.016371160139308838,0.8858656743106844,BDUL,133,0,BDUL,"['AVJL', 'PVCR']"
23,8123945,8240324,0.0019392640879316617,0.7094954332922182,BDUL,133,1,ALML,['BDUL']
24,8123777,8240321,0.0,0.321973801763244,BDUL,133,0,BDUL,"['AVJR', 'PVCL', 'RID']"
25,8123782,8240318,0.0,0.3308615224912776,BDUL,133,0,BDUL,"['AVJR', 'PVCL', 'RID']"
26,8123811,8240315,0.0,0.3949326590744664,BDUL,133,0,BDUL,"['ALML', 'RID']"
27,8123825,8240314,0.0,0.4264346939615118,BDUL,133,0,BDUL,"['PVNR', 'AVM']"
28,8123951,8237726,0.007731177108573297,0.7026347230183806,BDUL,133,1,ADEL,"['ALML', 'BDUL']"
