,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8472489,0.0,0.7549406125073025,HSNL,133,1,PVNL,"['AIZR', 'HSNL']"
1,8469140,0.005347614025367215,0.5672235797634699,HSNL,133,1,ASHL,"['AIAL', 'AWAL', 'HSNL', 'HSNR']"
2,8462377,0.003630244553690415,0.8247063200786102,HSNL,133,1,PVQR,"['AIAR', 'HSNL']"
3,8421664,0.0,0.18490370774238357,HSNL,133,0,HSNL,"['AVBL', 'AQR']"
4,8421663,0.0,0.2486004056892213,HSNL,133,0,HSNL,"['AVDR', 'AVBL']"
5,8421662,0.00676197018656585,0.3294142548782978,HSNL,133,0,HSNL,"['PVNL', 'PVNR']"
6,8421661,0.011777270664667508,0.3904511636294228,HSNL,133,0,HSNL,"['ADLL', 'AWBL']"
7,8421660,0.004980072103566677,0.4640603799736776,HSNL,133,0,HSNL,"['AWBL', 'AIZL']"
8,8421659,0.0031328687041332934,0.5259603842010938,HSNL,133,0,HSNL,"['AWBL', 'AWAL']"
9,8421657,0.007384839138947483,0.5672235797634699,HSNL,133,0,HSNL,"['PVQL', 'AIAL']"
10,8421656,0.0,0.6842959471924062,HSNL,133,0,HSNL,"['AWAR', 'AWBR', 'AIZR']"
11,8421655,0.0,0.7785488174143351,HSNL,133,0,HSNL,"['AWBR', 'ASER']"
12,8421654,0.0022965386561609622,0.9138713617283724,HSNL,133,0,HSNL,"['AVAR', 'AVBR', 'ASHR']"
13,8421642,0.0,0.9591286288629313,HSNL,133,0,HSNL,"['ASHR', 'AVHL', 'RIMR', 'RIFL']"
14,8416119,0.004244089928312317,0.5672235797634699,HSNL,133,1,AVFL,"['HSNR', 'HSNL']"
15,8416113,0.0,0.9148746716956352,HSNL,133,1,AVFL,"['AVBR', 'HSNL']"
16,8415785,0.0,0.9343757622582544,HSNL,133,1,ASKR,"['AIAR', 'HSNL']"
17,8415772,0.0,0.9305322454100038,HSNL,133,1,ASKR,"['AIAR', 'HSNL']"
18,8415064,0.005543110411906777,0.7054947646990568,HSNL,133,1,AIMR,"['AIMR', 'HSNL']"
19,8415024,0.0,0.4916312445761725,HSNL,133,1,AIML,"['AVFL', 'HSNL']"
20,8415009,0.0,0.38587133692688647,HSNL,133,1,AIML,"['SMBVL', 'HSNL']"
21,8414976,0.0,0.8098504885727194,HSNL,133,1,AIAR,"['HSNL', 'AIBR', 'ASKR']"
22,8240688,0.0,0.41017673800454435,HSNL,133,1,RMGL,"['AIML', 'HSNL']"
23,8239686,0.014893667598423815,0.3904511636294228,HSNL,133,1,ADLL,"['HSNL', 'AWBL']"
24,8233934,0.0,0.8017520999691682,HSNL,133,1,AIAR,"['AIBR', 'ASKR', 'HSNL']"
