,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9641154,0.011588276873845333,0.7413616846286386,RIAL,133,0,RIAL,"['SMDVR', 'SIADL']"
1,9641151,0.004128146283755904,0.1257815806156792,RIAL,133,1,BAGR,"['RIGL', 'URXL', 'RIAL']"
2,9641146,0.0,0.07516882724864876,RIAL,133,1,URXL,"['RIR', 'RIAL']"
3,9639023,0.0,0.03311676939400811,RIAL,133,1,ASER,['RIAL']
4,9637915,0.0,0.29674212325713195,RIAL,133,1,AIYL,['RIAL']
5,8472500,0.0016989591242333357,0.7413616846286386,RIAL,133,1,SMDDL,"['SMDVR', 'RIAL']"
6,8472452,0.0,0.10915517666631767,RIAL,133,1,AQR,"['BAGR', 'RIAL']"
7,8469007,0.0,0.057769198191603616,RIAL,133,1,URXL,"['AUAL', 'RIAL']"
8,8468986,0.0,0.06783679014580281,RIAL,133,1,URXL,"['AVHR', 'RIAL']"
9,8468985,0.0,0.06445171387316037,RIAL,133,1,URXL,"['AVAL', 'RIAL', 'AUAL']"
10,8468984,0.0,0.07365343380301684,RIAL,133,1,URXL,"['RIAL', 'AUAL']"
11,8468983,0.0,0.07666362518514203,RIAL,133,1,URXL,"['RIAL', 'AUAL']"
12,8468982,0.0,0.09878030174278914,RIAL,133,1,URXL,"['AUAL', 'RIAL']"
13,8468981,0.0,0.11313997478009649,RIAL,133,1,URXL,"['PVPL', 'RIAL', 'RIGL']"
14,8468980,0.0,0.09603003589326586,RIAL,133,1,URXL,"['AUAL', 'RIAL']"
15,8468979,0.0,0.11596470787910709,RIAL,133,1,URXL,"['AUAL', 'RIAL']"
16,8468976,0.0,0.11685883720788963,RIAL,133,1,AUAL,"['RIAL', 'RIBL']"
17,8468974,0.0,0.11685883720788963,RIAL,133,1,URXL,"['AUAL', 'RIAL']"
18,8468973,0.012347326766857524,0.1446126395916773,RIAL,133,1,URXL,"['AVBR', 'RIAL']"
19,8468969,0.0,0.20088155442622793,RIAL,133,1,URXL,"['RIAL', 'RIR']"
20,8468968,0.0,0.19688051091331812,RIAL,133,1,URXL,"['RIAL', 'AUAL']"
21,8468967,0.0,0.19427495374074386,RIAL,133,1,URXL,"['AUAL', 'RIAL']"
22,8468965,0.0,0.1919291911462054,RIAL,133,1,URXL,"['RIAL', 'AUAL']"
23,8468964,0.0,0.1919291911462054,RIAL,133,1,URXL,"['RIAL', 'AUAL']"
24,8468963,0.0,0.1919291911462054,RIAL,133,1,URXL,"['RIAL', 'AUAL']"
25,8468962,0.0,0.1919291911462054,RIAL,133,1,URXL,"['RIAL', 'AUAL']"
26,8468859,0.0,0.673220379473747,RIAL,133,1,SMDDR,"['RIAR', 'RIAL']"
27,8468856,0.0,0.6871281888799639,RIAL,133,1,SMDDR,"['RIAL', 'SMDVL']"
28,8468847,0.0006017853055385227,0.7233575190342514,RIAL,133,1,SMDDL,['RIAL']
29,8468845,0.0,0.7807702023592502,RIAL,133,1,SMDDL,"['RIAL', 'RIAR']"
30,8468844,0.0,0.7558427373701528,RIAL,133,1,SMDDL,"['SMDVR', 'RIAL', 'RIAR']"
31,8468843,0.0,0.773122555233443,RIAL,133,1,SMDDL,"['RIAL', 'RIAR']"
32,8468839,0.0,0.7558427373701528,RIAL,133,1,SMDDL,"['RMDR', 'RIAL']"
33,8468742,0.0,0.3784176014228352,RIAL,133,1,SDQL,"['AVAR', 'RIAL']"
34,8468603,0.001836686726330957,0.8252491528420551,RIAL,133,1,RMGR,"['RIAL', 'RMDVR']"
35,8468154,0.003952839996093832,0.5691824469594955,RIAL,133,1,RMDR,"['RIAL', 'RIAR']"
36,8468153,0.0,0.5609288051368857,RIAL,133,1,RMDR,"['RIAL', 'RIAR']"
37,8468152,0.0,0.5530170468185468,RIAL,133,1,RMDR,"['RIAR', 'RIAL']"
38,8468150,0.0,0.5530170468185468,RIAL,133,1,RMDR,"['RIAR', 'RMDL', 'BWMVL06', 'RIAL', 'BWMVL04']"
39,8468138,0.0,0.8491412209531685,RIAL,133,1,RMDL,"['RIAL', 'RIAR']"
40,8468136,0.0010373865894795576,0.8252491528420551,RIAL,133,1,RMDL,"['RIAL', 'RMDDL']"
41,8468135,0.0014003584131781826,0.7953425237687042,RIAL,133,1,RMDL,"['RIAL', 'RMDVR', 'RIAR']"
42,8468133,0.0029339300362131145,0.7953425237687042,RIAL,133,1,RMDL,"['RIAL', 'RIAR']"
43,8468127,0.002822399873325882,0.8652074358224766,RIAL,133,1,RMDL,"['RIAR', 'RIAL']"
44,8468126,0.0022709830175503304,0.8652074358224766,RIAL,133,1,RMDL,"['RIAR', 'RIAL']"
45,8468110,0.0,0.9205929615625129,RIAL,133,1,RMDL,"['RIAL', 'SIAVR']"
46,8468109,0.0,0.9112123042347126,RIAL,133,1,RMDL,['RIAL']
47,8468085,0.0,0.9035348389322424,RIAL,133,1,RMDL,"['RMDR', 'RIAL']"
48,8468081,0.0,0.9328750394160013,RIAL,133,1,RMDL,"['RIAL', 'SIAVR']"
49,8467971,0.0,0.3841455047892227,RIAL,133,1,SDQR,"['RIAL', 'RIVR']"
50,8467952,0.0,0.4228443913967519,RIAL,133,1,SMDVR,"['SMDDL', 'RIAL']"
51,8467951,0.0027694302810576327,0.9893039654856128,RIAL,133,1,RIVR,"['RIAL', 'SMDVR', 'RIAL']"
52,8467951,0.0,0.4228443913967519,RIAL,133,1,RIVR,"['RIAL', 'SMDVR', 'RIAL']"
53,8467946,0.0,0.4239778598073671,RIAL,133,1,RIVR,"['SMDDL', 'RIAL', 'RMDDL']"
54,8467914,0.0,0.9712325156896233,RIAL,133,1,RIVL,"['RIAL', 'SIAVR']"
55,8467913,0.0,0.9651383036860275,RIAL,133,1,RIVL,"['RIAL', 'SIAVR']"
56,8467911,0.0,0.9562340529449257,RIAL,133,1,RIVL,"['RIAL', 'SIAVR']"
57,8467910,0.0,0.9476501888389001,RIAL,133,1,RIVL,"['RIAL', 'SIAVR']"
58,8467514,0.0,0.19125201777363757,RIAL,133,1,RIR,"['URXL', 'BAGR', 'RIAL']"
59,8467505,0.0,0.0917649400869315,RIAL,133,1,RIR,"['URXL', 'RIAL']"
60,8467504,0.0,0.0917649400869315,RIAL,133,1,RIR,"['RIAL', 'BAGR']"
61,8467503,0.0,0.08218337059110228,RIAL,133,1,RIR,"['URXL', 'RIAL']"
62,8467502,0.0,0.06783679014580281,RIAL,133,1,RIR,"['RIAL', 'BAGR']"
63,8467507,0.0,0.09603003589326586,RIAL,133,1,RIR,"['URXL', 'RIAL']"
64,8467447,0.0,0.5993517181870133,RIAL,133,1,RMDR,"['RIAR', 'RMDVL', 'RIAL']"
65,8467446,0.0,0.5966153310186288,RIAL,133,1,RIMR,"['RMDR', 'RMDL', 'RIAL']"
66,8467378,0.0,0.29674212325713195,RIAL,133,1,RIH,['RIAL']
67,8467374,0.0,0.28738117942911423,RIAL,133,1,RIH,"['AIYL', 'RIAL']"
68,8467363,0.0,0.2692293940489481,RIAL,133,1,RIH,"['RIAL', 'AIZL']"
69,8467362,0.0,0.2692293940489481,RIAL,133,1,RIH,"['AIYL', 'RIAL', 'RIBL']"
70,8467361,0.0,0.2620871659330372,RIAL,133,1,RIH,"['AIZL', 'RIAL']"
71,8467360,0.0,0.2590951699488033,RIAL,133,1,RIH,"['RIAL', 'RIBL']"
72,8467359,0.0,0.24478233863450682,RIAL,133,1,RIH,"['RIAL', 'AIZL']"
73,8467358,0.0,0.23991192860535168,RIAL,133,1,RIH,['RIAL']
74,8467356,0.0,0.21769056301543507,RIAL,133,1,RIH,"['BAGR', 'RIBL', 'RIAL']"
75,8467355,0.0,0.21829244870615613,RIAL,133,1,RIH,"['RIAL', 'AIZL']"
76,8467354,0.008919205991467996,0.1805464062629413,RIAL,133,1,RIH,"['RIAL', 'CEPshVL']"
77,8467251,0.0,0.15871819003834436,RIAL,133,1,RIGL,"['RIAL', 'RMFL']"
78,8467241,0.0020097626340386627,0.1257815806156792,RIAL,133,1,URXL,"['RIAL', 'RIGL']"
79,8467172,0.005269333077120729,0.5365140779989518,RIAL,133,0,RIAL,"['RMDDL', 'RMDR']"
80,8467171,0.0,0.5482649399944577,RIAL,133,0,RIAL,"['RIAR', 'RMDL']"
