,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8240635,0.001435613121234099,0.5414282032716351,RICR,133,0,RICR,"['AVAR', 'AVAL']"
1,8468738,0.0,0.9071092897175587,RICR,133,1,SDQL,"['RICR', 'AVAR']"
2,8468751,0.0,0.9071092897175587,RICR,133,1,SDQR,"['RICR', 'RIML', 'AVBR']"
3,8240343,0.004662806305637335,0.3592754444992539,RICR,133,1,CEPVR,"['RICR', 'URBR', 'URXR']"
4,8469049,0.004295485042955718,0.42681777689293293,RICR,133,1,URXR,"['RICR', 'SIADL']"
5,8469048,0.0020241025553678713,0.42681777689293293,RICR,133,1,URXR,['RICR']
6,8469046,0.004295485042955718,0.42681777689293293,RICR,133,1,URXR,"['RICR', 'RMGR']"
7,8469035,0.0,0.37181140270437996,RICR,133,1,URXR,"['RICL', 'RICR']"
8,8468998,0.0,0.6837973356670687,RICR,133,1,URXL,"['RICR', 'RICL']"
9,8468991,0.0,0.7259820314236917,RICR,133,1,URXL,['RICR']
10,8468995,0.0,0.68113352208213,RICR,133,1,URXL,"['RICL', 'RICR']"
11,8468961,0.00839959768029216,0.43894411801061206,RICR,133,1,URBR,"['RICR', 'AVBL']"
12,8468958,0.00458578262077757,0.4126589333492784,RICR,133,1,URBR,"['RICL', 'RICR', 'URXR']"
13,8468957,0.0061711024744500525,0.3592754444992539,RICR,133,1,URBR,"['RICR', 'URXR']"
14,8468949,0.0,0.34215278279239636,RICR,133,1,URBR,"['RMHL', 'RICR']"
15,8468946,0.0056369490891739725,0.42681777689293293,RICR,133,1,URBR,"['RICR', 'URXR']"
16,8468945,0.0027028219594902396,0.43557613454424604,RICR,133,1,URBR,"['RICR', 'OLQDR', 'RMHR']"
17,8468938,0.0,0.7055337395276727,RICR,133,1,URBL,"['AVDR', 'RICR']"
18,8467966,0.0,0.8485935280410957,RICR,133,1,RIVR,"['RICR', 'RMDVR', 'SIAVL']"
19,8467579,0.04207147721837535,0.2960426715040389,RICR,133,1,RIS,"['AVKR', 'RICR']"
20,8467577,0.03859649706392433,0.2960426715040389,RICR,133,1,RIS,"['RIML', 'RICR', 'AVKR']"
21,8467576,0.04177019491923039,0.2960426715040389,RICR,133,1,RIS,"['RIML', 'AVKL', 'RICR']"
22,8462035,0.009100560938739562,0.2960426715040389,RICR,133,1,OLQVR,"['RMHR', 'RICR']"
23,8461871,0.0,0.4711696609781711,RICR,133,1,OLQDR,"['RMHR', 'RICR']"
24,8453278,0.0021646687155015935,0.6116240111507099,RICR,133,1,OLQDL,"['RMDDL', 'RICR']"
25,8449049,0.0028200351030973907,0.3927166366961626,RICR,133,1,IL2R,"['RICL', 'RICR']"
26,8445603,0.0,0.6820535671732904,RICR,133,1,IL2L,"['RICR', 'SMBVL']"
27,8417844,0.0,0.7569959966810323,RICR,133,1,CEPVL,"['RICL', 'RICR']"
28,8417843,0.0,0.8008525617816895,RICR,133,1,CEPVL,"['RICR', 'RICL']"
29,8417833,0.0,0.7124221876524032,RICR,133,1,CEPVL,"['RICR', 'RICL']"
30,8417817,0.003155143090123961,0.42681777689293293,RICR,133,1,CEPDR,"['URBR', 'RICR', 'URXR']"
31,8417814,0.007690425785297594,0.43894411801061206,RICR,133,1,CEPDR,"['RICR', 'AVBL']"
32,8417811,0.006657940521955173,0.43894411801061206,RICR,133,1,CEPDR,"['URYDR', 'RICR', 'AVBL', 'OLQDR']"
33,8417809,0.0014349379394553996,0.4126589333492784,RICR,133,1,CEPDR,"['RMHL', 'RICR', 'URBR']"
34,8417808,0.005748512831172961,0.42681777689293293,RICR,133,1,CEPDR,"['RICR', 'URXR', 'URXR']"
35,8417685,0.004274600117899519,0.6532774000240092,RICR,133,1,CEPDL,"['RICL', 'RMHR', 'RICR']"
36,8417680,0.005694479786679516,0.5874750176781669,RICR,133,1,CEPDL,"['URADL', 'RICR']"
37,8417678,0.009484851890149432,0.5802258076376016,RICR,133,1,CEPDL,"['RICR', 'RMHL']"
38,8417677,0.004924209960631992,0.5874750176781669,RICR,133,1,CEPDL,"['RICR', 'RMHL']"
39,8415067,0.0,0.056566965791669616,RICR,133,1,AIMR,['RICR']
40,8240651,0.0014395812156642858,0.2960426715040389,RICR,133,0,RICR,"['SMBDR', 'AVAL']"
41,8240648,0.00667983666310297,0.6116240111507099,RICR,133,0,RICR,"['AVAR', 'SMDVL']"
42,8240646,0.011091029092146154,0.6116240111507099,RICR,133,0,RICR,"['SMDVL', 'RIMR']"
43,8240645,0.0,0.6490764891610004,RICR,133,0,RICR,"['CEPDL', 'RMHR']"
44,8240644,0.0,0.9140052300177025,RICR,133,0,RICR,"['AIBR', 'AVAR']"
45,8240633,0.004494696279074438,0.43894411801061206,RICR,133,0,RICR,"['AVBL', 'AVAR']"
46,8240632,0.005920703719126406,0.6116240111507099,RICR,133,0,RICR,"['SMDVL', 'SMDVR']"
47,8240629,0.012295586911276834,0.6116240111507099,RICR,133,0,RICR,"['SMDVL', 'RIMR']"
48,8240628,0.004865164516804784,0.2960426715040389,RICR,133,0,RICR,"['AVAL', 'AIBL']"
49,8240627,0.007239030251172188,0.2960426715040389,RICR,133,0,RICR,"['AVAL', 'AIBL']"
50,8240626,0.0035422135298336915,0.2960426715040389,RICR,133,0,RICR,"['SMDDR', 'AVAL']"
51,8240624,0.009835489491566185,0.2960426715040389,RICR,133,0,RICR,"['SMDDR', 'AVAL']"
