,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8208341,8240753,0.0,0.22234035517910522,SMDDR,133,1,SAAVL,"['SMDDR', 'RIML']"
1,8208341,8240624,0.0,0.22234035517910522,SMDDR,133,1,RICR,"['SMDDR', 'AVAL']"
2,8208623,8469070,0.061518072799876325,0.6800216631921324,SMDDR,133,1,URYDL,['SMDDR']
3,8208439,8468864,0.0,0.644074933144615,SMDDR,133,0,SMDDR,"['NR_fragment', 'BWMDL07']"
4,8208625,8468863,0.06054078203513137,0.6800216631921324,SMDDR,133,0,SMDDR,"['CEPDL', 'RMDL', 'RIAR']"
5,8208639,8468862,0.021897094426677352,0.6800216631921324,SMDDR,133,0,SMDDR,"['SMDVL', 'BWMDL01', 'BWMDL03', 'BWMDL05', 'BWMDL07']"
6,8208642,8468861,0.026854141821338665,0.6800216631921324,SMDDR,133,0,SMDDR,"['URYDL', 'BWMDL03', 'BWMDL05']"
7,8208637,8468860,0.019911461582193667,0.6800216631921324,SMDDR,133,0,SMDDR,"['NR_fragment', 'BWMDL01', 'BWMDL05']"
8,8208442,8468859,0.0,0.6800216631921324,SMDDR,133,0,SMDDR,"['RIAR', 'RIAL']"
9,8208448,8468856,0.0,0.7040631998388343,SMDDR,133,0,SMDDR,"['RIAL', 'SMDVL']"
10,8208611,8468855,0.01779355691864916,0.7115776010416808,SMDDR,133,0,SMDDR,"['RIAR', 'SMDVL']"
11,8208455,8468853,0.0,0.7739518406046081,SMDDR,133,0,SMDDR,"['RIMR', 'BWMDL08', 'RMDR']"
12,8208462,8468852,0.0,0.7920431541980807,SMDDR,133,0,SMDDR,"['RIMR', 'BWMDL08']"
13,8208691,8468324,0.057473763283488175,0.19317560809787615,SMDDR,133,1,RMED,"['BWMVL01', 'SMDDR', 'BWMVR01']"
14,8208668,8468320,0.05135838445053223,0.19317560809787615,SMDDR,133,1,RMED,"['SMDDR', 'BWMVR01', 'BWMVL03', 'BWMVL01']"
15,8208243,8467585,0.0,0.08342108775294846,SMDDR,133,1,RIS,"['RIMR', 'SMDDR']"
16,8208323,8467581,0.0,0.18693504746925146,SMDDR,133,1,RIS,"['SMDDR', 'RIML']"
17,8208626,8467561,0.0021106605853513202,0.6800216631921324,SMDDR,133,1,RIS,"['RIBL', 'SMDDR', 'AVER']"
18,8208272,8467470,0.0,0.11491722984158655,SMDDR,133,1,RIMR,"['SMDDR', 'SAAVL']"
19,8208257,8467473,0.0,0.09973953094183817,SMDDR,133,1,RIMR,"['AIBL', 'SMDDR']"
20,8208264,8467471,0.0,0.10682942753571852,SMDDR,133,1,RIMR,"['SMDDR', 'SAAVL']"
21,8208280,8467469,0.0,0.12463912719684714,SMDDR,133,1,RIMR,"['SMDDR', 'SAAVL']"
22,8208453,8467454,0.0,0.7641145776464477,SMDDR,133,1,RIMR,"['RMDL', 'SMDDR']"
23,8208339,8467388,0.0,0.2191806449248882,SMDDR,133,1,RIML,"['SMDDR', 'SAAVL']"
24,8208342,8467387,0.0,0.22445087605426137,SMDDR,133,1,RIML,"['SMDDR', 'SMDVL']"
25,8208329,8467385,0.0,0.20391529331008568,SMDDR,133,1,RIML,"['SMDDR', 'SAAVL']"
