,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8470962,0.01277535696635631,0.6863579673944544,AUAR,135,1,URXR,"['AUAR', 'RIR']"
1,8470956,0.002528471569117753,0.6863579673944544,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
2,8470955,0.0,0.6370286274055881,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
3,8470954,0.0018279425401203898,0.6193021419814098,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
4,8470950,0.0,0.590193428100395,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
5,8470949,0.0,0.5829261711063819,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
6,8470948,0.0,0.555394748547236,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
7,8470947,0.0,0.5671397929027123,AUAR,135,1,URXR,"['RIAR', 'AUAR']"
8,8470941,0.0,0.5350533364524109,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
9,8470940,0.0,0.4932819705922818,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
10,8470939,0.0,0.48542331907123254,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
11,8470937,0.0,0.4712318386924521,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
12,8470936,0.0,0.46581931173721497,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
13,8470933,0.0,0.43212763204703936,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
14,8470132,0.0,0.4536124250939567,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
15,8470131,0.0,0.4501272946904835,AUAR,135,1,RIR,"['AUAR', 'AVHL', 'AIZR']"
16,8470120,0.0,0.929548606148979,AUAR,135,1,RIR,"['AUAR', 'AIZR']"
17,8469737,0.0,0.9376015763308548,AUAR,135,1,RIBR,"['AVER', 'AUAR', 'BAGL']"
18,8462706,0.0,0.5412243825554811,AUAR,135,1,URXR,"['AUAR', 'RIAR']"
19,8462173,0.0,0.8708210489236019,AUAR,135,1,DVA,"['AUAR', 'AVER']"
20,8462172,0.0,0.8806148340533962,AUAR,135,1,DVA,"['AUAR', 'AVER']"
21,8462171,0.0,0.8955214280580307,AUAR,135,1,DVA,"['AUAR', 'AVER']"
22,8453657,0.0,0.3648838379852469,AUAR,135,0,AUAR,"['RIAR', 'RIBR']"
23,8453654,0.0,0.4015622455451174,AUAR,135,0,AUAR,"['RIBR', 'RIAR']"
24,8453651,0.0,0.4669106820362496,AUAR,135,0,AUAR,"['RIAR', 'RIBR']"
25,8453650,0.0,0.4801694184716193,AUAR,135,0,AUAR,['RIAR']
26,8453649,0.0,0.5390326878076058,AUAR,135,0,AUAR,"['RIBR', 'RIAR']"
27,8453647,0.0,0.5439103377431806,AUAR,135,0,AUAR,"['RIBR', 'RIAR']"
28,8453646,0.0,0.5601268174009999,AUAR,135,0,AUAR,"['URXR', 'RIAR', 'RIBR']"
29,8453645,0.0,0.5953506124374022,AUAR,135,0,AUAR,"['RIBR', 'RIAR']"
30,8453644,0.0,0.5994542226609387,AUAR,135,0,AUAR,"['RIBR', 'RIAR']"
31,8453643,0.005558879367931431,0.6911643230841766,AUAR,135,0,AUAR,"['RIAR', 'AVAR']"
32,8453642,0.00917767958006008,0.6911643230841766,AUAR,135,0,AUAR,"['AINL', 'RIAR']"
33,8453641,0.014395041520787227,0.6193021419814098,AUAR,135,0,AUAR,"['RIAR', 'AVAR', 'RIBR']"
