,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8472190,0.08759393605909668,0.6618454963712943,BWMDR04,135,1,RMFL,"['RMEL', 'BWMDR04']"
1,8472179,0.008272319368666847,0.977047187955675,BWMDR04,135,1,RMEL,"['BWMDR04', 'BWMVR02']"
2,8472134,0.14015926853240046,0.47206372630060406,BWMDR04,135,1,RMDDL,"['BWMDR04', 'RMDVR']"
3,8472115,0.2334766279817463,0.43339722911741435,BWMDR04,135,1,RIML,['BWMDR04']
4,8472114,0.19019612907548253,0.43339722911741435,BWMDR04,135,1,RIML,"['RMDL', 'BWMDR04']"
5,8471815,0.14579770989457064,0.3884549234692018,BWMDR04,135,1,IL1DR,"['RIPR', 'BWMDR02', 'BWMDR04']"
6,8471668,0.2580869013222563,0.43339722911741435,BWMDR04,135,1,ALNR,"['SAAVR', 'BWMDR04']"
7,8470703,0.2319119117388884,0.3884549234692018,BWMDR04,135,1,SMBDL,"['BWMDR06', 'BWMDR04']"
8,8470702,0.21564545907872942,0.3884549234692018,BWMDR04,135,1,SMBDL,"['RMDDL', 'BWMDR04', 'BWMDR02']"
9,8470701,0.19242985897242912,0.3884549234692018,BWMDR04,135,1,SMBDL,['BWMDR04']
10,8470508,0.20092390324471723,0.7611300626246406,BWMDR04,135,1,RMFL,"['CEPVR', 'BWMDR04', 'BWMVR04']"
11,8470506,0.17605580227727274,0.7611300626246406,BWMDR04,135,1,RMFL,"['RMHL', 'BWMVR04', 'BWMVR02', 'BWMDR04']"
12,8470460,0.11368918814114541,0.5719537301816796,BWMDR04,135,1,RMEL,"['BWMVR02', 'BWMVR02', 'BWMDR04']"
13,8470348,0.17142521629893834,0.43339722911741435,BWMDR04,135,1,RMDL,"['RIAL', 'RMDR', 'BWMDR04']"
14,8470344,0.1877760850940336,0.43339722911741435,BWMDR04,135,1,RMDL,"['BWMDR08', 'BWMDR04', 'BWMDR06']"
15,8470339,0.0993153131841135,0.6618454963712943,BWMDR04,135,1,RMDL,"['BWMDR04', 'ADER', 'BWMVR04']"
16,8470333,0.09301493061018302,0.6618454963712943,BWMDR04,135,1,RMDL,"['BWMVR04', 'RMEL', 'BWMDR04']"
17,8470330,0.02680168276039251,0.6618454963712943,BWMDR04,135,1,RMFL,"['BWMDR04', 'BWMDR02', 'RMDL']"
18,8470329,0.02680168276039251,0.6618454963712943,BWMDR04,135,1,RMFL,"['BWMDR04', 'BWMVR04', 'RMDL']"
19,8470322,0.14282113619923276,0.7611300626246406,BWMDR04,135,1,RMDL,"['RMFL', 'BWMDR04']"
20,8470287,0.14953797822442486,0.4040092185406368,BWMDR04,135,1,RMDDL,"['BWMDR02', 'RMDVR', 'BWMDR04']"
21,8470285,0.15758211706728695,0.4040092185406368,BWMDR04,135,1,RMDDL,"['BWMDR04', 'BWMDR04', 'RMDVR', 'BWMDR02', 'BWMDR01']"
22,8470285,0.18142671947683583,0.4040092185406368,BWMDR04,135,1,RMDDL,"['BWMDR04', 'BWMDR04', 'RMDVR', 'BWMDR02', 'BWMDR01']"
23,8470283,0.0931359150281662,0.5803012255235939,BWMDR04,135,1,RMDDL,"['BWMDR02', 'BWMDR04', 'RMDVR']"
24,8470282,0.14015926853240046,0.47206372630060406,BWMDR04,135,1,RMDDL,"['BWMDR04', 'BWMDR04', 'RMDVR']"
25,8470282,0.08613387692302532,0.5803012255235939,BWMDR04,135,1,RMDDL,"['BWMDR04', 'BWMDR04', 'RMDVR']"
26,8470280,0.1142217615695292,0.4040092185406368,BWMDR04,135,1,RMDDL,"['BWMDR02', 'URADR', 'BWMDR04']"
27,8470012,0.25453383864151247,0.43339722911741435,BWMDR04,135,1,SMDDL,"['BWMDR06', 'RIML', 'BWMDR04']"
28,8470011,0.22000766946597727,0.43339722911741435,BWMDR04,135,1,RIML,"['BWMDR06', 'RMDR', 'BWMDR04']"
29,8469633,0.20897294049790602,0.43339722911741435,BWMDR04,135,1,RIML,"['RMDR', 'BWMDR04', 'RMDL']"
30,8467793,0.08154500157614714,0.5803012255235939,BWMDR04,135,1,IL1R,"['BWMDR04', 'BWMVR02', 'RMDVR', 'BWMDR02']"
31,8467792,0.14015926853240046,0.47206372630060406,BWMDR04,135,1,IL1R,"['BWMDR02', 'RMDDL', 'RMDVR', 'BWMDR04']"
32,8467679,0.012038752408808034,0.977047187955675,BWMDR04,135,1,RMEL,"['BWMDR04', 'BWMVR04', 'BWMDR04']"
33,8467678,0.15860207432698514,0.7611300626246406,BWMDR04,135,1,RMDL,"['RMFL', 'BWMVR04', 'BWMDR04']"
34,8467679,0.10634114864077249,0.6618454963712943,BWMDR04,135,1,RMEL,"['BWMDR04', 'BWMVR04', 'BWMDR04']"
35,8467625,0.1661417311846222,0.3884549234692018,BWMDR04,135,1,IL1DR,"['BWMDR01', 'BWMDR02', 'BWMDR04', 'RMDVR']"
