,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8470371,8470370,0.3220492045327265,0.6258266773147226,BWMVL02,135,1,RMDR,"['BWMVL02', 'BWMDL04', 'BWMDL02', 'RMDL', 'BWMDL02']"
1,8258488,8472210,0.18076971167967448,0.42506390344812556,BWMVL02,135,1,RMHR,"['BWMVL02', 'RMFR', 'BWMVL04', 'BWMDL04']"
2,8258382,8472197,0.19655145477425806,0.6258266773147226,BWMVL02,135,1,RMFR,"['IL1L', 'BWMDL02', 'BWMVL02']"
3,8258506,8472196,0.18874632529988566,0.42506390344812556,BWMVL02,135,1,RMFR,"['BWMVL02', 'BWMDL02', 'BWMVL04']"
4,8258494,8472193,0.2158336707936987,0.42506390344812556,BWMVL02,135,1,RMFR,"['BWMVL04', 'RMHR', 'BWMVL02']"
5,8258398,8472185,0.2414011585241308,0.6258266773147226,BWMVL02,135,1,RMER,"['BWMVL04', 'BWMDL04', 'BWMVL02']"
6,8258265,8472171,0.0,0.18353140487046243,BWMVL02,135,1,RMDVR,"['BWMVL02', 'BWMVL04', 'RMDDL']"
7,8258485,8472045,0.15541107808959337,0.42506390344812556,BWMVL02,135,1,IL1L,"['RMHR', 'BWMVL02']"
8,8258447,8471926,0.17051310934063943,0.5035835437414495,BWMVL02,135,1,URAVL,"['BWMVL01', 'BWMVL02']"
9,8258452,8471818,0.15208781692595258,0.5035835437414495,BWMVL02,135,1,IL1L,"['BWMDL02', 'BWMVL02', 'BWMDL02']"
10,8258595,8470843,0.46231917458437755,0.14008085772438286,BWMVL02,135,1,URAVL,"['RMEL', 'IL1VL', 'RIPL', 'BWMVL01', 'BWMVL02']"
11,8258598,8470842,0.49641685609361946,0.14008085772438286,BWMVL02,135,1,URAVL,"['BWMVL01', 'BWMVL02', 'RMEL', 'IL1VL', 'RMEV']"
12,8258269,8470841,0.0,0.2373043981109437,BWMVL02,135,1,URAVL,"['BWMVL02', 'RIPL']"
13,8258288,8470839,0.0,0.3879746641280984,BWMVL02,135,1,URAVL,"['BWMVL02', 'IL1VL']"
14,8258430,8470837,0.040146634516174354,0.5035835437414495,BWMVL02,135,1,URAVL,"['RMEV', 'BWMVL01', 'RMEL', 'BWMVL02']"
15,8258349,8470816,0.0,1.0,BWMVL02,135,1,URADL,"['BWMDL04', 'RMDDR', 'BWMVL02']"
16,8258264,8470744,0.0,0.16280193633044893,BWMVL02,135,1,SMBVL,"['BWMVL02', 'BWMVL04']"
17,8258265,8470743,0.0,0.18353140487046243,BWMVL02,135,1,SMBVL,"['BWMVL04', 'BWMVL06', 'BWMVL02']"
18,8258258,8470742,0.0,0.013256641137784676,BWMVL02,135,1,SMBVL,"['BWMVL04', 'BWMVL02']"
19,8258426,8470593,0.012023440750855473,0.5035835437414495,BWMVL02,135,1,RMHR,"['BWMDL02', 'BWMVL02', 'BWMVL04']"
20,8258530,8470592,0.30560686674070253,0.42506390344812556,BWMVL02,135,1,RMHR,"['RMDL', 'BWMVL02']"
21,8258511,8470591,0.21868435728236513,0.42506390344812556,BWMVL02,135,1,RMHR,"['BWMDL02', 'RMFR', 'BWMVL02']"
22,8258483,8470590,0.14096463631653286,0.42506390344812556,BWMVL02,135,1,RMHR,"['BWMDL02', 'BWMVL02']"
23,8258397,8470530,0.29026988757379235,0.6258266773147226,BWMVL02,135,1,RMFR,"['BWMDL02', 'BWMDL02', 'BWMVL02', 'BWMDL04']"
24,8258427,8470525,0.016139236828866404,0.5035835437414495,BWMVL02,135,1,RMFR,"['BWMVL02', 'BWMVL04', 'RMHR']"
25,8258337,8470475,0.0,0.9111351808268591,BWMVL02,135,1,RMER,"['BWMVL02', 'BWMDL02']"
26,8258356,8470474,0.023336558611530313,0.8650301301744142,BWMVL02,135,1,RMER,"['BWMDL02', 'BWMVL02']"
27,8258409,8470473,0.17892929461849813,0.6258266773147226,BWMVL02,135,1,RMER,"['BWMVL02', 'BWMDL02', 'BWMDL02']"
28,8258373,8470471,0.09010151645987347,0.6258266773147226,BWMVL02,135,1,RMER,"['BWMDL02', 'BWMDL02', 'BWMVL02']"
29,8258427,8470470,0.016139236828866404,0.5035835437414495,BWMVL02,135,1,RMER,"['BWMVL02', 'BWMDL02', 'BWMDL02']"
30,8258416,8470468,0.00328412996380749,0.5874911255839792,BWMVL02,135,1,RMER,"['BWMVL02', 'BWMDL02', 'BWMDL02']"
31,8258415,8470467,0.08734034851444133,0.6258266773147226,BWMVL02,135,1,RMER,"['BWMVL02', 'BWMDL02']"
