,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8413087,8470130,0.0,0.6472697164912238,PVPR,135,1,RIR,"['PVPR', 'URXR']"
1,8412952,8469867,0.0,0.3551686771217558,PVPR,135,1,RIFR,"['PVPR', 'AVBR', 'RIMR']"
2,8412982,8469862,0.0,0.42608989997783203,PVPR,135,1,RIFR,"['PVPR', 'AVBR']"
3,8413285,8469857,0.0,0.9562175046212287,PVPR,135,1,RIFR,"['PVPR', 'AVBR', 'AVHL']"
4,8413293,8469854,0.0,0.96421895811151,PVPR,135,1,RIFR,"['AVBR', 'PVPR', 'AVHL']"
5,8413381,8469251,0.008942388842682888,0.25534884343002073,PVPR,135,0,PVPR,"['RIAR', 'AVBL', 'ADAR']"
6,8413387,8469250,0.01567296396440324,0.25534884343002073,PVPR,135,0,PVPR,"['AVBL', 'AVEL', 'RIAR']"
7,8413349,8469249,0.0012548276980364594,0.43306509803968113,PVPR,135,0,PVPR,['AVBR']
8,8412986,8469247,0.0,0.4315723554820935,PVPR,135,0,PVPR,"['RIFR', 'AVBR']"
9,8413073,8469244,0.0,0.6221249896328304,PVPR,135,0,PVPR,"['AVAR', 'RIR']"
10,8413084,8469243,0.0,0.6377001851714678,PVPR,135,0,PVPR,"['AIBL', 'AVBL']"
11,8413085,8469242,0.0,0.644046592417735,PVPR,135,0,PVPR,"['AQR', 'AVHL']"
12,8413340,8469241,0.005941196244871899,0.7132542124676828,PVPR,135,0,PVPR,"['AVAR', 'AVBR', 'PVCR']"
13,8413152,8469240,0.0,0.8108214476222732,PVPR,135,0,PVPR,"['PVCR', 'AVBL']"
14,8413156,8469239,0.002763536341907374,0.8124410490587877,PVPR,135,0,PVPR,"['PVCR', 'AVBR']"
15,8413198,8469237,0.0,0.8685139804896402,PVPR,135,0,PVPR,"['PVCL', 'AVBL', 'AVJL']"
16,8413265,8469236,0.0,0.9363750101031458,PVPR,135,0,PVPR,"['PVCR', 'AVBR', 'PVCL']"
17,8413281,8469235,0.0,0.9513000381839946,PVPR,135,0,PVPR,"['AVBR', 'PVCL']"
18,8412958,8469189,0.0,0.36540323125492136,PVPR,135,0,PVPR,"['RIFR', 'AVBR']"
19,8413165,8452883,0.0,0.8334708290053663,PVPR,135,1,AQR,"['PVPR', 'AVAR', 'PVCR']"
20,8413258,8417277,0.0,0.9292579641492575,PVPR,135,1,AVHL,"['PVPR', 'RIR']"
21,8413086,8417275,0.0,0.646417328582696,PVPR,135,1,AVHL,"['RIR', 'PVPR']"
