,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,15137588,0.01897570771870636,0.6070792345306676,RIGL,135,1,BAGR,"['RIAL', 'RIGL']"
1,8469906,0.0,0.3287330777557227,RIGL,135,0,RIGL,"['PVT', 'AIBR']"
2,8462192,0.0,0.5867375399157002,RIGL,135,1,DVC,"['RIGL', 'RIVR']"
3,8462190,0.0,0.52692864143228,RIGL,135,1,DVC,"['RIGL', 'RIBL', 'URYVL']"
4,8472219,0.0,0.5775310028485628,RIGL,135,1,URXL,['RIGL']
5,8472218,0.0,0.6070792345306676,RIGL,135,1,URXL,['RIGL']
6,8472095,0.0,0.5445305017296235,RIGL,135,0,RIGL,"['RIBL', 'RIAL']"
7,8472031,0.012243415706819373,0.6070792345306676,RIGL,135,1,DVC,"['RIGL', 'RMFL']"
8,8471909,0.0,0.4639867462655045,RIGL,135,1,RMFR,"['RIGL', 'RIVR', 'DVC']"
9,8471866,0.0,0.666786800171985,RIGL,135,0,RIGL,['RMHR']
10,8471642,0.0,0.22872208037991162,RIGL,135,1,ADER,['RIGL']
11,8471641,0.0,0.1918393198756335,RIGL,135,1,ADER,"['RIGL', 'FLPL']"
12,8471640,0.0,0.058005671262015016,RIGL,135,1,ADER,['RIGL']
13,8470920,0.01613835975559186,0.6242270073397562,RIGL,135,1,URXL,"['RIAL', 'RIGL', 'AQR']"
14,8470909,0.004091663980123801,0.6070792345306676,RIGL,135,1,URXL,"['RIGL', 'RIAL']"
15,8470908,0.008511125310500984,0.6070792345306676,RIGL,135,1,URXL,"['RIGL', 'RIAL']"
16,8470907,0.009541767222901038,0.6070792345306676,RIGL,135,1,URXL,"['RIAL', 'RIGL']"
17,8470906,0.011551195407379238,0.6070792345306676,RIGL,135,1,URXL,"['RIAL', 'RIGL']"
18,8470891,0.006321337958413178,0.563814827931345,RIGL,135,1,URXL,"['RIAL', 'RIGL']"
19,8470889,0.024352393821909617,0.563814827931345,RIGL,135,1,URXL,"['RIAL', 'RIGL']"
20,8470520,0.0,0.6680377061593922,RIGL,135,1,RMHR,"['RIGL', 'AVKR']"
21,8470519,0.0,0.666786800171985,RIGL,135,1,RMFR,"['AVKR', 'RIGL', 'RMHR']"
22,8470516,0.0,0.46968775839405397,RIGL,135,1,RMFR,"['BAGR', 'RIGL']"
