,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8470507,90.7998472844652,0.0,RMFL,135,0,RMFL,"['RMDVL', 'BWMDR02', 'BWMVR02']"
1,8472209,84.20214506517843,0.0,RMFL,135,1,RMHL,"['RMDL', 'RMDR', 'RMFL', 'BWMDR02']"
2,8472191,85.65688370635695,0.0,RMFL,135,0,RMFL,"['BWMDR02', 'RMDR']"
3,8472190,87.5555190850413,0.0,RMFL,135,0,RMFL,"['RMEL', 'BWMDR04']"
4,8472189,90.35890522391898,0.0,RMFL,135,0,RMFL,['AVKR']
5,8472154,88.86742165415497,0.0,RMFL,135,1,RMDL,"['BWMVR04', 'RMFL']"
6,8472149,89.579489047892,0.0,RMFL,135,1,RMDL,"['RMHL', 'RMFL', 'BWMVR02', 'RMDR']"
7,8472032,90.47477391107851,0.0,RMFL,135,1,DVC,"['Fragment', 'AIBL', 'RIGR', 'RMFL']"
8,8472031,41.139874985623024,0.0,RMFL,135,1,DVC,"['RIGL', 'RMFL']"
9,8471908,91.04251486627003,0.0,RMFL,135,0,RMFL,['BWMVR02']
10,8471767,97.95784922581664,0.0,RMFL,135,1,AWCL,"['BAGL', 'RMFL']"
11,8471746,79.33822718185151,0.0,RMFL,135,1,AVKR,"['RMDR', 'RMFL']"
12,8470639,49.756981089567866,0.0,RMFL,135,1,SAADR,"['RIML', 'RMFL']"
13,8470636,47.013602946999,0.0,RMFL,135,1,SAADR,"['OLLL', 'RMFL']"
14,8470587,84.30324416164758,0.0,RMFL,135,1,RMHL,"['RMDL', 'RMFL']"
15,8470586,84.53819498700092,0.0,RMFL,135,1,RMHL,"['RMDR', 'BWMDR02', 'BWMDR02', 'RMFL']"
16,8470511,97.03897244779581,0.0,RMFL,135,0,RMFL,"['BAGL', 'AWCL']"
17,8470510,84.69970408443265,0.0,RMFL,135,0,RMFL,"['BWMVR02', 'BWMDR02', 'RMHL']"
18,8470509,90.31179027557091,0.0,RMFL,135,0,RMFL,"['RMDR', 'BWMVR02', 'RMDL', 'RMHL']"
19,8470508,90.50289017178486,0.0,RMFL,135,0,RMFL,"['CEPVR', 'BWMDR04', 'BWMVR04']"
20,8470506,92.27422573523974,0.0,RMFL,135,0,RMFL,"['RMHL', 'BWMVR04', 'BWMVR02', 'BWMDR04']"
21,8470505,82.68662573425439,0.0,RMFL,135,0,RMFL,"['AVKL', 'AVKR']"
22,8470504,79.21438773861699,0.0,RMFL,135,0,RMFL,"['AVKL', 'RMDR']"
23,8470503,79.28185241414536,0.0,RMFL,135,0,RMFL,"['RMDR', 'AVKR']"
24,8470501,79.28185241414536,0.0,RMFL,135,0,RMFL,"['AVKL', 'AVKR']"
25,8470499,79.70481062783439,0.0,RMFL,135,0,RMFL,"['RMDR', 'AVKL', 'RIML']"
26,8470498,79.56405618123337,0.0,RMFL,135,0,RMFL,"['RMDR', 'AVKR']"
27,8470497,85.68022658637597,0.0,RMFL,135,0,RMFL,"['AVKL', 'RMHL']"
28,8470496,86.70110819532968,0.0,RMFL,135,0,RMFL,"['AVKR', 'RMDL']"
29,8470495,86.98404428397323,0.0,RMFL,135,0,RMFL,"['AVKR', 'RMDR']"
30,8470494,90.35890522391898,0.0,RMFL,135,0,RMFL,"['AVKR', 'RMDR']"
31,8470493,90.35890522391898,0.0,RMFL,135,0,RMFL,"['AVKL', 'RMDR']"
32,8470492,100.96002592554068,0.0,RMFL,135,0,RMFL,"['AVKR', 'AVKL']"
33,8470337,84.69970408443265,0.0,RMFL,135,1,RMDL,"['RMFL', 'BWMVR04']"
34,8470335,84.78554491151004,0.0,RMFL,135,0,RMFL,"['BWMDR02', 'RMHL', 'BWMDR02']"
35,8470330,84.88497573643579,0.0,RMFL,135,0,RMFL,"['BWMDR04', 'BWMDR02', 'RMDL']"
36,8470329,84.88497573643579,0.0,RMFL,135,0,RMFL,"['BWMDR04', 'BWMVR04', 'RMDL']"
37,8470322,89.84674162537793,0.0,RMFL,135,1,RMDL,"['RMFL', 'BWMDR04']"
38,8470162,90.50289017178486,0.0,RMFL,135,1,Fragment,"['RMFL', 'CEPVR']"
39,8470054,23.63987798978559,0.0,RMFL,135,1,RIMR,"['SAAVR', 'RMFL', 'RIML']"
40,8470045,22.92899027495569,0.0,RMFL,135,1,RIML,"['SAAVR', 'RMFL']"
41,8470038,21.901066365552825,0.0,RMFL,135,1,RIML,"['RMFL', 'SMDDL', 'SAAVR']"
42,8470024,51.590120772333485,0.0,RMFL,135,1,RIML,"['RMFL', 'SAADR']"
43,8469912,34.44377114497243,0.0,RMFL,135,1,RIGL,"['BAGR', 'RMFL']"
44,8469908,31.51370347311059,0.0,RMFL,135,1,RIGL,"['RMFL', 'RIAL']"
45,8469902,30.91343277812786,0.0,RMFL,135,1,RIGL,"['OLQVL', 'RMFL', 'RIAL', 'RIBL']"
46,8469901,32.57216849370471,0.0,RMFL,135,1,RIGL,"['RIAL', 'RMFL']"
47,8469899,33.52579853182533,0.0,RMFL,135,1,RIGL,"['RIAL', 'RMFL']"
48,8469747,93.90761784546038,0.0,RMFL,135,1,RIBR,"['RMFL', 'BAGL']"
49,8469370,96.31419596035428,0.0,RMFL,135,0,RMFL,"['AVKR', 'PVT']"
50,8469367,93.5742812715115,0.0,RMFL,135,1,PVT,"['AVKR', 'RMFL']"
51,8469339,75.54464714819485,0.0,RMFL,135,1,PVT,"['RMFL', 'DVC']"
52,8469329,91.11495642119381,0.0,RMFL,135,1,PVT,"['RMFL', 'AVKL']"
53,8469328,90.58232251565629,0.0,RMFL,135,1,PVT,"['RMFL', 'AVKR']"
54,8469321,100.86170133678606,0.0,RMFL,135,1,PVT,"['RMFL', 'DVC']"
55,8469227,33.761495676904204,0.0,RMFL,135,1,PVPL,"['RMFL', 'AVAL']"
56,8467678,89.31485908432018,0.0,RMFL,135,1,RMDL,"['RMFL', 'BWMVR04', 'BWMDR04']"
57,8467675,90.40319407962492,0.0,RMFL,135,1,IL1R,"['BWMVR02', 'RMFL', 'RMDVL', 'RMDR']"
58,8462197,51.88263383982324,0.0,RMFL,135,1,DVC,"['RMFL', 'RIGL', 'RIBL', 'AIBR']"
59,8462194,40.86127810544139,0.0,RMFL,135,1,DVC,"['RIGL', 'RMFL']"
60,8453754,33.63641978257202,0.0,RMFL,135,1,BAGR,"['RIGL', 'RMFL', 'RIAL']"
61,8453753,33.07336651513657,0.0,RMFL,135,1,BAGR,"['RIAL', 'RMFL']"
62,8453750,31.463262891478774,0.0,RMFL,135,1,BAGR,"['RMFL', 'RIBL', 'RIGL', 'RIAL']"
63,8417687,87.21816478323535,0.0,RMFL,135,1,ADER,"['RMFL', 'CEPDR']"
64,8417525,20.168287529359908,0.0,RMFL,135,1,ADAL,"['RMFL', 'AVAR']"
65,8417313,86.27653150720869,0.0,RMFL,135,1,AVKL,"['RMFL', 'SAADR', 'RIVL']"
66,8417282,34.21481409306586,0.0,RMFL,135,1,AVHR,"['RIR', 'RMFL']"
67,8416524,94.64478760270306,0.0,RMFL,135,1,AINL,"['BAGL', 'RMFL', 'RIBR']"
68,8416511,99.14886734553579,0.0,RMFL,135,1,AINL,"['RMFL', 'AFDR', 'BAGL']"
69,8416504,102.89894964572625,0.0,RMFL,135,1,AWCL,"['RMFL', 'BAGL']"
70,8416500,105.35926059662417,0.0,RMFL,135,0,RMFL,"['BAGL', 'CEPshVR']"
71,8416375,50.10290917590259,0.0,RMFL,135,1,DVC,"['AIBR', 'RMFL']"
72,8416374,50.14741557146007,0.0,RMFL,135,1,DVC,"['RMFL', 'RIGL']"
73,8416368,32.372127582286076,0.0,RMFL,135,1,AIBR,"['RMFL', 'AVBR']"
74,8416297,96.01041831630555,0.0,RMFL,135,1,RIS,"['RIML', 'AVKL', 'AVKR', 'RMFL']"
75,8416287,68.03287305325186,0.0,RMFL,135,1,PVT,"['AIBL', 'RMFL', 'DVC']"
76,8414882,20.93386316707601,0.0,RMFL,135,1,ADAL,"['RIML', 'RMFL', 'SAADL']"
