,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8471925,0.0,0.6439834376450471,SMDVL,135,0,SMDVL,"['RIAL', 'RIAR']"
1,8471835,0.0,0.8069563258708748,SMDVL,135,1,PLNR,"['SAADR', 'SMDVL', 'SMBVR']"
2,8471033,0.0,0.612924740621372,SMDVL,135,1,URYVR,"['RIBR', 'SMDVL']"
3,8471026,0.0,0.6630216628438533,SMDVL,135,1,URYVR,"['BWMVR03', 'SMDVL']"
4,8470802,0.0,0.6023379432283902,SMDVL,135,0,SMDVL,"['RIAL', 'RIAR']"
5,8470801,0.0,0.6080832477202185,SMDVL,135,0,SMDVL,"['RIAL', 'RIAR']"
6,8470800,0.0,0.611359888999438,SMDVL,135,0,SMDVL,"['RIAL', 'RIAR']"
7,8470799,0.0,0.6333450725204403,SMDVL,135,0,SMDVL,"['SMDDR', 'RIAL']"
8,8470798,0.0,0.6333450725204403,SMDVL,135,0,SMDVL,"['RIAL', 'RIAR']"
9,8470797,0.0,0.6604019097955945,SMDVL,135,0,SMDVL,"['BWMVR05', 'BWMVR03']"
10,8470796,0.0,0.6724967146273679,SMDVL,135,0,SMDVL,"['RIAR', 'RIAL']"
11,8470795,0.0,0.6779714423347023,SMDVL,135,0,SMDVL,"['SMDDR', 'RIAR']"
12,8470794,0.0,0.6810217098443823,SMDVL,135,0,SMDVL,"['SMDDR', 'RIAR']"
13,8470793,0.0035109737713455553,0.7117992079166277,SMDVL,135,0,SMDVL,"['SMDDR', 'RIAR']"
14,8470792,0.0019781627614580567,0.6889420984785461,SMDVL,135,0,SMDVL,"['SMDDR', 'BWMVR01', 'BWMVR03', 'BWMVL03']"
15,8470788,0.0,0.2612955298233849,SMDVL,135,1,SMDDR,"['SMDVL', 'RIAL']"
16,8470787,0.0,0.2563794606430657,SMDVL,135,1,SMDDR,"['SMDVL', 'RIAL']"
17,8470781,0.0,0.2894789637789736,SMDVL,135,1,SMDDR,"['RIAL', 'SMDVL']"
18,8470777,0.006110221251317136,0.1998821496238536,SMDVL,135,1,SMDDR,"['SMDVL', 'RIS']"
19,8470647,0.0,0.24468439856870394,SMDVL,135,1,SAADR,"['SMDVL', 'RIMR']"
20,8470646,0.0,0.23930203865903196,SMDVL,135,1,SAADR,"['SMDVL', 'RIMR']"
21,8470645,0.0,0.23262221560352364,SMDVL,135,1,SAADR,"['SMDVL', 'RIMR']"
22,8470644,0.0,0.21573608760239138,SMDVL,135,1,SAADR,"['SMDVL', 'AVAR', 'RIML']"
23,8470481,0.02686133494976836,0.29908871318371083,SMDVL,135,1,RMEV,"['BWMDL03', 'BWMDR01', 'SMDVL', 'BWMDL01']"
24,8470480,0.01750075110282359,0.29908871318371083,SMDVL,135,1,SMDDR,"['SMDVL', 'BWMDL01', 'BWMDL07', 'BWMDL03', 'BWMDL05']"
25,8470479,0.01750075110282359,0.29908871318371083,SMDVL,135,1,RMEV,"['SMDVL', 'BWMDL01', 'BWMDR03', 'BWMDL03', 'BWMDR01']"
26,8470314,0.0,0.598248109476811,SMDVL,135,1,RMDL,"['SMDVL', 'RIAL']"
27,8470313,0.0,0.6004499363913265,SMDVL,135,1,RMDL,"['SMDVL', 'RIAL']"
28,8470235,0.0,0.7117992079166277,SMDVL,135,1,RIVL,"['SMDVL', 'RMDDR']"
29,8470229,0.0,0.6810217098443823,SMDVL,135,1,RIVL,"['SMDVL', 'RIAL']"
