,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,8414750,8472052,0.0,0.7747930553319439,URADR,135,1,IL2DR,"['RIPR', 'URADR']"
1,8414776,8471825,0.0,0.8443752346306304,URADR,135,1,IL2DR,"['URADR', 'RIH']"
2,8414699,8471718,0.0,0.4855874609334179,URADR,135,1,AVFR,"['RIFR', 'URADR']"
3,8414742,8470836,0.0072577965190534196,0.7634428748859009,URADR,135,0,URADR,"['IL1DR', 'BWMDR03', 'BWMDR01']"
4,8414738,8470834,0.0,0.7178155887751548,URADR,135,0,URADR,"['RIPR', 'BWMDR01', 'BWMDR03']"
5,8414749,8470833,0.0,0.7673283930486684,URADR,135,0,URADR,"['BWMDR03', 'IL1DR', 'BWMDR01', 'RMER']"
6,8414755,8470832,0.0,0.7788567535762853,URADR,135,0,URADR,"['BWMDR02', 'RIPR']"
7,8414772,8470831,0.0,0.8290823028263229,URADR,135,0,URADR,"['BWMDR02', 'BWMDR01', 'RIPR']"
8,8414803,8470830,0.014278737224441132,0.8626220828412876,URADR,135,0,URADR,"['RMDDL', 'BWMDR01', 'BWMDR02']"
9,8414804,8470829,0.016033748732137063,0.8626220828412876,URADR,135,0,URADR,"['RMED', 'RMER', 'IL1DR', 'RIPR', 'BWMDR01', 'BWMDR02']"
10,8414782,8470280,0.0,0.8608946386731744,URADR,135,1,RMDDL,"['BWMDR02', 'URADR', 'BWMDR04']"
11,8414826,8468182,0.11314482472888414,0.8626220828412876,URADR,135,1,IL2R,"['URADR', 'RMEL', 'IL1DR']"
12,8414712,8468084,0.0,0.5559012037460718,URADR,135,1,IL2DR,"['RIPR', 'URADR']"
13,8414764,8468067,0.038153379026839324,0.7865996046098351,URADR,135,1,IL2DR,"['URADR', 'RIPR', 'RMER']"
14,8414754,8468065,0.052616301294605365,0.7772343923709549,URADR,135,1,IL2DR,"['RIH', 'URADR', 'RIPR']"
15,8414811,8468051,0.028193751392325224,0.8626220828412876,URADR,135,1,IL2DR,"['RMER', 'URADR', 'RIPR']"
16,8414815,8467647,0.035593535471476465,0.8626220828412876,URADR,135,0,URADR,"['IL1R', 'BWMDR02', 'RMED']"
17,8414725,8461992,0.0,0.6034643585523067,URADR,135,1,CEPDR,"['OLQDR', 'RIPR', 'URADR']"
18,8414722,8461990,0.0,0.5931605121374992,URADR,135,1,CEPDR,"['URADR', 'RICR', 'RMHR', 'RICL']"
