,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,9003493,0.0,0.2537086607917063,AWBR,138,1,ASHR,"['ADAR', 'AWBR', 'RIAR']"
1,8625080,0.0,0.8935528621054813,AWBR,138,1,AFDR,"['AWBR', 'AIYR']"
2,8999174,0.0,0.39268055009310676,AWBR,138,1,ADFR,"['SMBVR', 'AWBR', 'RIAR']"
3,8999181,0.0,0.17125224574981282,AWBR,138,1,ADFR,"['AWBR', 'RIBR', 'AIZR']"
4,9008478,0.03257316047034127,0.6773774109816649,AWBR,138,1,IL2R,['AWBR']
5,9003494,0.0,0.19660472819701638,AWBR,138,0,AWBR,"['SMBDR', 'RIAR']"
6,9003491,0.0,0.2537086607917063,AWBR,138,0,AWBR,"['RIAR', 'ASHR']"
7,9003488,0.0,0.31605850432573385,AWBR,138,0,AWBR,"['RIAR', 'AIZR', 'SMBDR']"
8,9003481,0.0,0.3745326548942037,AWBR,138,0,AWBR,"['RIAR', 'SMBVR']"
9,9003477,0.0,0.3771599983095286,AWBR,138,0,AWBR,"['RIAR', 'AUAR']"
10,9003475,0.0,0.43720905000859206,AWBR,138,0,AWBR,['RIAR']
11,9003470,0.0,0.5482805377229834,AWBR,138,0,AWBR,['AIMR']
12,9003468,0.0,0.5531076130791115,AWBR,138,0,AWBR,['AIZR']
13,9003466,0.0,0.6223848526945841,AWBR,138,0,AWBR,['AIMR']
14,9003465,0.0,0.6996859238420283,AWBR,138,0,AWBR,['AIMR']
15,9003462,0.0,0.7356114237015463,AWBR,138,0,AWBR,"['AIZR', 'AIMR']"
16,9003460,0.0,0.7945073205508886,AWBR,138,0,AWBR,['AIZR']
17,9003458,0.0,0.8414334486893945,AWBR,138,0,AWBR,"['RIR', 'AIZR']"
18,8980594,0.0,0.572977366250576,AWBR,138,0,AWBR,['AIMR']
19,8980425,0.0,0.9725187071632692,AWBR,138,0,AWBR,"['AIZL', 'AIZR']"
20,8980316,0.0,0.19748596217273345,AWBR,138,1,AWAR,"['ASIR', 'ADFR', 'AWBR', 'AIZR']"
21,8978248,0.0,0.9609182177825143,AWBR,138,1,ADFR,"['AIZR', 'AWBR', 'RIFR']"
