,node_id,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
0,16674011,8982451,0.0,0.32833081607199055,PVPL,138,1,AQR,"['PVPL', 'IL2VL', 'RICR', 'AVBR', 'PVCL']"
1,9190351,9190348,0.0,0.36856222149931916,PVPL,138,1,URXL,"['PVPL', 'DVA']"
2,9009806,9009805,0.0,0.7502860948223591,PVPL,138,1,RIR,"['BAGR', 'PVPL', 'AQR']"
3,9008889,9008888,0.016323645307015022,0.5190575006094889,PVPL,138,0,PVPL,"['RIGL', 'AIBR']"
4,9008881,9008880,0.00035902584027717023,0.8572265963984201,PVPL,138,0,PVPL,['AVBR']
5,9008877,9008876,0.0,0.6666790370422359,PVPL,138,0,PVPL,"['AVAL', 'AQR']"
6,9003268,9003267,0.0,0.25092587483059686,PVPL,138,1,AVJR,"['RIFL', 'PVPL', 'AVBL']"
7,8982423,8982422,0.0,0.9794750905835212,PVPL,138,0,PVPL,['AVBL']
8,8982359,8982358,0.0,0.4456711318698481,PVPL,138,0,PVPL,"['AIBR', 'RIGL', 'AVBR']"
9,8982355,8982354,0.0,0.2904260957351834,PVPL,138,0,PVPL,"['AQR', 'PVCL', 'AVBL']"
10,8982352,8982353,0.0,0.18544013412851554,PVPL,138,0,PVPL,['AVBL']
11,8982350,8982349,0.0,0.17097417342427249,PVPL,138,0,PVPL,"['RICL', 'PVCL', 'AVBL']"
